,Departamento,Year,Month/Day,Rain_day,Rain_month,Temp_day,Temp_month,Humi_day,Humi_month
0,AMAZONAS,2006,1,0.0,0.0,,,,
1,ANTIOQUIA,2006,1,0.0,199.49999999999994,19.324113475177302,18.957284870804212,72.29107981220658,74.61918338995723
2,ARAUCA,2006,1,0.0,0.0,,,,
3,ATLANTICO,2006,1,0.0,0.0,,,,
4,BOGOTA,2006,1,0.1,56.599999999999994,13.195833333333338,13.873947059252108,,
5,BOLIVAR,2006,1,0.0,0.0,,,,
6,BOYACA,2006,1,0.0,154.50000000000003,16.23986013986014,16.813843731873344,69.4578313253012,76.82218609520747
7,CALDAS,2006,1,0.0,0.0,17.50208333333333,17.12928294380872,77.0625,84.03181185752807
8,CAQUETA,2006,1,0.0,0.0,26.941666666666663,25.723118279569892,77.66666666666667,85.4771505376344
9,CASANARE,2006,1,0.0,0.0,25.10833333333333,26.101917618379744,72.45833333333333,75.20764041942162
10,CAUCA,2006,1,0.0,149.0,20.381560283687943,19.999205214922917,85.41818181818182,88.52484494805721
11,CESAR,2006,1,0.0,35.99999999999999,27.063265306122453,28.290848744189763,64.20833333333333,64.26180429899544
12,CHOCO,2006,1,0.0,0.0,26.275,25.75659247251112,,
13,CORDOBA,2006,1,0.0,63.9,27.24239130434782,27.511500006158194,,
14,CUNDINAMARCA,2006,1,1.0,884.6000000000001,15.071489361702133,15.654661069824689,,
15,GUAINIA,2006,1,0.0,0.0,27.15000000000001,26.059867185175747,,
16,GUAVIARE,2006,1,0.0,0.0,9.1,30.841935483870973,,
17,HUILA,2006,1,1.4,595.5000000000002,22.78617021276596,21.23817384280398,,
18,LA GUAJIRA,2006,1,6.2,39.9,26.231914893617034,26.429107698768597,,
19,MAGDALENA,2006,1,0.0,25.0,,,,
20,META,2006,1,0.0,0.0,26.129166666666663,26.697720366356407,,
21,NARINO,2006,1,0.0,0.0,14.67439024390244,15.034472438611246,,
22,NORTE DE SANTANDER,2006,1,0.0,175.69999999999993,26.3,24.975611251768335,,
23,PUTUMAYO,2006,1,0.0,0.0,,,,
24,QUINDIO,2006,1,0.0,0.0,18.471739130434777,18.17275921409736,,
25,RISARALDA,2006,1,0.0,0.0,18.069999999999997,17.902713815571943,,
26,SAN ANDRES PROVIDENCIA,2006,1,0.0,0.0,,,,
27,SANTANDER,2006,1,0.2,227.9000000000001,15.85233644859813,15.96969107499572,,
28,SUCRE,2006,1,0.0,0.0,24.81538461538461,25.30506466651628,,
29,TOLIMA,2006,1,0.0,795.1000000000001,24.86301369863014,24.19512473029496,,
30,VALLE DEL CAUCA,2006,1,0.0,0.0,21.127972027972024,20.870425825625652,,
31,VAUPES,2006,1,0.0,0.0,,,,
32,VICHADA,2006,1,0.0,0.0,,,,
33,AMAZONAS,2006,2,0.0,0.0,,,,
34,ANTIOQUIA,2006,2,5.5,106.0,19.44324324324324,19.59479745185792,74.04587155963303,76.81253367652928
35,ARAUCA,2006,2,0.0,0.0,,,,
36,ATLANTICO,2006,2,0.0,0.0,,,,
37,BOGOTA,2006,2,1.4,6.0,13.329166666666667,14.584159865738126,,
38,BOLIVAR,2006,2,0.0,0.0,,27.942857142857143,,66.42857142857143
39,BOYACA,2006,2,0.0,73.39999999999999,16.670422535211262,17.428849825182166,67.0969696969697,71.27485250381083
40,CALDAS,2006,2,0.0,0.0,17.070833333333336,17.98758177756218,80.97916666666667,82.37167356270349
41,CAQUETA,2006,2,0.0,0.0,26.879166666666663,25.630837272727273,77.58333333333333,85.15016060606062
42,CASANARE,2006,2,0.0,0.0,25.64782608695652,26.851430977108322,71.8695652173913,69.42581227315782
43,CAUCA,2006,2,0.0,50.9,20.106201550387595,20.626571857816412,87.54248366013071,81.23887370992362
44,CESAR,2006,2,0.0,5.400000000000001,27.5,26.90038694832626,63.4375,57.59909035255068
45,CHOCO,2006,2,0.0,0.0,24.620833333333337,26.3887530268909,,
46,CORDOBA,2006,2,0.0,14.400000000000002,27.42555555555555,28.093001483801075,,
47,CUNDINAMARCA,2006,2,42.000000000000014,438.8,15.543162393162394,17.030542826706185,,
48,GUAINIA,2006,2,0.0,0.0,26.687500000000004,26.968804404388482,,
49,GUAVIARE,2006,2,0.0,0.0,8.7,49.47,,
50,HUILA,2006,2,1.8000000000000005,3137.8999999999996,22.08842105263157,21.306408335492698,,
51,LA GUAJIRA,2006,2,0.2,15.7,26.38333333333333,26.43646753855048,,
52,MAGDALENA,2006,2,0.0,2.8000000000000003,,22.732392121608367,,
53,META,2006,2,0.0,0.0,26.529166666666672,27.16012411067193,,
54,NARINO,2006,2,0.0,0.0,14.446951219512194,15.641715988097907,,
55,NORTE DE SANTANDER,2006,2,0.0,11.700000000000001,25.65652173913044,26.016829813664593,,
56,PUTUMAYO,2006,2,0.0,0.0,,23.215484411155764,,
57,QUINDIO,2006,2,0.0,0.0,17.79565217391304,19.01647135557875,,
58,RISARALDA,2006,2,0.0,0.0,17.983333333333334,16.334164382503452,,
59,SAN ANDRES PROVIDENCIA,2006,2,0.0,0.0,,,,
60,SANTANDER,2006,2,5.3,100.1,15.862295081967211,16.357560284392463,,
61,SUCRE,2006,2,0.0,0.0,25.632,22.94052220695971,,
62,TOLIMA,2006,2,3.2,616.0000000000001,24.5448717948718,20.511999993970612,,
63,VALLE DEL CAUCA,2006,2,0.0,0.0,20.753472222222214,16.16249752619678,,
64,VAUPES,2006,2,0.0,0.0,,,,
65,VICHADA,2006,2,0.0,0.0,,,,
66,AMAZONAS,2006,3,0.0,0.0,,,,
67,ANTIOQUIA,2006,3,27.5,342.90000000000003,18.833116883116883,19.937623385996396,73.77333333333333,74.18867065963266
68,ARAUCA,2006,3,0.0,0.0,,,,
69,ATLANTICO,2006,3,0.0,0.0,,,,
70,BOGOTA,2006,3,5.999999999999998,94.60000000000001,12.95217391304348,13.964672207421524,,
71,BOLIVAR,2006,3,0.0,0.0,,27.85294962751134,,74.28957122821078
72,BOYACA,2006,3,0.0,293.0,17.419285714285714,16.768518289701117,73.87730061349693,79.73446218782294
73,CALDAS,2006,3,0.0,0.0,15.924999999999995,17.023475244002228,90.0,85.4406687364882
74,CAQUETA,2006,3,0.0,0.0,27.066666666666663,24.462105183538405,77.54166666666667,88.94014773228389
75,CASANARE,2006,3,0.0,0.0,26.1,26.559730545284545,77.08333333333333,75.44965786901271
76,CAUCA,2006,3,0.7,123.59999999999998,19.684126984126998,20.45907214288628,90.02666666666667,84.73985805070383
77,CESAR,2006,3,0.0,25.300000000000008,27.618367346938765,26.264606683440498,67.5,66.88616916216488
78,CHOCO,2006,3,0.0,34.0,24.25652173913044,26.3601874320003,,
79,CORDOBA,2006,3,20.6,143.20000000000002,27.1978021978022,27.97814682590062,,
80,CUNDINAMARCA,2006,3,56.9,1838.6000000000001,15.062711864406786,15.27009996543659,,
81,GUAINIA,2006,3,0.0,0.0,26.95833333333333,26.771767769344482,,
82,GUAVIARE,2006,3,0.0,0.0,49.6,,,
83,HUILA,2006,3,22.5,9041.8,21.05052631578948,17.56052584143588,,
84,LA GUAJIRA,2006,3,22.6,5.6000000000000005,24.935416666666672,27.304816515808575,,
85,MAGDALENA,2006,3,8.1,48.699999999999996,,21.9107931397728,,
86,META,2006,3,0.0,0.0,27.533333333333328,26.31257597007947,,
87,NARINO,2006,3,0.0,0.0,13.765662650602415,15.441457186309574,,
88,NORTE DE SANTANDER,2006,3,0.0,3.0999999999999996,25.97391304347826,25.66140848982715,,
89,PUTUMAYO,2006,3,0.0,0.0,,22.61485879127884,,
90,QUINDIO,2006,3,0.0,0.0,16.328888888888894,18.354129283149227,,
91,RISARALDA,2006,3,0.0,0.0,16.397260273972606,17.737491394438518,,
92,SAN ANDRES PROVIDENCIA,2006,3,0.0,0.0,,,,
93,SANTANDER,2006,3,1.1,588.2999999999998,16.0015037593985,14.470393425815955,,
94,SUCRE,2006,3,0.0,0.0,24.888,26.044803064319197,,
95,TOLIMA,2006,3,110.30000000000004,1594.3,23.07912087912088,20.503417424170507,,
96,VALLE DEL CAUCA,2006,3,0.0,0.0,19.619580419580416,21.027815088385175,,
97,VAUPES,2006,3,0.0,0.0,,,,
98,VICHADA,2006,3,0.0,0.0,,,,
99,AMAZONAS,2006,4,0.0,0.0,,,,
100,ANTIOQUIA,2006,4,7.6,216.1,18.240939597315435,20.164049074432874,76.57407407407408,77.99344397651127
101,ARAUCA,2006,4,0.0,0.0,,,,
102,ATLANTICO,2006,4,0.0,0.0,,,,
103,BOGOTA,2006,4,4.699999999999999,169.1,12.691666666666665,13.958802700922268,,
104,BOLIVAR,2006,4,0.0,0.0,,27.075934343434344,,81.15964536671058
105,BOYACA,2006,4,1.3000000000000005,417.7,16.49432624113475,16.663565088029095,80.5670731707317,83.00793693260147
106,CALDAS,2006,4,0.0,0.0,15.274468085106388,11.306305884446038,93.23404255319149,89.20987819324539
107,CAQUETA,2006,4,0.0,0.0,26.58333333333333,24.40732400593975,79.58333333333333,88.7979602064431
108,CASANARE,2006,4,0.0,0.0,26.825000000000003,26.505782064501354,77.08333333333333,81.89983244543737
109,CAUCA,2006,4,4.4,216.9,18.92314049586777,20.49610572684841,92.10344827586206,86.42243625758442
110,CESAR,2006,4,0.0,211.00000000000003,26.254166666666663,25.124952716867814,78.4375,76.97893984344964
111,CHOCO,2006,4,0.0,1187.3,24.343478260869563,25.717139023077742,,
112,CORDOBA,2006,4,8.3,170.7,26.437634408602147,27.917688060589246,,
113,CUNDINAMARCA,2006,4,33.50000000000001,2890.2000000000003,14.943231441048036,15.537738962393092,,
114,GUAINIA,2006,4,0.0,0.0,26.38333333333333,26.342873810804175,,
115,GUAVIARE,2006,4,0.0,0.0,48.9,,,
116,HUILA,2006,4,14.499999999999996,4775.000000000001,21.222222222222214,15.476621010909627,,
117,LA GUAJIRA,2006,4,0.4,51.30000000000001,24.561702127659576,27.5410830892178,,
118,MAGDALENA,2006,4,0.0,33.300000000000004,,15.456608187134504,,
119,META,2006,4,0.0,0.0,27.81739130434783,26.012270531400972,,
120,NARINO,2006,4,0.0,0.0,13.347878787878791,14.358653405911268,,
121,NORTE DE SANTANDER,2006,4,38.9,25.000000000000007,23.829166666666666,25.67630540654997,,
122,PUTUMAYO,2006,4,0.0,0.0,,23.608183903536073,,
123,QUINDIO,2006,4,0.0,0.0,16.078260869565216,18.479980183898785,,
124,RISARALDA,2006,4,0.0,0.0,16.012162162162156,17.923286951960893,,
125,SAN ANDRES PROVIDENCIA,2006,4,0.0,0.0,,,,
126,SANTANDER,2006,4,14.0,903.3999999999999,14.32391304347826,15.346469938954943,,
127,SUCRE,2006,4,0.0,0.0,23.634615384615383,25.658319887841632,,
128,TOLIMA,2006,4,39.300000000000026,1324.3000000000002,23.595522388059702,21.14528692220868,,
129,VALLE DEL CAUCA,2006,4,0.0,0.0,19.217142857142857,20.95021845132727,,
130,VAUPES,2006,4,0.0,0.0,,,,
131,VICHADA,2006,4,0.0,0.0,,,,
132,AMAZONAS,2006,5,0.0,0.0,,,,
133,ANTIOQUIA,2006,5,7.999999999999998,348.00000000000006,16.121374045801527,18.951971036536193,82.09375,84.86933079260807
134,ARAUCA,2006,5,0.0,0.0,,,,
135,ATLANTICO,2006,5,0.0,0.0,,,,
136,BOGOTA,2006,5,2.4,116.39999999999999,12.295833333333334,14.108927281227423,,
137,BOLIVAR,2006,5,0.0,0.0,,27.531048387096778,,84.10022206638614
138,BOYACA,2006,5,7.199999999999999,386.80000000000007,15.548591549295775,16.242517806858803,87.35365853658537,83.73479003730519
139,CALDAS,2006,5,0.0,0.0,14.75744680851064,11.897230253415719,94.34042553191487,86.64314636096732
