Departamento,date,sum_ValorObservado
<nil>,2013-10-22,61.333333333333336
<nil>,2013-10-23,86.33333333333333
<nil>,2013-10-24,73.33333333333333
<nil>,2013-10-25,71.25
<nil>,2013-10-26,81.20833333333333
<nil>,2013-10-27,82.54166666666667
<nil>,2013-10-28,79.95833333333333
<nil>,2013-10-29,78.58333333333333
<nil>,2013-10-30,81.79166666666667
<nil>,2013-10-31,92.45833333333333
<nil>,2013-11-01,91.04166666666667
<nil>,2013-11-02,87.875
<nil>,2013-11-03,96.95833333333333
<nil>,2013-11-04,97.41666666666667
<nil>,2013-11-05,91.79166666666667
<nil>,2013-11-06,89.95833333333333
<nil>,2013-11-07,92.5
<nil>,2013-11-08,86.04166666666667
<nil>,2013-11-09,89.95833333333333
<nil>,2013-11-10,81.25
<nil>,2013-11-11,79.66666666666667
<nil>,2013-11-12,76.33333333333333
<nil>,2013-11-13,73.20833333333333
<nil>,2013-11-14,82.25
<nil>,2013-11-15,75.33333333333333
<nil>,2013-11-16,74.375
<nil>,2013-11-17,79.45833333333333
<nil>,2013-11-18,87.375
<nil>,2013-11-19,83.70833333333333
<nil>,2013-11-20,78.375
<nil>,2013-11-21,71.04166666666667
<nil>,2013-11-22,74.20833333333333
<nil>,2013-11-23,89.83333333333333
<nil>,2013-11-24,86.45833333333333
<nil>,2013-11-25,84.125
<nil>,2013-11-26,82.875
<nil>,2013-11-27,88.0
<nil>,2013-11-28,93.79166666666667
<nil>,2013-11-29,88.91666666666667
<nil>,2013-11-30,88.41666666666667
<nil>,2013-12-01,88.375
<nil>,2013-12-02,86.83333333333333
<nil>,2013-12-03,80.33333333333333
<nil>,2013-12-04,78.20833333333333
<nil>,2013-12-05,83.79166666666667
<nil>,2013-12-06,87.54166666666667
<nil>,2013-12-07,87.25
<nil>,2013-12-08,82.08333333333333
<nil>,2013-12-09,79.0
<nil>,2013-12-10,85.16666666666667
<nil>,2013-12-11,83.04166666666667
<nil>,2013-12-12,81.75
<nil>,2013-12-13,77.375
<nil>,2013-12-14,78.5
<nil>,2013-12-15,77.08333333333333
<nil>,2013-12-16,74.25
<nil>,2013-12-17,67.58333333333333
<nil>,2013-12-18,61.958333333333336
<nil>,2013-12-19,61.375
<nil>,2013-12-20,57.083333333333336
<nil>,2013-12-21,86.83333333333333
<nil>,2013-12-22,86.20833333333333
<nil>,2013-12-23,81.29166666666667
<nil>,2013-12-24,77.54166666666667
<nil>,2013-12-25,70.54166666666667
<nil>,2013-12-26,63.083333333333336
<nil>,2013-12-27,62.291666666666664
<nil>,2013-12-28,59.666666666666664
<nil>,2013-12-29,63.75
<nil>,2013-12-30,70.41666666666667
<nil>,2013-12-31,75.83333333333333
<nil>,2014-01-01,76.29166666666667
<nil>,2014-01-02,74.5
<nil>,2014-01-03,88.45833333333333
<nil>,2014-01-04,86.0
<nil>,2014-01-05,71.0
<nil>,2014-01-06,54.125
<nil>,2014-01-07,57.375
<nil>,2014-01-08,64.75
<nil>,2014-01-09,67.58333333333333
<nil>,2014-01-10,69.875
<nil>,2014-01-11,75.08333333333333
<nil>,2014-01-12,76.79166666666667
<nil>,2014-01-13,69.83333333333333
<nil>,2014-01-14,65.625
<nil>,2014-01-15,77.20833333333333
<nil>,2014-01-16,70.70833333333333
<nil>,2014-01-17,66.29166666666667
<nil>,2014-01-18,79.29166666666667
<nil>,2014-01-19,69.5
<nil>,2014-01-20,62.166666666666664
<nil>,2014-01-21,67.45833333333333
<nil>,2014-01-22,75.79166666666667
<nil>,2014-01-23,70.625
<nil>,2014-01-24,67.83333333333333
<nil>,2014-01-25,68.33333333333333
<nil>,2014-01-26,75.0
<nil>,2014-01-27,69.08333333333333
<nil>,2014-01-28,69.16666666666667
<nil>,2014-01-29,62.75
<nil>,2014-01-30,67.0
<nil>,2014-01-31,70.04166666666667
<nil>,2014-02-01,67.91666666666667
<nil>,2014-02-02,66.5
<nil>,2014-02-03,66.79166666666667
<nil>,2014-02-04,77.0
<nil>,2014-02-05,71.125
<nil>,2014-02-06,72.91666666666667
<nil>,2014-02-07,57.5
<nil>,2014-02-08,59.458333333333336
<nil>,2014-02-09,68.625
<nil>,2014-02-10,69.70833333333333
<nil>,2014-02-11,59.5
<nil>,2014-02-12,62.25
<nil>,2014-02-13,74.79166666666667
<nil>,2014-02-14,83.08333333333333
<nil>,2014-02-15,83.83333333333333
<nil>,2014-02-16,83.875
<nil>,2014-02-17,81.5
<nil>,2014-02-18,82.625
<nil>,2014-02-19,85.875
<nil>,2014-02-20,89.83333333333333
<nil>,2014-02-21,85.04166666666667
<nil>,2014-02-22,85.16666666666667
<nil>,2014-02-23,90.66666666666667
<nil>,2014-02-24,92.20833333333333
<nil>,2014-02-25,84.625
<nil>,2014-02-26,89.16666666666667
<nil>,2014-02-27,80.58333333333333
<nil>,2014-02-28,84.91666666666667
<nil>,2014-03-01,82.66666666666667
<nil>,2014-03-02,89.66666666666667
<nil>,2014-03-03,85.29166666666667
<nil>,2014-03-04,73.41666666666667
<nil>,2014-03-05,72.16666666666667
<nil>,2014-03-06,77.79166666666667
<nil>,2014-03-07,78.08333333333333
<nil>,2014-03-08,79.875
<nil>,2014-03-09,82.04166666666667
<nil>,2014-03-10,70.875
<nil>,2014-03-11,71.70833333333333
<nil>,2014-03-12,83.16666666666667
<nil>,2014-03-13,72.125
<nil>,2014-03-14,67.375
<nil>,2014-03-15,68.54166666666667
<nil>,2014-03-16,68.79166666666667
<nil>,2014-03-17,71.70833333333333
<nil>,2014-03-18,80.33333333333333
<nil>,2014-03-19,78.5
<nil>,2014-03-20,71.125
<nil>,2014-03-21,65.20833333333333
<nil>,2014-03-22,61.0
<nil>,2014-03-23,64.0
<nil>,2014-03-24,61.833333333333336
<nil>,2014-03-25,62.666666666666664
<nil>,2014-03-26,67.16666666666667
<nil>,2014-03-27,72.75
<nil>,2014-03-28,88.20833333333333
<nil>,2014-03-29,83.91666666666667
<nil>,2014-03-30,81.25
<nil>,2014-03-31,81.04166666666667
<nil>,2014-04-01,75.66666666666667
<nil>,2014-04-02,72.16666666666667
<nil>,2014-04-03,72.29166666666667
<nil>,2014-04-04,66.95833333333333
<nil>,2014-04-05,68.79166666666667
<nil>,2014-04-06,68.08333333333333
<nil>,2014-04-07,74.0
<nil>,2014-04-08,86.20833333333333
<nil>,2014-04-09,83.75
<nil>,2014-04-10,83.25
<nil>,2014-04-11,83.54166666666667
<nil>,2014-04-12,90.58333333333333
<nil>,2014-04-13,86.41666666666667
<nil>,2014-04-14,92.54166666666667
<nil>,2014-04-15,84.25
<nil>,2014-04-16,93.41666666666667
<nil>,2014-04-17,83.625
<nil>,2014-04-18,90.58333333333333
<nil>,2014-04-19,86.25
<nil>,2014-04-20,84.625
<nil>,2014-04-21,78.83333333333333
<nil>,2014-04-22,83.54166666666667
<nil>,2014-04-23,85.125
<nil>,2014-04-24,86.75
<nil>,2014-04-25,82.83333333333333
<nil>,2014-04-26,80.625
<nil>,2014-04-27,78.125
<nil>,2014-04-28,85.58333333333333
<nil>,2014-04-29,90.91666666666667
<nil>,2014-04-30,94.45833333333333
<nil>,2014-05-01,96.91666666666667
<nil>,2014-05-02,94.0
<nil>,2014-05-03,89.16666666666667
<nil>,2014-05-04,86.41666666666667
<nil>,2014-05-05,76.75
<nil>,2014-05-06,83.33333333333333
<nil>,2014-05-07,80.0
<nil>,2014-05-08,84.66666666666667
<nil>,2014-05-09,85.91666666666667
<nil>,2014-05-10,88.33333333333333
<nil>,2014-05-11,83.16666666666667
<nil>,2014-05-12,76.54166666666667
<nil>,2014-05-13,84.08333333333333
<nil>,2014-05-14,70.45833333333333
<nil>,2014-05-15,64.625
<nil>,2014-05-16,66.16666666666667
<nil>,2014-05-17,66.33333333333333
<nil>,2014-05-18,88.54166666666667
<nil>,2014-05-19,86.41666666666667
<nil>,2014-05-20,80.54166666666667
<nil>,2014-05-21,83.75
<nil>,2014-05-22,77.91666666666667
<nil>,2014-05-23,83.625
<nil>,2014-05-24,87.5
<nil>,2014-05-25,74.375
<nil>,2014-05-26,74.375
<nil>,2014-05-27,74.45833333333333
<nil>,2014-05-28,87.29166666666667
