Departamento,year,month,agg_ValorObservado
<nil>,2013,10,79.80263157894737
<nil>,2013,11,84.75138888888888
<nil>,2013,12,76.0013440860215
<nil>,2014,1,70.5013440860215
<nil>,2014,2,77.03869047619048
<nil>,2014,3,74.65456989247312
<nil>,2014,4,82.45972222222223
<nil>,2014,5,81.44220430107526
<nil>,2014,6,81.59444444444445
<nil>,2014,7,75.4502688172043
<nil>,2014,8,79.70640176600442
<nil>,2017,2,0.5
<nil>,2017,3,36.355555555555554
<nil>,2017,4,46.12275204359674
<nil>,2017,5,0.0
<nil>,2017,6,100.0
<nil>,2017,8,89.5945945945946
<nil>,2017,9,3.2222222222222223
<nil>,2017,10,1.5
<nil>,2018,2,36.43203684749233
AMAZONAS,2007,5,58.776119402985074
AMAZONAS,2007,6,79.66753926701571
AMAZONAS,2007,7,85.19832402234637
AMAZONAS,2007,8,82.91176470588235
AMAZONAS,2007,9,83.6145251396648
AMAZONAS,2008,4,88.77272727272727
AMAZONAS,2008,5,90.03085553997195
AMAZONAS,2008,6,86.0448
AMAZONAS,2008,7,86.47550432276657
AMAZONAS,2008,8,85.44915254237289
AMAZONAS,2008,9,86.37391304347825
AMAZONAS,2008,10,86.09413369713506
AMAZONAS,2008,11,86.6671388101983
AMAZONAS,2008,12,87.68214804063861
AMAZONAS,2009,1,89.93006993006993
AMAZONAS,2009,2,90.22691705790298
AMAZONAS,2009,3,46.03088235294118
AMAZONAS,2009,4,0.06517311608961303
AMAZONAS,2009,5,0.11574697173620457
AMAZONAS,2009,6,0.22720478325859492
AMAZONAS,2009,7,6.53077975376197
AMAZONAS,2009,8,86.49178082191781
AMAZONAS,2009,9,81.39942528735632
AMAZONAS,2009,10,82.85567010309278
AMAZONAS,2009,11,84.33602150537635
AMAZONAS,2009,12,89.84210526315789
AMAZONAS,2010,1,88.79834710743802
AMAZONAS,2010,2,88.47404844290658
AMAZONAS,2010,3,89.56259204712813
AMAZONAS,2010,4,89.48807339449542
AMAZONAS,2010,5,88.53266331658291
AMAZONAS,2010,6,90.42424242424242
AMAZONAS,2010,7,88.48480662983425
AMAZONAS,2010,8,84.92727272727272
AMAZONAS,2010,9,84.3961708394698
AMAZONAS,2010,10,83.89208633093526
AMAZONAS,2010,11,86.1658841940532
AMAZONAS,2010,12,87.48391608391609
AMAZONAS,2011,1,89.0672268907563
AMAZONAS,2011,2,88.16751269035532
AMAZONAS,2011,3,89.5412445730825
AMAZONAS,2011,4,89.96866096866097
AMAZONAS,2011,5,92.03730272596843
AMAZONAS,2011,6,91.91641337386018
AMAZONAS,2011,7,89.50974930362116
AMAZONAS,2011,8,84.92739726027398
AMAZONAS,2011,9,87.6568848758465
AMAZONAS,2011,11,87.21848739495799
AMAZONAS,2011,12,91.54253835425384
AMAZONAS,2012,1,91.70160116448326
AMAZONAS,2012,2,86.64617691154423
AMAZONAS,2012,3,9.871866295264624
AMAZONAS,2012,4,0.5377094972067039
AMAZONAS,2012,5,0.41336971350613916
AMAZONAS,2012,6,0.4922425952045134
AMAZONAS,2012,7,0.3032904148783977
AMAZONAS,2012,8,26.007173601147777
AMAZONAS,2012,9,30.777602523659304
AMAZONAS,2012,10,32.197586726998495
AMAZONAS,2012,11,30.11904761904762
AMAZONAS,2012,12,26.731907894736842
AMAZONAS,2013,1,28.170040485829958
AMAZONAS,2013,2,22.120860927152318
AMAZONAS,2013,3,26.602758620689656
AMAZONAS,2013,4,24.48029197080292
AMAZONAS,2013,5,26.78502080443828
AMAZONAS,2013,6,26.15826330532213
AMAZONAS,2013,7,26.77956989247312
AMAZONAS,2013,8,29.63342318059299
AMAZONAS,2013,9,32.31114327062229
AMAZONAS,2013,10,28.14644351464435
AMAZONAS,2013,11,25.62193362193362
AMAZONAS,2013,12,26.001432664756447
AMAZONAS,2014,1,27.261904761904763
AMAZONAS,2014,2,23.50980392156863
AMAZONAS,2014,3,13.120715350223547
AMAZONAS,2014,4,9.154411764705882
AMAZONAS,2014,5,9.478561549100968
AMAZONAS,2014,6,11.114728682170542
AMAZONAS,2014,7,14.908430232558139
AMAZONAS,2014,8,86.72749003984063
AMAZONAS,2014,9,86.94608959757024
AMAZONAS,2014,10,87.89686098654708
AMAZONAS,2014,11,87.39735099337749
AMAZONAS,2014,12,88.83827493261455
AMAZONAS,2015,1,89.25
AMAZONAS,2015,2,88.50824587706147
AMAZONAS,2015,3,89.00440528634361
AMAZONAS,2015,4,89.22432432432433
AMAZONAS,2015,5,89.81182795698925
AMAZONAS,2015,6,87.53146853146853
AMAZONAS,2015,7,87.23744911804613
AMAZONAS,2015,8,84.88140161725067
AMAZONAS,2015,9,81.8392101551481
AMAZONAS,2015,10,84.66263440860214
AMAZONAS,2015,11,86.2567287784679
AMAZONAS,2015,12,90.11456176673568
AMAZONAS,2016,1,90.20091324200914
AMAZONAS,2016,2,51.522222222222226
AMAZONAS,2016,3,87.07304785894206
AMAZONAS,2016,4,89.19471488178026
AMAZONAS,2016,5,87.48932676518884
AMAZONAS,2016,6,93.78597339782345
AMAZONAS,2016,7,91.95553987297106
AMAZONAS,2016,8,87.6980198019802
AMAZONAS,2016,9,85.8566203365033
AMAZONAS,2016,10,87.28821879382889
AMAZONAS,2016,11,59.90681003584229
AMAZONAS,2016,12,79.50486618004867
AMAZONAS,2017,1,85.42525773195877
AMAZONAS,2017,2,88.53448275862068
AMAZONAS,2017,3,89.38966480446928
AMAZONAS,2017,4,89.23776223776224
AMAZONAS,2017,5,90.12576896787424
AMAZONAS,2017,6,87.56921944035346
AMAZONAS,2017,7,81.80330123796423
AMAZONAS,2017,8,84.5281445448228
AMAZONAS,2017,9,86.36671469740634
AMAZONAS,2017,10,87.29857819905213
AMAZONAS,2017,11,88.90707964601769
AMAZONAS,2017,12,89.61737257717157
AMAZONAS,2018,1,89.32299012693935
AMAZONAS,2018,2,90.33983739837399
AMAZONAS,2018,3,88.24931129476585
AMAZONAS,2018,4,89.993893129771
AMAZONAS,2018,5,91.00277008310249
AMAZONAS,2018,6,85.95688456189151
AMAZONAS,2018,7,83.59400544959128
AMAZONAS,2018,8,84.97177419354838
AMAZONAS,2018,9,82.4394993045897
AMAZONAS,2018,10,88.31147540983606
AMAZONAS,2018,11,87.97551644988523
AMAZONAS,2018,12,90.29012810851545
AMAZONAS,2019,1,90.80994803266518
AMAZONAS,2019,2,90.43210862619809
AMAZONAS,2019,3,93.25454545454545
AMAZONAS,2019,4,94.84604904632153
AMAZONAS,2019,5,93.04166666666667
AMAZONAS,2019,6,93.65151515151516
AMAZONAS,2019,7,92.02382725241995
AMAZONAS,2019,8,87.1735310269083
AMAZONAS,2019,9,91.32894211576847
AMAZONAS,2019,10,92.5766323024055
AMAZONAS,2019,11,94.1899775617053
AMAZONAS,2019,12,93.42722513089005
AMAZONAS,2020,1,88.03203342618384
AMAZONAS,2020,2,89.44677661169415
