Departamento,year,day,agg_ValorObservado
<nil>,2014,1,76.29166666666667
<nil>,2014,2,74.5
<nil>,2014,3,88.45833333333333
<nil>,2014,4,86.0
<nil>,2014,5,71.0
<nil>,2014,6,54.125
<nil>,2014,7,57.375
<nil>,2014,8,64.75
<nil>,2014,9,67.58333333333333
<nil>,2014,10,69.875
<nil>,2014,11,75.08333333333333
<nil>,2014,12,76.79166666666667
<nil>,2014,13,69.83333333333333
<nil>,2014,14,65.625
<nil>,2014,15,77.20833333333333
AMAZONAS,2009,1,84.08333333333333
AMAZONAS,2009,2,83.82608695652173
AMAZONAS,2009,3,92.0
AMAZONAS,2009,4,88.66666666666667
AMAZONAS,2009,5,88.29166666666667
AMAZONAS,2009,6,88.45833333333333
AMAZONAS,2009,7,88.91666666666667
AMAZONAS,2009,8,89.58333333333333
AMAZONAS,2009,9,92.82608695652173
AMAZONAS,2009,10,96.5
AMAZONAS,2009,11,89.95833333333333
AMAZONAS,2009,12,99.0
AMAZONAS,2009,13,90.5
AMAZONAS,2009,14,93.33333333333333
AMAZONAS,2009,15,88.125
AMAZONAS,2010,1,83.0
AMAZONAS,2010,2,82.04761904761905
AMAZONAS,2010,3,91.08333333333333
AMAZONAS,2010,4,95.1304347826087
AMAZONAS,2010,5,91.47826086956522
AMAZONAS,2010,6,90.26086956521739
AMAZONAS,2010,7,84.25
AMAZONAS,2010,8,83.9375
AMAZONAS,2010,12,72.83333333333333
AMAZONAS,2010,13,90.375
AMAZONAS,2010,14,84.68181818181819
AMAZONAS,2010,15,96.78260869565217
AMAZONAS,2011,1,82.0
AMAZONAS,2011,2,88.16666666666667
AMAZONAS,2011,3,87.16666666666667
AMAZONAS,2011,4,85.34782608695652
AMAZONAS,2011,5,83.5
AMAZONAS,2011,6,91.375
AMAZONAS,2011,7,87.0909090909091
AMAZONAS,2011,8,92.41666666666667
AMAZONAS,2011,9,89.66666666666667
AMAZONAS,2011,10,92.20833333333333
AMAZONAS,2011,11,85.21739130434783
AMAZONAS,2011,12,92.33333333333333
AMAZONAS,2011,13,87.82608695652173
AMAZONAS,2011,14,92.63636363636364
AMAZONAS,2011,15,91.69565217391305
AMAZONAS,2012,1,90.75
AMAZONAS,2012,2,99.08333333333333
AMAZONAS,2012,3,94.0
AMAZONAS,2012,4,93.31818181818181
AMAZONAS,2012,5,98.25
AMAZONAS,2012,6,92.58333333333333
AMAZONAS,2012,7,91.66666666666667
AMAZONAS,2012,8,98.73913043478261
AMAZONAS,2012,9,89.75
AMAZONAS,2012,10,82.21739130434783
AMAZONAS,2012,11,89.56521739130434
AMAZONAS,2012,12,87.08695652173913
AMAZONAS,2012,13,94.33333333333333
AMAZONAS,2012,14,98.91304347826087
AMAZONAS,2012,15,94.91666666666667
AMAZONAS,2013,1,23.0
AMAZONAS,2013,2,12.6
AMAZONAS,2013,3,0.0
AMAZONAS,2013,4,35.36363636363637
AMAZONAS,2013,5,33.52173913043478
AMAZONAS,2013,6,38.45454545454545
AMAZONAS,2013,7,20.17391304347826
AMAZONAS,2013,8,16.904761904761905
AMAZONAS,2013,9,46.54545454545455
AMAZONAS,2013,10,27.75
AMAZONAS,2013,11,21.333333333333332
AMAZONAS,2013,12,20.857142857142858
AMAZONAS,2013,13,51.0
AMAZONAS,2013,14,24.88235294117647
AMAZONAS,2013,15,100.0
AMAZONAS,2014,1,37.125
AMAZONAS,2014,2,33.75
AMAZONAS,2014,3,28.82608695652174
AMAZONAS,2014,4,28.095238095238095
AMAZONAS,2014,5,31.47826086956522
AMAZONAS,2014,6,19.666666666666668
AMAZONAS,2014,7,31.208333333333332
AMAZONAS,2014,8,25.73913043478261
AMAZONAS,2014,9,36.13636363636363
AMAZONAS,2014,10,33.5
AMAZONAS,2014,11,12.5
AMAZONAS,2014,12,23.0
AMAZONAS,2014,13,20.25
AMAZONAS,2014,14,35.5
AMAZONAS,2014,15,34.77272727272727
AMAZONAS,2015,1,88.88
AMAZONAS,2015,2,92.04166666666667
AMAZONAS,2015,3,89.95833333333333
AMAZONAS,2015,4,86.04166666666667
AMAZONAS,2015,5,87.58333333333333
AMAZONAS,2015,6,87.66666666666667
AMAZONAS,2015,7,90.625
AMAZONAS,2015,8,91.08
AMAZONAS,2015,9,89.11538461538461
AMAZONAS,2015,10,94.625
AMAZONAS,2015,11,88.91666666666667
AMAZONAS,2015,12,92.04166666666667
AMAZONAS,2015,13,92.875
AMAZONAS,2015,14,88.4
AMAZONAS,2015,15,92.375
AMAZONAS,2016,1,92.85416666666667
AMAZONAS,2016,2,91.93478260869566
AMAZONAS,2016,3,94.70833333333333
AMAZONAS,2016,4,95.75555555555556
AMAZONAS,2016,5,94.65789473684211
AMAZONAS,2016,6,87.84
AMAZONAS,2016,7,84.04166666666667
AMAZONAS,2016,8,79.61538461538461
AMAZONAS,2016,9,89.02941176470588
AMAZONAS,2016,10,83.96551724137932
AMAZONAS,2016,11,86.14814814814815
AMAZONAS,2016,12,84.0
AMAZONAS,2016,13,88.6
AMAZONAS,2016,14,92.07407407407408
AMAZONAS,2016,15,96.0
AMAZONAS,2017,1,87.75
AMAZONAS,2017,2,89.54166666666667
AMAZONAS,2017,3,88.0
AMAZONAS,2017,4,90.875
AMAZONAS,2017,5,89.16666666666667
AMAZONAS,2017,6,92.125
AMAZONAS,2017,7,92.29166666666667
AMAZONAS,2017,8,84.70833333333333
AMAZONAS,2017,9,92.04166666666667
AMAZONAS,2017,10,88.41666666666667
AMAZONAS,2017,11,94.875
AMAZONAS,2017,12,84.92
AMAZONAS,2017,13,79.2
AMAZONAS,2017,14,88.41666666666667
AMAZONAS,2017,15,89.83333333333333
AMAZONAS,2018,1,94.04166666666667
AMAZONAS,2018,2,86.375
AMAZONAS,2018,3,83.45833333333333
AMAZONAS,2018,4,82.875
AMAZONAS,2018,5,83.33333333333333
AMAZONAS,2018,6,87.04166666666667
AMAZONAS,2018,7,96.5
AMAZONAS,2018,8,88.60416666666667
AMAZONAS,2018,9,89.95833333333333
AMAZONAS,2018,10,87.95833333333333
AMAZONAS,2018,11,90.0625
AMAZONAS,2018,12,90.77083333333333
AMAZONAS,2018,13,88.9375
AMAZONAS,2018,14,88.85416666666667
AMAZONAS,2018,15,93.39583333333333
AMAZONAS,2019,1,89.93181818181819
AMAZONAS,2019,2,91.31111111111112
AMAZONAS,2019,3,92.63636363636364
AMAZONAS,2019,4,92.1875
AMAZONAS,2019,5,93.52173913043478
AMAZONAS,2019,6,88.33333333333333
AMAZONAS,2019,7,93.41176470588235
AMAZONAS,2019,8,97.17948717948718
AMAZONAS,2019,9,90.25531914893617
AMAZONAS,2019,10,88.5909090909091
AMAZONAS,2019,11,82.46666666666667
AMAZONAS,2019,12,90.61702127659575
AMAZONAS,2019,13,87.77777777777777
AMAZONAS,2019,14,82.1063829787234
AMAZONAS,2019,15,91.34782608695652
AMAZONAS,2020,1,93.54545454545455
AMAZONAS,2020,2,91.16666666666667
AMAZONAS,2020,3,89.70833333333333
AMAZONAS,2020,4,84.6086956521739
AMAZONAS,2020,5,79.3913043478261
AMAZONAS,2020,6,74.76190476190476
AMAZONAS,2020,7,72.78260869565217
AMAZONAS,2020,8,84.6842105263158
AMAZONAS,2020,9,88.65217391304348
AMAZONAS,2020,10,92.75
AMAZONAS,2020,11,96.34782608695652
AMAZONAS,2020,12,91.875
AMAZONAS,2020,13,88.25
AMAZONAS,2020,14,87.79166666666667
AMAZONAS,2020,15,86.83333333333333
AMAZONAS,2021,1,98.38690476190476
AMAZONAS,2021,2,98.4311377245509
AMAZONAS,2021,3,96.66666666666667
AMAZONAS,2021,4,99.5625
AMAZONAS,2021,9,95.7741935483871
AMAZONAS,2021,10,97.08176100628931
AMAZONAS,2021,11,96.92546583850931
AMAZONAS,2021,12,96.88343558282209
AMAZONAS,2021,13,99.54268292682927
AMAZONAS,2021,14,98.16875
AMAZONAS,2021,15,97.15151515151516
AMAZONAS,2023,3,99.0
AMAZONAS,2023,4,86.625
AMAZONAS,2023,5,95.88888888888889
AMAZONAS,2023,6,93.8
AMAZONAS,2023,7,96.95
AMAZONAS,2023,8,98.9090909090909
AMAZONAS,2023,9,98.4
AMAZONAS,2023,10,92.2
AMAZONAS,2023,11,94.57142857142857
AMAZONAS,2023,12,92.5
AMAZONAS,2023,13,92.0
AMAZONAS,2023,14,77.5
AMAZONAS,2023,15,84.44444444444444
AMAZONAS,2024,1,31.934640522875817
AMAZONAS,2024,2,29.52861035422343
AMAZONAS,2024,3,27.57242339832869
AMAZONAS,2024,4,25.695121951219512
AMAZONAS,2024,5,26.387096774193548
AMAZONAS,2024,6,27.66078697421981
AMAZONAS,2024,7,26.72398190045249
AMAZONAS,2024,8,28.849129593810446
AMAZONAS,2024,9,27.25864909390445
AMAZONAS,2024,10,28.339699863574353
AMAZONAS,2024,11,28.014571948998178
AMAZONAS,2024,12,27.344290657439448
AMAZONAS,2024,13,28.628330995792428
AMAZONAS,2024,14,28.928471248246844
AMAZONAS,2024,15,26.069014084507042
AMAZONAS,2025,1,97.3855421686747
AMAZONAS,2025,2,94.97721179624665
AMAZONAS,2025,3,92.99866666666667
AMAZONAS,2025,4,94.63235294117646
AMAZONAS,2025,5,91.61251664447404
AMAZONAS,2025,6,91.83978638184246
AMAZONAS,2025,7,90.73209549071618
AMAZONAS,2025,8,92.72958500669344
AMAZONAS,2025,9,93.0120320855615
AMAZONAS,2025,10,89.816
AMAZONAS,2025,11,92.60666666666667
AMAZONAS,2025,12,91.50333778371161
AMAZONAS,2025,13,94.63085399449035
AMAZONAS,2025,14,95.2258064516129
AMAZONAS,2025,15,82.46720214190094
ANTIOQUIA,2005,1,76.33333333333333
ANTIOQUIA,2005,2,81.56666666666666
ANTIOQUIA,2005,3,83.05454545454545
ANTIOQUIA,2005,4,82.183908045977
ANTIOQUIA,2005,5,83.85806451612903
ANTIOQUIA,2005,6,83.04878048780488
ANTIOQUIA,2005,7,82.97524752475248
ANTIOQUIA,2005,8,79.56345177664974
ANTIOQUIA,2005,9,83.51832460732984
ANTIOQUIA,2005,10,84.0
ANTIOQUIA,2005,11,82.20603015075378
ANTIOQUIA,2005,12,83.28571428571429
ANTIOQUIA,2005,13,82.48648648648648
ANTIOQUIA,2005,14,83.48258706467662
ANTIOQUIA,2005,15,86.38235294117646
ANTIOQUIA,2006,1,72.29107981220658
ANTIOQUIA,2006,2,74.04587155963303
ANTIOQUIA,2006,3,73.77333333333333
ANTIOQUIA,2006,4,76.57407407407408
ANTIOQUIA,2006,5,82.09375
ANTIOQUIA,2006,6,76.94857142857143
ANTIOQUIA,2006,7,76.18181818181819
ANTIOQUIA,2006,8,73.92307692307692
ANTIOQUIA,2006,9,73.4726368159204
ANTIOQUIA,2006,10,75.08733624454149
ANTIOQUIA,2006,11,76.55454545454545
ANTIOQUIA,2006,12,74.2648401826484
ANTIOQUIA,2006,13,74.38636363636364
ANTIOQUIA,2006,14,74.95412844036697
ANTIOQUIA,2006,15,75.21171171171171
ANTIOQUIA,2007,1,81.00840336134453
ANTIOQUIA,2007,2,80.0506329113924
ANTIOQUIA,2007,3,75.77155172413794
ANTIOQUIA,2007,4,81.05263157894737
ANTIOQUIA,2007,5,81.16450216450217
ANTIOQUIA,2007,6,80.63865546218487
ANTIOQUIA,2007,7,80.042194092827
ANTIOQUIA,2007,8,82.73831775700934
ANTIOQUIA,2007,9,89.26
ANTIOQUIA,2007,10,83.54418604651163
ANTIOQUIA,2007,11,81.33492822966507
ANTIOQUIA,2007,12,79.92118226600985
ANTIOQUIA,2007,13,80.48095238095237
ANTIOQUIA,2007,14,80.48571428571428
ANTIOQUIA,2007,15,79.2648401826484
ANTIOQUIA,2008,1,73.22175732217573
ANTIOQUIA,2008,2,75.80434782608695
ANTIOQUIA,2008,3,82.3862660944206
ANTIOQUIA,2008,4,77.52444444444444
ANTIOQUIA,2008,5,76.44144144144144
ANTIOQUIA,2008,6,78.9245283018868
ANTIOQUIA,2008,7,83.3061224489796
ANTIOQUIA,2008,8,83.35467980295566
ANTIOQUIA,2008,9,90.50510204081633
ANTIOQUIA,2008,10,88.0923076923077
ANTIOQUIA,2008,11,84.66666666666667
ANTIOQUIA,2008,12,81.91625615763547
ANTIOQUIA,2008,13,81.95744680851064
ANTIOQUIA,2008,14,81.83663366336634
ANTIOQUIA,2008,15,84.21505376344086
ANTIOQUIA,2009,1,70.90336134453781
ANTIOQUIA,2009,2,67.96296296296296
ANTIOQUIA,2009,3,68.12396694214875
ANTIOQUIA,2009,4,69.175
ANTIOQUIA,2009,5,71.03333333333333
ANTIOQUIA,2009,6,71.01984126984127
ANTIOQUIA,2009,7,71.06557377049181
ANTIOQUIA,2009,8,73.88983050847457
ANTIOQUIA,2009,9,75.48275862068965
ANTIOQUIA,2009,10,74.04072398190046
ANTIOQUIA,2009,11,68.9504132231405
ANTIOQUIA,2009,12,76.12173913043478
ANTIOQUIA,2009,13,70.81132075471699
ANTIOQUIA,2009,14,75.78481012658227
ANTIOQUIA,2009,15,70.29098360655738
ANTIOQUIA,2010,1,73.67708333333333
ANTIOQUIA,2010,2,73.31360946745562
ANTIOQUIA,2010,3,71.20833333333333
ANTIOQUIA,2010,4,72.79473684210527
ANTIOQUIA,2010,5,72.27567567567567
ANTIOQUIA,2010,6,70.78645833333333
ANTIOQUIA,2010,7,69.96335078534031
ANTIOQUIA,2010,8,72.27611940298507
ANTIOQUIA,2010,12,57.888888888888886
ANTIOQUIA,2010,13,62.81395348837209
ANTIOQUIA,2010,14,70.38541666666667
ANTIOQUIA,2010,15,70.52972972972972
ANTIOQUIA,2011,1,72.34965034965035
ANTIOQUIA,2011,2,75.5625
ANTIOQUIA,2011,3,80.63194444444444
ANTIOQUIA,2011,4,85.42361111111111
ANTIOQUIA,2011,5,78.63194444444444
ANTIOQUIA,2011,6,76.85314685314685
ANTIOQUIA,2011,7,85.9290780141844
ANTIOQUIA,2011,8,82.68382352941177
ANTIOQUIA,2011,9,83.44444444444444
ANTIOQUIA,2011,10,80.0
ANTIOQUIA,2011,11,77.16666666666667
ANTIOQUIA,2011,12,79.15972222222223
ANTIOQUIA,2011,13,81.25
ANTIOQUIA,2011,14,76.3923076923077
ANTIOQUIA,2011,15,74.78461538461538
ANTIOQUIA,2012,1,74.97315436241611
ANTIOQUIA,2012,2,79.45751633986929
ANTIOQUIA,2012,3,85.09554140127389
ANTIOQUIA,2012,4,74.88
ANTIOQUIA,2012,5,80.55405405405405
ANTIOQUIA,2012,6,77.27096774193548
ANTIOQUIA,2012,7,76.8625
ANTIOQUIA,2012,8,73.94771241830065
ANTIOQUIA,2012,9,73.33333333333333
ANTIOQUIA,2012,10,77.2516129032258
ANTIOQUIA,2012,11,77.32885906040268
ANTIOQUIA,2012,12,75.13071895424837
ANTIOQUIA,2012,13,74.84177215189874
ANTIOQUIA,2012,14,76.69127516778524
ANTIOQUIA,2012,15,78.58536585365853
ANTIOQUIA,2013,1,63.42290748898679
ANTIOQUIA,2013,2,61.42986425339367
ANTIOQUIA,2013,3,65.19883040935673
ANTIOQUIA,2013,4,65.38364779874213
ANTIOQUIA,2013,5,63.027272727272724
ANTIOQUIA,2013,6,60.30275229357798
ANTIOQUIA,2013,7,60.535545023696685
ANTIOQUIA,2013,8,57.004950495049506
ANTIOQUIA,2013,9,57.36413043478261
ANTIOQUIA,2013,10,57.44843049327354
ANTIOQUIA,2013,11,61.08780487804878
ANTIOQUIA,2013,12,62.72043010752688
ANTIOQUIA,2013,13,66.23076923076923
ANTIOQUIA,2013,14,58.10091743119266
ANTIOQUIA,2013,15,46.28
ANTIOQUIA,2014,1,58.58181818181818
ANTIOQUIA,2014,2,59.399103139013455
ANTIOQUIA,2014,3,60.28378378378378
ANTIOQUIA,2014,4,56.06666666666667
ANTIOQUIA,2014,5,60.09216589861751
ANTIOQUIA,2014,6,65.13839285714286
ANTIOQUIA,2014,7,57.79372197309417
ANTIOQUIA,2014,8,58.82743362831859
ANTIOQUIA,2014,9,57.755760368663594
ANTIOQUIA,2014,10,58.972727272727276
ANTIOQUIA,2014,11,59.959276018099544
ANTIOQUIA,2014,12,59.88444444444445
ANTIOQUIA,2014,13,56.638888888888886
ANTIOQUIA,2014,14,56.869955156950674
ANTIOQUIA,2014,15,57.63720930232558
ANTIOQUIA,2015,1,50.609848484848484
ANTIOQUIA,2015,2,48.43629343629344
ANTIOQUIA,2015,3,47.397683397683394
ANTIOQUIA,2015,4,46.80416666666667
ANTIOQUIA,2015,5,47.8406374501992
ANTIOQUIA,2015,6,47.174418604651166
ANTIOQUIA,2015,7,48.88931297709924
ANTIOQUIA,2015,8,52.93333333333333
ANTIOQUIA,2015,9,51.235772357723576
ANTIOQUIA,2015,10,51.35496183206107
ANTIOQUIA,2015,11,51.19166666666667
ANTIOQUIA,2015,12,51.6600790513834
ANTIOQUIA,2015,13,58.27651515151515
ANTIOQUIA,2015,14,57.095419847328245
ANTIOQUIA,2015,15,58.922448979591834
ANTIOQUIA,2016,1,74.968
ANTIOQUIA,2016,2,79.70416666666667
ANTIOQUIA,2016,3,75.52032520325203
ANTIOQUIA,2016,4,80.1890756302521
ANTIOQUIA,2016,5,78.31512605042016
ANTIOQUIA,2016,6,79.24166666666666
ANTIOQUIA,2016,7,78.75949367088607
ANTIOQUIA,2016,8,75.85652173913043
ANTIOQUIA,2016,9,75.44061302681992
ANTIOQUIA,2016,10,74.88461538461539
ANTIOQUIA,2016,11,75.25475285171103
ANTIOQUIA,2016,12,75.9272030651341
ANTIOQUIA,2016,13,75.727969348659
ANTIOQUIA,2016,14,76.08076923076923
ANTIOQUIA,2016,15,71.38996138996139
ANTIOQUIA,2017,1,79.63793103448276
ANTIOQUIA,2017,2,78.4922480620155
ANTIOQUIA,2017,3,79.93609022556392
ANTIOQUIA,2017,4,82.08333333333333
ANTIOQUIA,2017,5,85.38545454545455
ANTIOQUIA,2017,6,82.33793103448276
ANTIOQUIA,2017,7,82.72789115646259
ANTIOQUIA,2017,8,88.35763888888889
ANTIOQUIA,2017,9,86.86779661016949
ANTIOQUIA,2017,10,80.44897959183673
ANTIOQUIA,2017,11,78.53795379537954
ANTIOQUIA,2017,12,78.15161290322581
ANTIOQUIA,2017,13,80.22372881355932
ANTIOQUIA,2017,14,81.81292517006803
ANTIOQUIA,2017,15,84.43103448275862
ANTIOQUIA,2018,1,79.47170742743312
ANTIOQUIA,2018,2,81.36877100472812
ANTIOQUIA,2018,3,79.62100117590363
ANTIOQUIA,2018,4,78.55233965960981
ANTIOQUIA,2018,5,81.8758203524416
ANTIOQUIA,2018,6,76.4874289364407
ANTIOQUIA,2018,7,69.58719262596072
ANTIOQUIA,2018,8,73.78878923410971
ANTIOQUIA,2018,9,88.08945893482493
ANTIOQUIA,2018,10,79.96016571949947
ANTIOQUIA,2018,11,79.17940559552356
ANTIOQUIA,2018,12,83.83127081423896
ANTIOQUIA,2018,13,80.68237495385907
ANTIOQUIA,2018,14,80.006244255618
ANTIOQUIA,2018,15,79.0141941987041
ANTIOQUIA,2019,1,57.15947456082474
ANTIOQUIA,2019,2,57.25048962318841
ANTIOQUIA,2019,3,55.10702580445547
ANTIOQUIA,2019,4,59.993038120082815
ANTIOQUIA,2019,5,68.73474342105266
ANTIOQUIA,2019,6,71.34293529904974
ANTIOQUIA,2019,7,70.26041666666667
ANTIOQUIA,2019,8,67.37908470344011
ANTIOQUIA,2019,9,82.58054025283904
ANTIOQUIA,2019,10,78.45192545934064
ANTIOQUIA,2019,11,71.53792617241379
ANTIOQUIA,2019,12,69.41092410952805
ANTIOQUIA,2019,13,73.26112626008965
ANTIOQUIA,2019,14,75.32342735267453
ANTIOQUIA,2019,15,70.8311642565217
ANTIOQUIA,2020,1,82.6855786757302
ANTIOQUIA,2020,2,77.97643531684687
ANTIOQUIA,2020,3,73.05824388123527
ANTIOQUIA,2020,4,69.96111717664103
ANTIOQUIA,2020,5,68.87744283902013
ANTIOQUIA,2020,6,69.5915814499193
ANTIOQUIA,2020,7,66.06157950463141
ANTIOQUIA,2020,8,64.782565343543
ANTIOQUIA,2020,9,63.327723642857144
ANTIOQUIA,2020,10,62.753527635705645
ANTIOQUIA,2020,11,60.20335062174094
ANTIOQUIA,2020,12,59.503394079581966
ANTIOQUIA,2020,13,64.19648238961051
ANTIOQUIA,2020,14,67.42682429290102
ANTIOQUIA,2020,15,74.68219662515077
ANTIOQUIA,2021,1,76.53836274885842
ANTIOQUIA,2021,2,74.6825179393939
ANTIOQUIA,2021,3,78.18059098701306
ANTIOQUIA,2021,4,85.38615044827581
ANTIOQUIA,2021,9,78.53826737851658
ANTIOQUIA,2021,10,75.84383459518605
ANTIOQUIA,2021,11,79.95390844809866
ANTIOQUIA,2021,12,74.90009519628103
ANTIOQUIA,2021,13,73.59505419167479
ANTIOQUIA,2021,14,76.34502298565843
ANTIOQUIA,2021,15,72.75985245128201
ANTIOQUIA,2022,1,83.52987495565415
ANTIOQUIA,2022,2,84.23148408577885
ANTIOQUIA,2022,3,76.66247156956004
ANTIOQUIA,2022,4,72.08684189010988
ANTIOQUIA,2022,6,88.28639158730158
ANTIOQUIA,2022,7,90.63231216905899
ANTIOQUIA,2022,8,89.78765187943264
ANTIOQUIA,2022,10,88.5338256555773
ANTIOQUIA,2022,11,85.83751262711866
ANTIOQUIA,2022,12,79.91854045649073
ANTIOQUIA,2022,13,80.10127305059527
ANTIOQUIA,2022,14,75.53099064729184
ANTIOQUIA,2022,15,70.74144804245282
ANTIOQUIA,2023,1,89.17202058096417
ANTIOQUIA,2023,2,79.50172025613655
ANTIOQUIA,2023,3,88.40663585564603
ANTIOQUIA,2023,4,78.33546307462692
ANTIOQUIA,2023,5,78.35478422869465
ANTIOQUIA,2023,6,82.40238353982303
ANTIOQUIA,2023,7,87.28160132415255
ANTIOQUIA,2023,8,84.62236949795083
ANTIOQUIA,2023,9,86.03285603718204
ANTIOQUIA,2023,10,89.48955278959812
ANTIOQUIA,2023,11,85.47623008781572
ANTIOQUIA,2023,12,84.41819318233306
ANTIOQUIA,2023,13,81.96561931182796
ANTIOQUIA,2023,14,81.33213605494507
ANTIOQUIA,2023,15,78.75383243764178
ANTIOQUIA,2024,12,0.75
ANTIOQUIA,2025,1,80.97750000000003
ANTIOQUIA,2025,2,80.76446869070199
ANTIOQUIA,2025,3,83.92135316698653
ANTIOQUIA,2025,4,83.53999042145597
ANTIOQUIA,2025,5,83.870973871734
ANTIOQUIA,2025,6,79.99625000000007
ANTIOQUIA,2025,7,81.00363462458158
ANTIOQUIA,2025,8,78.3987012987013
ANTIOQUIA,2025,9,79.15816618911178
ANTIOQUIA,2025,10,77.57116301239272
ANTIOQUIA,2025,11,76.99016083254487
ANTIOQUIA,2025,12,75.28551068883607
ANTIOQUIA,2025,13,74.27664584334451
ANTIOQUIA,2025,14,73.22366224840454
ANTIOQUIA,2025,15,73.89633458646612
ARAUCA,2016,1,95.30454545454545
ARAUCA,2016,2,94.6391304347826
ARAUCA,2016,3,87.02208333333334
ARAUCA,2016,4,85.45291666666667
ARAUCA,2016,5,87.44958333333334
ARAUCA,2016,6,92.20608695652174
ARAUCA,2016,7,82.70217391304347
ARAUCA,2016,8,56.85478260869566
ARAUCA,2016,9,50.40625000000001
ARAUCA,2016,10,35.46
ARAUCA,2016,11,34.750416666666666
ARAUCA,2016,12,34.14043478260869
ARAUCA,2016,13,17.748749999999998
ARAUCA,2016,14,35.971250000000005
ARAUCA,2016,15,35.85375
ARAUCA,2017,1,91.75166666666667
ARAUCA,2017,2,82.75000000000001
ARAUCA,2017,3,65.20833333333333
ARAUCA,2017,4,94.655
ARAUCA,2017,9,96.05454545454545
ARAUCA,2017,10,89.13583333333334
ARAUCA,2017,11,89.42416666666666
ARAUCA,2017,12,95.27666666666669
ARAUCA,2017,13,96.89166666666667
ARAUCA,2017,14,88.24125000000002
ARAUCA,2017,15,75.59583333333333
ARAUCA,2018,1,87.34444444444443
ARAUCA,2018,2,97.0086956521739
ARAUCA,2018,3,97.03478260869566
ARAUCA,2018,4,75.62777777777778
ARAUCA,2018,5,76.3153846153846
ARAUCA,2018,6,70.63529411764706
ARAUCA,2018,7,68.39999999999999
ARAUCA,2018,8,83.67647058823528
ARAUCA,2018,9,99.02857142857144
ARAUCA,2018,10,75.85
ARAUCA,2018,11,85.66521739130434
ARAUCA,2018,12,97.56086956521737
ARAUCA,2018,13,82.43333333333334
ARAUCA,2018,14,90.65416666666665
ARAUCA,2018,15,94.0791666666667
ARAUCA,2019,1,51.975
ARAUCA,2019,2,23.858333333333334
ARAUCA,2019,3,77.29166666666667
ARAUCA,2019,4,77.91666666666666
