Departamento,year,month,agg_ValorObservado
<nil>,2013,11,82.19999999999999
<nil>,2013,12,68.39999999999999
<nil>,2014,1,361.0999999999999
<nil>,2014,2,787.2000000000003
<nil>,2014,3,251.40000000000003
<nil>,2014,5,29.0
<nil>,2014,6,5.799999999999999
<nil>,2014,7,1.9000000000000006
<nil>,2014,8,26.7
<nil>,2014,9,6.500000000000001
<nil>,2014,10,259.3
<nil>,2014,11,313.2
<nil>,2014,12,93.39999999999999
<nil>,2015,1,5.5
<nil>,2015,2,97.50000000000001
<nil>,2015,3,204.79999999999995
<nil>,2015,4,73.19999999999997
<nil>,2015,5,23.299999999999994
<nil>,2015,6,16.7
<nil>,2015,7,31.300000000000015
<nil>,2015,8,1.3
<nil>,2015,9,3.9000000000000012
<nil>,2015,10,130.39999999999995
<nil>,2015,11,109.80000000000003
<nil>,2015,12,5.1
<nil>,2016,1,9.899999999999999
<nil>,2016,2,36.800000000000004
<nil>,2016,3,120.5
<nil>,2016,4,145.2
<nil>,2016,5,61.700000000000024
<nil>,2016,6,18.899999999999995
<nil>,2016,7,17.399999999999995
<nil>,2016,8,11.599999999999998
<nil>,2016,9,74.20000000000002
<nil>,2016,10,123.59999999999998
<nil>,2016,11,1.8000000000000005
<nil>,2016,12,0.9999999999999999
<nil>,2017,1,0.8999999999999999
<nil>,2017,2,2.1
<nil>,2017,3,148.99999999999997
<nil>,2017,4,3.3
<nil>,2017,5,0.0
<nil>,2017,6,0.0
<nil>,2017,7,0.0
<nil>,2017,8,14.899999999999999
<nil>,2017,9,45.70000000000001
<nil>,2017,10,23.30000000000003
<nil>,2017,11,145.79999999999995
<nil>,2017,12,36.7
<nil>,2018,1,0.0
<nil>,2018,2,17.499999999999996
<nil>,2018,3,105.89999999999995
<nil>,2018,4,56.70000000000002
<nil>,2018,5,570.5999999999998
<nil>,2018,6,893.3000000000006
<nil>,2018,7,439.9000000000001
<nil>,2018,8,437.0
<nil>,2018,9,283.80000000000007
<nil>,2018,10,809.7999999999998
<nil>,2018,11,195.59999999999994
<nil>,2018,12,62.899999999999984
<nil>,2019,1,124.4
<nil>,2019,2,141.80000000000004
<nil>,2019,3,266.8
<nil>,2019,4,58.8
<nil>,2019,5,0.0
AMAZONAS,2017,1,1.4000000000000001
AMAZONAS,2017,2,131.47999999999996
AMAZONAS,2017,3,755.6800000000004
AMAZONAS,2017,4,566.7299999999998
AMAZONAS,2017,5,402.47999999999996
AMAZONAS,2017,6,1821.3
AMAZONAS,2017,7,1116.8699999999997
AMAZONAS,2017,8,2017.8
AMAZONAS,2017,9,3928.92
AMAZONAS,2017,10,3936.1599999999994
AMAZONAS,2017,11,4368.629999999998
AMAZONAS,2017,12,1872.2499999999998
AMAZONAS,2018,1,68.87
AMAZONAS,2018,2,253.12000000000003
AMAZONAS,2018,3,290.41999999999985
AMAZONAS,2018,4,206.84999999999994
AMAZONAS,2018,5,393.03999999999985
AMAZONAS,2018,6,119.00000000000003
AMAZONAS,2018,7,68.27999999999999
AMAZONAS,2018,10,313.24
AMAZONAS,2018,11,459.3899999999999
AMAZONAS,2018,12,822.57
AMAZONAS,2019,1,691.1599999999997
AMAZONAS,2019,2,508.17
AMAZONAS,2019,3,312.9000000000001
AMAZONAS,2019,4,294.04
AMAZONAS,2019,5,232.95999999999998
AMAZONAS,2019,6,388.59000000000003
AMAZONAS,2019,7,340.0600000000001
AMAZONAS,2019,8,191.73000000000005
AMAZONAS,2019,9,628.0600000000001
AMAZONAS,2019,10,519.9399999999996
AMAZONAS,2019,11,715.8499999999993
AMAZONAS,2019,12,2299.979999999999
AMAZONAS,2020,1,1667.04
AMAZONAS,2020,2,976.4899999999997
AMAZONAS,2020,3,174.59000000000003
AMAZONAS,2020,4,1207.6199999999997
AMAZONAS,2020,5,1655.4199999999958
AMAZONAS,2020,6,1243.5099999999998
AMAZONAS,2020,7,1058.0499999999997
AMAZONAS,2020,8,351.4799999999999
AMAZONAS,2020,9,751.9299999999998
AMAZONAS,2020,10,1071.36
AMAZONAS,2020,11,269.3399999999998
AMAZONAS,2020,12,304.9899999999998
AMAZONAS,2021,1,623.5999999999996
AMAZONAS,2021,2,502.60999999999945
AMAZONAS,2021,3,647.3900000000002
AMAZONAS,2021,4,433.16999999999973
AMAZONAS,2021,5,404.4499999999997
AMAZONAS,2021,6,292.73
AMAZONAS,2021,7,205.14000000000007
AMAZONAS,2021,8,26.750000000000018
AMAZONAS,2021,9,0.0
AMAZONAS,2021,10,0.0
AMAZONAS,2022,2,170.93000000000018
AMAZONAS,2022,3,94.14000000000019
AMAZONAS,2022,4,355.66000000000014
AMAZONAS,2022,5,142.7
AMAZONAS,2022,6,52.77999999999999
AMAZONAS,2022,8,141.51000000000005
AMAZONAS,2022,9,94.21999999999997
AMAZONAS,2022,10,0.0
AMAZONAS,2022,11,2.6399999999999983
AMAZONAS,2022,12,258.4900000000002
AMAZONAS,2023,1,284.47999999999985
AMAZONAS,2023,2,151.88999999999993
AMAZONAS,2023,7,1.1400000000000001
AMAZONAS,2023,8,99.55000000000024
AMAZONAS,2023,9,266.6299999999996
AMAZONAS,2023,10,1259.1100000000135
AMAZONAS,2023,11,2516.7899999999554
AMAZONAS,2023,12,5433.5699999992
AMAZONAS,2024,1,5152.419999999837
AMAZONAS,2024,2,4281.009999999585
AMAZONAS,2024,3,3284.6700000000255
AMAZONAS,2024,4,2663.7099999997113
AMAZONAS,2024,5,2621.1099999997764
AMAZONAS,2024,6,1674.0899999999453
AMAZONAS,2024,7,25.8
AMAZONAS,2024,8,332.9999999999999
AMAZONAS,2024,9,128.30000000000007
AMAZONAS,2024,10,1197.4000000000196
AMAZONAS,2024,11,526.1999999999955
AMAZONAS,2024,12,1407.400000000002
AMAZONAS,2025,1,1318.5999999999967
AMAZONAS,2025,2,340.2999999999967
AMAZONAS,2025,3,108.99999999999925
ANTIOQUIA,2005,1,801.6000000000001
ANTIOQUIA,2005,2,716.5000000000001
ANTIOQUIA,2005,3,831.4000000000001
