Departamento,year,day,agg_ValorObservado
<nil>,2014,3,0.0
<nil>,2014,4,0.0
<nil>,2014,5,0.0
<nil>,2014,6,0.0
<nil>,2014,7,0.0
<nil>,2014,8,0.0
<nil>,2014,9,3.1000000000000005
<nil>,2014,10,0.0
<nil>,2014,11,8.4
<nil>,2014,12,0.0
<nil>,2014,13,0.0
<nil>,2014,14,0.0
<nil>,2014,15,0.0
<nil>,2015,1,0.0
<nil>,2015,2,0.0
<nil>,2015,3,0.0
<nil>,2015,4,0.0
<nil>,2015,5,0.0
<nil>,2015,6,0.0
<nil>,2015,7,0.0
<nil>,2015,8,0.0
<nil>,2015,9,0.0
<nil>,2015,10,0.0
<nil>,2015,11,0.0
<nil>,2015,12,0.0
<nil>,2015,13,0.0
<nil>,2015,14,0.0
<nil>,2015,15,0.0
<nil>,2016,1,0.0
<nil>,2016,2,0.8999999999999999
<nil>,2016,3,0.4
<nil>,2016,4,0.0
<nil>,2016,5,0.0
<nil>,2016,6,0.0
<nil>,2016,7,0.0
<nil>,2016,8,0.30000000000000004
<nil>,2016,9,3.2
<nil>,2016,10,0.0
<nil>,2016,11,0.0
<nil>,2016,12,0.0
<nil>,2016,13,0.0
<nil>,2016,14,0.0
<nil>,2016,15,0.0
<nil>,2017,1,0.0
<nil>,2017,2,0.0
<nil>,2017,3,0.1
<nil>,2017,4,0.0
<nil>,2017,5,0.0
<nil>,2017,6,0.0
<nil>,2017,7,0.0
<nil>,2017,8,0.1
<nil>,2017,9,0.0
<nil>,2017,10,0.1
<nil>,2017,11,0.0
<nil>,2017,12,0.1
<nil>,2017,13,0.0
<nil>,2017,14,0.1
<nil>,2017,15,0.0
<nil>,2018,1,0.0
<nil>,2018,2,0.0
<nil>,2018,3,0.0
<nil>,2018,4,0.0
<nil>,2018,5,0.0
<nil>,2018,6,0.0
<nil>,2018,7,0.0
<nil>,2018,8,0.0
<nil>,2018,9,0.0
<nil>,2018,10,0.0
<nil>,2018,11,0.0
<nil>,2018,12,0.0
<nil>,2018,13,0.0
<nil>,2018,14,0.0
<nil>,2018,15,0.0
<nil>,2019,1,1.1
<nil>,2019,2,2.8000000000000003
<nil>,2019,3,2.0
<nil>,2019,4,3.7
<nil>,2019,5,3.1
<nil>,2019,6,2.4
<nil>,2019,7,2.4000000000000004
<nil>,2019,8,2.6
<nil>,2019,9,5.3999999999999995
<nil>,2019,10,12.499999999999998
<nil>,2019,11,12.999999999999996
<nil>,2019,12,3.8
<nil>,2019,13,2.6999999999999997
<nil>,2019,14,3.4
<nil>,2019,15,3.7
AMAZONAS,2018,1,21.62
AMAZONAS,2018,2,5.919999999999998
AMAZONAS,2018,3,0.1
AMAZONAS,2018,4,0.0
AMAZONAS,2018,5,0.6300000000000001
AMAZONAS,2018,6,0.71
AMAZONAS,2018,7,0.30000000000000004
AMAZONAS,2018,8,0.04
AMAZONAS,2018,9,0.1
AMAZONAS,2018,10,0.0
AMAZONAS,2018,11,0.09999999999999999
AMAZONAS,2018,12,0.0
AMAZONAS,2018,13,2.0
AMAZONAS,2018,14,0.0
AMAZONAS,2018,15,0.0
AMAZONAS,2019,1,9.45
AMAZONAS,2019,2,6.339999999999999
AMAZONAS,2019,3,28.889999999999997
AMAZONAS,2019,4,24.250000000000004
AMAZONAS,2019,5,75.52999999999997
AMAZONAS,2019,6,19.710000000000008
AMAZONAS,2019,7,9.71
AMAZONAS,2019,8,41.95
