Departamento,year,month,agg_ValorObservado
<nil>,2013,10,10.01578947368421
<nil>,2013,11,10.327777777777778
<nil>,2013,12,10.536021505376345
<nil>,2014,1,11.314784946236557
<nil>,2014,2,11.091220238095238
<nil>,2014,3,11.480107526881717
<nil>,2014,4,11.136666666666667
<nil>,2014,5,11.230913978494625
<nil>,2014,6,11.219722222222224
<nil>,2014,7,10.784677419354837
<nil>,2014,8,10.398233995584986
<nil>,2017,2,21.9
<nil>,2017,3,19.19058823529412
<nil>,2017,4,22.40794198895028
<nil>,2017,8,25.858108108108105
<nil>,2018,2,22.96151484135108
AMAZONAS,2007,5,19.61791044776119
AMAZONAS,2007,6,24.25
AMAZONAS,2007,7,26.14972067039107
AMAZONAS,2007,8,26.66274509803922
AMAZONAS,2007,9,26.443575418994417
AMAZONAS,2008,4,25.832959641255606
AMAZONAS,2008,5,25.19649859943977
AMAZONAS,2008,6,25.272640000000006
AMAZONAS,2008,7,25.752593659942367
AMAZONAS,2008,8,26.393785310734458
AMAZONAS,2008,9,25.98985507246376
AMAZONAS,2008,10,26.589237057220707
AMAZONAS,2008,11,26.797457627118646
AMAZONAS,2008,12,26.559565217391306
AMAZONAS,2009,1,25.687849162011172
AMAZONAS,2009,2,25.738437500000003
AMAZONAS,2009,3,25.84838235294117
AMAZONAS,2009,4,26.07841140529532
AMAZONAS,2009,5,25.968506056527595
AMAZONAS,2009,6,25.432137518684602
AMAZONAS,2009,7,25.737209302325585
AMAZONAS,2009,8,26.406284153005473
AMAZONAS,2009,9,27.827403156384513
AMAZONAS,2009,10,27.51455882352942
AMAZONAS,2009,11,27.667362924281985
AMAZONAS,2009,12,26.214285714285715
AMAZONAS,2010,1,26.53867768595041
AMAZONAS,2010,2,27.212110726643598
AMAZONAS,2010,3,26.84167893961709
AMAZONAS,2010,4,26.87302752293578
AMAZONAS,2010,5,26.632663316582914
AMAZONAS,2010,6,25.606493506493507
AMAZONAS,2010,7,24.886878453038666
AMAZONAS,2010,8,26.129510489510494
AMAZONAS,2010,9,27.069117647058828
AMAZONAS,2010,10,27.17471264367816
AMAZONAS,2010,11,26.74477379095164
AMAZONAS,2010,12,26.38797202797203
AMAZONAS,2011,1,25.98293706293707
AMAZONAS,2011,2,26.339393939393936
AMAZONAS,2011,3,26.08612716763006
AMAZONAS,2011,4,26.22279202279203
AMAZONAS,2011,5,25.550358680057382
AMAZONAS,2011,6,25.3215477996965
AMAZONAS,2011,7,25.533008356545963
