Departamento,year,day,agg_ValorObservado
<nil>,2014,1,10.6
<nil>,2014,2,12.283333333333333
<nil>,2014,3,11.604166666666666
<nil>,2014,4,10.8125
<nil>,2014,5,10.049999999999999
<nil>,2014,6,10.304166666666665
<nil>,2014,7,9.920833333333333
<nil>,2014,8,11.083333333333334
<nil>,2014,9,11.958333333333334
<nil>,2014,10,12.191666666666668
<nil>,2014,11,12.491666666666665
<nil>,2014,12,10.8125
<nil>,2014,13,11.708333333333334
<nil>,2014,14,11.283333333333337
<nil>,2014,15,11.091666666666663
AMAZONAS,2009,1,26.825
AMAZONAS,2009,2,27.504166666666666
AMAZONAS,2009,3,25.758333333333336
AMAZONAS,2009,4,26.316666666666663
AMAZONAS,2009,5,26.249999999999996
AMAZONAS,2009,6,26.241666666666664
AMAZONAS,2009,7,26.47916666666667
AMAZONAS,2009,8,25.295833333333334
AMAZONAS,2009,9,25.12173913043479
AMAZONAS,2009,10,23.849999999999994
AMAZONAS,2009,11,25.683333333333337
AMAZONAS,2009,12,23.587500000000002
AMAZONAS,2009,13,25.566666666666666
AMAZONAS,2009,14,24.808333333333337
AMAZONAS,2009,15,25.908333333333335
AMAZONAS,2010,1,27.691666666666663
AMAZONAS,2010,2,28.390476190476186
AMAZONAS,2010,3,25.891666666666666
AMAZONAS,2010,4,24.90869565217391
AMAZONAS,2010,5,25.686956521739127
AMAZONAS,2010,6,25.81739130434783
AMAZONAS,2010,7,27.4875
AMAZONAS,2010,8,27.31875
AMAZONAS,2010,12,31.549999999999997
AMAZONAS,2010,13,26.593749999999996
AMAZONAS,2010,14,27.59090909090909
AMAZONAS,2010,15,24.40869565217391
AMAZONAS,2011,1,27.573913043478264
AMAZONAS,2011,2,26.549999999999997
AMAZONAS,2011,3,26.49166666666667
AMAZONAS,2011,4,26.87391304347825
AMAZONAS,2011,5,27.27916666666667
AMAZONAS,2011,6,25.258333333333336
AMAZONAS,2011,7,25.990909090909096
AMAZONAS,2011,8,25.183333333333326
AMAZONAS,2011,9,25.970833333333335
AMAZONAS,2011,10,24.97083333333333
AMAZONAS,2011,11,26.59130434782609
AMAZONAS,2011,12,24.8875
AMAZONAS,2011,13,26.639130434782604
AMAZONAS,2011,14,25.117391304347823
AMAZONAS,2011,15,25.795652173913048
AMAZONAS,2012,1,2.066666666666667
AMAZONAS,2012,2,3.65
AMAZONAS,2012,3,6.741666666666667
AMAZONAS,2012,4,3.5999999999999996
AMAZONAS,2012,6,6.3125
AMAZONAS,2012,8,0.5555555555555556
AMAZONAS,2012,9,0.05
AMAZONAS,2012,11,1.0625
AMAZONAS,2012,12,1.2230769230769232
AMAZONAS,2012,14,4.633333333333333
AMAZONAS,2012,15,1.9916666666666665
AMAZONAS,2013,1,24.508695652173916
AMAZONAS,2013,2,25.055
AMAZONAS,2013,3,23.90909090909091
AMAZONAS,2013,4,26.253846153846148
AMAZONAS,2013,5,26.15416666666667
AMAZONAS,2013,6,27.018181818181823
AMAZONAS,2013,7,25.30869565217392
AMAZONAS,2013,8,25.604761904761908
AMAZONAS,2013,9,27.716666666666672
AMAZONAS,2013,10,25.742857142857144
AMAZONAS,2013,11,25.700000000000003
AMAZONAS,2013,12,24.949999999999996
