,cat__Departamento_AMAZONAS,cat__Departamento_ANTIOQUIA,cat__Departamento_ARAUCA,cat__Departamento_ATLANTICO,cat__Departamento_BOGOTA,cat__Departamento_BOLIVAR,cat__Departamento_BOYACA,cat__Departamento_CALDAS,cat__Departamento_CAQUETA,cat__Departamento_CASANARE,cat__Departamento_CAUCA,cat__Departamento_CESAR,cat__Departamento_CHOCO,cat__Departamento_CORDOBA,cat__Departamento_CUNDINAMARCA,cat__Departamento_GUAINIA,cat__Departamento_GUAVIARE,cat__Departamento_HUILA,cat__Departamento_LA GUAJIRA,cat__Departamento_MAGDALENA,cat__Departamento_META,cat__Departamento_NARINO,cat__Departamento_NORTE DE SANTANDER,cat__Departamento_PUTUMAYO,cat__Departamento_QUINDIO,cat__Departamento_RISARALDA,cat__Departamento_SAN ANDRES PROVIDENCIA,cat__Departamento_SANTANDER,cat__Departamento_SUCRE,cat__Departamento_TOLIMA,cat__Departamento_VALLE DEL CAUCA,cat__Departamento_VAUPES,cat__Departamento_VICHADA,num__Year,num__Month/Day,num__Rain_day,num__Rain_month,num__Temp_day,num__Temp_month,num__Humi_day,num__Humi_month,Departamento
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,25.01737758981192,23.90092705533003,88.10261617301265,81.40715859265347,AMAZONAS
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,199.49999999999994,19.324113475177302,18.957284870804212,72.29107981220658,74.61918338995723,AMAZONAS
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,4.905264220246729,3.951957049972833,78.03594011641663,74.71832512581577,AMAZONAS
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,25.899577729816357,25.022157393902006,77.34494139384024,74.7976513419913,AMAZONAS
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.1,56.599999999999994,13.195833333333338,13.873947059252108,72.58119594042768,73.82625112316492,AMAZONAS
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,26.60150585160009,27.537937315174112,73.89137866719958,71.36007625577561,AMAZONAS
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,154.50000000000003,16.23986013986014,16.813843731873344,69.4578313253012,76.82218609520747,AMAZONAS
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,17.50208333333333,17.12928294380872,77.0625,84.03181185752807,AMAZONAS
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,26.941666666666663,25.723118279569892,77.66666666666667,85.4771505376344,AMAZONAS
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,25.10833333333333,26.101917618379744,72.45833333333333,75.20764041942162,AMAZONAS
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,149.0,20.381560283687943,19.999205214922917,85.41818181818182,88.52484494805721,AMAZONAS
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,35.99999999999999,27.063265306122453,28.290848744189763,64.20833333333333,64.26180429899544,AMAZONAS
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,26.275,25.75659247251112,75.37135687383142,75.1430605086884,AMAZONAS
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,63.9,27.24239130434782,27.511500006158194,67.4697701229814,63.904005757357375,AMAZONAS
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,1.0,884.6000000000001,15.071489361702133,15.654661069824689,75.41378472765356,77.14979075795051,AMAZONAS
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,27.15000000000001,26.059867185175747,75.33827677886454,74.26148899497724,AMAZONAS
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,9.1,30.841935483870973,63.271219413608314,53.53300949430774,AMAZONAS
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,1.4,595.5000000000002,22.78617021276596,21.23817384280398,76.48170196412981,77.13002647857013,AMAZONAS
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,6.2,39.9,26.231914893617034,26.429107698768597,78.48323181622293,73.6580201787836,AMAZONAS
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,25.0,21.615662041137213,20.861165086088832,75.28380927240431,73.51084473803314,AMAZONAS
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,26.129166666666663,26.697720366356407,76.0490807446799,73.5332801298157,AMAZONAS
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,14.67439024390244,15.034472438611246,73.13895790354808,76.37053516306372,AMAZONAS
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,175.69999999999993,26.3,24.975611251768335,75.25500659201525,75.24498863663291,AMAZONAS
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,23.556676153195923,22.735486229344886,72.87355098574454,71.37351773224452,AMAZONAS
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,18.471739130434777,18.17275921409736,75.06572321813309,75.38888679896593,AMAZONAS
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,18.069999999999997,17.902713815571943,75.08453992412745,76.08701759085942,AMAZONAS
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,23.825515933799537,23.43177157846524,69.99579299440241,70.32691206257054,AMAZONAS
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.2,227.9000000000001,15.85233644859813,15.96969107499572,73.50797981607867,76.7501945505558,AMAZONAS
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2006.0,1.0,0.0,0.0,24.81538461538461,25.30506466651628,75.81115972743888,72.97681515293303,AMAZONAS
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2006.0,1.0,0.0,795.1000000000001,24.86301369863014,24.19512473029496,76.03394649338226,76.85554035498203,AMAZONAS
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2006.0,1.0,0.0,0.0,21.127972027972024,20.870425825625652,75.20047888919896,74.11309037185843,AMAZONAS
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2006.0,1.0,0.0,0.0,25.67579495644408,24.566248243434767,75.73639417609971,74.30504732948859,AMAZONAS
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2006.0,1.0,0.0,0.0,25.577239395203797,24.457180178010912,75.40080977691825,75.64535400338197,AMAZONAS
33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,25.607676664324423,24.4773297426257,88.68365563893185,81.95110607455413,AMAZONAS
34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,5.5,106.0,19.44324324324324,19.59479745185792,74.04587155963303,76.81253367652928,AMAZONAS
35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,4.876943376256959,4.074545936830256,82.91259985769746,77.23621767289825,AMAZONAS
36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,26.12132390999378,26.554403465574058,77.59072644515182,72.59792983709825,AMAZONAS
37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,1.4,6.0,13.329166666666667,14.584159865738126,69.56916681607323,70.07904736648723,AMAZONAS
38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,26.673269402440713,27.942857142857143,72.53092972997972,66.42857142857143,AMAZONAS
39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,73.39999999999999,16.670422535211262,17.428849825182166,67.0969696969697,71.27485250381083,AMAZONAS
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,17.070833333333336,17.98758177756218,80.97916666666667,82.37167356270349,AMAZONAS
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,26.879166666666663,25.630837272727273,77.58333333333333,85.15016060606062,AMAZONAS
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,25.64782608695652,26.851430977108322,71.8695652173913,69.42581227315782,AMAZONAS
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,50.9,20.106201550387595,20.626571857816412,87.54248366013071,81.23887370992362,AMAZONAS
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,5.400000000000001,27.5,26.90038694832626,63.4375,57.59909035255068,AMAZONAS
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,24.620833333333337,26.3887530268909,75.48135623155548,72.4917345208084,AMAZONAS
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,14.400000000000002,27.42555555555555,28.093001483801075,69.10468367856502,63.20563568584154,AMAZONAS
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,42.000000000000014,438.8,15.543162393162394,17.030542826706185,77.7962758200808,76.13535725885244,AMAZONAS
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,26.687500000000004,26.968804404388482,74.73875926460519,71.39520253385481,AMAZONAS
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,8.7,49.47,65.99651529300598,38.28634927643216,AMAZONAS
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,1.8000000000000005,3137.8999999999996,22.08842105263157,21.306408335492698,76.69561183137957,75.72363003272511,AMAZONAS
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.2,15.7,26.38333333333333,26.43646753855048,74.3502601317325,72.14271714878687,AMAZONAS
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,2.8000000000000003,23.25621618049279,22.732392121608367,69.46421984737724,70.76549048622049,AMAZONAS
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,0.0,0.0,26.529166666666672,27.16012411067193,75.86701831069084,73.0677619116366,AMAZONAS
