Version,Variable,Month,Departamento,n,rho,p_raw,q_FDR,sig_FDR
prim,RAIN,1,AMAZONAS,16,0.5182978121437944,0.039708915021167523,0.07244004411656763,False
prim,RAIN,1,ANTIOQUIA,21,0.734243169945136,0.00015096312977572215,0.0008302972137664718,True
prim,RAIN,1,ARAUCA,10,0.577639751552795,0.08032875159014957,0.13254244012374677,False
prim,RAIN,1,ATLANTICO,19,0.7700440528634362,0.0001150995899043658,0.000801549188840404,True
prim,RAIN,1,BOGOTA,21,0.5562564198529273,0.008827715623347712,0.019420974371364967,True
prim,RAIN,1,BOLIVAR,19,0.3309864121267387,0.1663047549271971,0.22588543701896313,False
prim,RAIN,1,BOYACA,22,0.6854170705141167,0.00043086042435902045,0.0017772992504809593,True
prim,RAIN,1,CALDAS,19,0.37840225295139984,0.11015315527660703,0.16522973291491055,False
prim,RAIN,1,CAQUETA,20,0.262107125309254,0.2642674758477903,0.3354164116529646,False
prim,RAIN,1,CASANARE,20,0.31849545649799815,0.17112533107497208,0.22588543701896313,False
prim,RAIN,1,CAUCA,21,0.5751899568060075,0.0063735019885609685,0.015023254687322282,True
prim,RAIN,1,CESAR,21,0.20436755219676495,0.37421023796958863,0.4258254432067733,False
prim,RAIN,1,CHOCO,21,0.5792207792207792,0.005931730203525636,0.015023254687322282,True
prim,RAIN,1,CORDOBA,21,0.7034981463282958,0.0003736147436683173,0.0017613266487220673,True
prim,RAIN,1,CUNDINAMARCA,22,0.6427563091666629,0.0012547474734888565,0.0037642424204665697,True
prim,RAIN,1,GUAINIA,17,-0.04561100391781775,0.8620037891558686,0.8889414075669895,False
prim,RAIN,1,GUAVIARE,6,0.5075192189225523,0.3040834952652882,0.3716576053242412,False
prim,RAIN,1,HUILA,20,0.884876096998151,2.2058991276866765e-07,7.2794671213660326e-06,True
prim,RAIN,1,LA GUAJIRA,20,0.3369219539645638,0.1463312513716127,0.2099535345766617,False
prim,RAIN,1,MAGDALENA,20,0.6768126142831622,0.0010479344277303918,0.003458183611510293,True
prim,RAIN,1,META,19,-0.47119514724271083,0.041707904188326816,0.07244004411656763,False
prim,RAIN,1,NARINO,20,0.3838320939419829,0.09477557813345619,0.148933051352574,False
prim,RAIN,1,NORTE DE SANTANDER,20,0.6894137231294519,0.000771835283250405,0.002830062705251485,True
prim,RAIN,1,PUTUMAYO,18,-0.14910518600891304,0.5548545858448808,0.5906516558993892,False
prim,RAIN,1,QUINDIO,20,0.4797421723805475,0.032308385192859515,0.06271627713908023,False
prim,RAIN,1,RISARALDA,25,0.021734921933623964,0.9178655683738606,0.9178655683738606,False
prim,RAIN,1,SAN ANDRES PROVIDENCIA,13,0.662999251696279,0.013512901654004353,0.02787035966138398,True
prim,RAIN,1,SANTANDER,20,0.8126538761427267,1.3378911984904261e-05,0.00014716803183394687,True
prim,RAIN,1,SUCRE,21,0.8268817007830391,3.8087584854188586e-06,6.284451500941117e-05,True
prim,RAIN,1,TOLIMA,20,0.7544190078455887,0.0001214468467940006,0.000801549188840404,True
prim,RAIN,1,VALLE DEL CAUCA,23,0.5954809655828213,0.002718786843960016,0.007476663820890044,True
prim,RAIN,1,VAUPES,6,0.4058397249567139,0.42466250756136453,0.467128758317501,False
prim,RAIN,1,VICHADA,3,0.8660254037844387,0.3333333333333332,0.39285714285714274,False
prim,RAIN,2,AMAZONAS,17,-0.04707264844519063,0.8576232744161726,0.884424001741678,False
prim,RAIN,2,ANTIOQUIA,21,0.6813900976457306,0.0006711722963543287,0.009750179461761673,True
