Version,Variable,Month,Departamento,n,rho,p_raw,q_FDR,sig_FDR
avg,HUMI,3,VICHADA,3,1.0,0.0,0.0,True
avg,HUMI,4,VICHADA,3,1.0,0.0,0.0,True
avg,HUMI,5,VICHADA,3,-1.0,0.0,0.0,True
avg,HUMI,3,GUAVIARE,5,0.9746794344808963,0.004818230468198566,0.013250133787546055,True
avg,HUMI,2,CESAR,21,0.9282234981275013,1.3389331606330511e-09,4.418479430089069e-08,True
avg,HUMI,1,CAQUETA,20,0.8917293233082706,1.3029570145042387e-07,4.299758147863988e-06,True
avg,HUMI,1,MAGDALENA,20,0.8577880532124933,1.3328444932755505e-06,1.4661289426031055e-05,True
avg,HUMI,2,CASANARE,19,0.8491228070175438,4.2696917643518e-06,7.04499141118047e-05,True
avg,HUMI,1,CAUCA,21,0.8480519480519481,1.2038040858545719e-06,1.4661289426031055e-05,True
avg,HUMI,1,CASANARE,20,0.8330827067669173,5.123854828137097e-06,4.227180233213105e-05,True
avg,RAIN,1,HUILA,20,0.9263157894736842,4.6441397916991325e-09,1.4861247333437224e-07,True
avg,RAIN,1,SAN ANDRES PROVIDENCIA,13,0.9023392305243964,2.4445741031329683e-05,8.691819033361665e-05,True
avg,RAIN,1,SUCRE,21,0.898169610842365,3.293646549446911e-08,5.269834479115058e-07,True
avg,RAIN,1,ANTIOQUIA,21,0.8675324675324675,3.540621138626703e-07,3.776662547868483e-06,True
avg,RAIN,4,ARAUCA,9,0.8451956828432803,0.004116597419302816,0.026346223483538024,True
avg,RAIN,1,CHOCO,21,0.8272727272727272,3.7338564670140105e-06,2.9870851736112084e-05,True
avg,RAIN,12,ARAUCA,10,0.8216436866170587,0.003548303099646482,0.05854700114416696,False
avg,RAIN,1,CORDOBA,21,0.8179572595773004,5.916661405915654e-06,3.786663299786018e-05,True
avg,RAIN,6,VAUPES,6,-0.8116794499134278,0.04985758510134042,0.15218910046254533,False
avg,RAIN,1,BOGOTA,21,0.8045539091208156,1.0987333359155174e-05,5.0227809641852225e-05,True
avg,TEMP,3,VICHADA,3,1.0,0.0,0.0,True
avg,TEMP,4,GUAVIARE,4,1.0,0.0,0.0,True
avg,TEMP,4,VICHADA,3,1.0,0.0,0.0,True
avg,TEMP,6,VICHADA,3,1.0,0.0,0.0,True
avg,TEMP,10,VAUPES,5,1.0,0.0,0.0,True
avg,TEMP,12,VICHADA,3,-1.0,0.0,0.0,True
avg,TEMP,2,GUAVIARE,5,0.9999999999999999,1.4042654220543672e-24,4.6340758927794115e-23,True
avg,TEMP,1,RISARALDA,25,0.9798449612403101,1.3682038504597097e-17,4.515072706517042e-16,True
avg,TEMP,1,BOYACA,22,0.9774138904573689,5.68056764784103e-15,6.248624412625133e-14,True
avg,TEMP,2,RISARALDA,25,0.9767441860465117,6.986922691271849e-17,1.1528422440598551e-15,True
prim,HUMI,2,VAUPES,6,-0.9411764705882354,0.005088540606554024,0.015265621819662073,True
prim,HUMI,4,GUAINIA,14,0.9299917552777899,1.4599061881032084e-06,4.817690420740588e-05,True
prim,HUMI,5,GUAVIARE,5,0.8999999999999998,0.03738607346849875,0.11215822040549626,False
prim,HUMI,3,VICHADA,3,0.8660254037844387,0.3333333333333332,0.3793103448275861,False
prim,HUMI,4,VICHADA,3,0.8660254037844387,0.3333333333333332,0.43999999999999984,False
prim,HUMI,5,VICHADA,3,-0.8660254037844387,0.3333333333333332,0.43999999999999984,False
prim,HUMI,11,QUINDIO,20,-0.8465768161859271,2.5275562859589674e-06,8.340935743664593e-05,True
prim,HUMI,2,CASANARE,19,0.8456140350877193,5.126337694093511e-06,8.458457195254293e-05,True
