Year,Model,RMSE,Month,Target,FeatureSet
2001,GlobalClim,117.86102849479452,2,HUMI,AVG
2001,DeptClim,117.72542717415179,2,HUMI,AVG
2001,Persist,61.28619970252976,2,HUMI,AVG
2001,Ridge,45.29237430487933,2,HUMI,AVG
2001,RF,28.716232147556514,2,HUMI,AVG
2001,HGB,38.99042368938436,2,HUMI,AVG
2002,GlobalClim,92.04156801833427,2,HUMI,AVG
2002,DeptClim,88.95627002480269,2,HUMI,AVG
2002,Persist,74.95603914075282,2,HUMI,AVG
2002,Ridge,19.742914462882958,2,HUMI,AVG
2002,RF,14.43383088854241,2,HUMI,AVG
2002,HGB,16.222289940008196,2,HUMI,AVG
2003,GlobalClim,94.28827301560766,2,HUMI,AVG
2003,DeptClim,92.25481146127798,2,HUMI,AVG
2003,Persist,58.11195933089285,2,HUMI,AVG
2003,Ridge,21.189263172567603,2,HUMI,AVG
2003,RF,6.105602197151764,2,HUMI,AVG
2003,HGB,15.043976634860885,2,HUMI,AVG
2004,GlobalClim,104.04781852015736,2,HUMI,AVG
2004,DeptClim,102.49378050353208,2,HUMI,AVG
2004,Persist,68.92081931296603,2,HUMI,AVG
2004,Ridge,33.479286779915775,2,HUMI,AVG
2004,RF,28.46998817258559,2,HUMI,AVG
2004,HGB,30.39590707078656,2,HUMI,AVG
2005,GlobalClim,68.80972157774558,2,HUMI,AVG
2005,DeptClim,68.50323809290067,2,HUMI,AVG
2005,Persist,64.18664483964413,2,HUMI,AVG
2005,Ridge,7.400169101843342,2,HUMI,AVG
2005,RF,12.764104671480894,2,HUMI,AVG
2005,HGB,9.481316534756784,2,HUMI,AVG
2006,GlobalClim,67.87127566862651,2,HUMI,AVG
2006,DeptClim,68.34890051120236,2,HUMI,AVG
2006,Persist,72.82371741684855,2,HUMI,AVG
2006,Ridge,10.013400212789612,2,HUMI,AVG
2006,RF,10.466319744854772,2,HUMI,AVG
2006,HGB,10.367641629127503,2,HUMI,AVG
2007,GlobalClim,71.05818631378914,2,HUMI,AVG
2007,DeptClim,71.2195427776674,2,HUMI,AVG
2007,Persist,73.23748029627589,2,HUMI,AVG
2007,Ridge,8.057572333390501,2,HUMI,AVG
2007,RF,7.425453473400998,2,HUMI,AVG
2007,HGB,8.521118928700561,2,HUMI,AVG
2008,GlobalClim,67.40522413879006,2,HUMI,AVG
2008,DeptClim,67.98768176438661,2,HUMI,AVG
2008,Persist,69.68070632035705,2,HUMI,AVG
2008,Ridge,8.21168912955605,2,HUMI,AVG
2008,RF,8.227053482966635,2,HUMI,AVG
2008,HGB,8.378079321571093,2,HUMI,AVG
2009,GlobalClim,69.9236707399619,2,HUMI,AVG
2009,DeptClim,70.3905991846641,2,HUMI,AVG
2009,Persist,71.70902941685537,2,HUMI,AVG
2009,Ridge,7.6459657275399096,2,HUMI,AVG
2009,RF,7.465521665609762,2,HUMI,AVG
