Year,Model,RMSE,Month,Target,FeatureSet
2001,GlobalClim,117.86102849479452,2,HUMI,PRIMARY+SECONDARY
2001,DeptClim,117.72542717415179,2,HUMI,PRIMARY+SECONDARY
2001,Persist,61.28619970252976,2,HUMI,PRIMARY+SECONDARY
2001,Ridge,45.3895370247881,2,HUMI,PRIMARY+SECONDARY
2001,RF,28.34146999980356,2,HUMI,PRIMARY+SECONDARY
2001,HGB,35.60498267535101,2,HUMI,PRIMARY+SECONDARY
2002,GlobalClim,92.04156801833427,2,HUMI,PRIMARY+SECONDARY
2002,DeptClim,88.95627002480269,2,HUMI,PRIMARY+SECONDARY
2002,Persist,74.95603914075282,2,HUMI,PRIMARY+SECONDARY
2002,Ridge,19.785647596797563,2,HUMI,PRIMARY+SECONDARY
2002,RF,15.377580451284713,2,HUMI,PRIMARY+SECONDARY
2002,HGB,12.827621934932742,2,HUMI,PRIMARY+SECONDARY
2003,GlobalClim,94.28827301560766,2,HUMI,PRIMARY+SECONDARY
2003,DeptClim,92.25481146127798,2,HUMI,PRIMARY+SECONDARY
2003,Persist,58.11195933089285,2,HUMI,PRIMARY+SECONDARY
2003,Ridge,21.10911971066699,2,HUMI,PRIMARY+SECONDARY
2003,RF,12.639519905307122,2,HUMI,PRIMARY+SECONDARY
2003,HGB,13.168820791647033,2,HUMI,PRIMARY+SECONDARY
2004,GlobalClim,104.04781852015736,2,HUMI,PRIMARY+SECONDARY
2004,DeptClim,102.49378050353208,2,HUMI,PRIMARY+SECONDARY
2004,Persist,68.92081931296603,2,HUMI,PRIMARY+SECONDARY
2004,Ridge,33.42293236194549,2,HUMI,PRIMARY+SECONDARY
2004,RF,27.391808498443975,2,HUMI,PRIMARY+SECONDARY
2004,HGB,29.023247570219738,2,HUMI,PRIMARY+SECONDARY
2005,GlobalClim,68.80972157774558,2,HUMI,PRIMARY+SECONDARY
2005,DeptClim,68.50323809290067,2,HUMI,PRIMARY+SECONDARY
2005,Persist,64.18664483964413,2,HUMI,PRIMARY+SECONDARY
2005,Ridge,7.398044584395665,2,HUMI,PRIMARY+SECONDARY
2005,RF,12.68488964649051,2,HUMI,PRIMARY+SECONDARY
2005,HGB,10.081985544864892,2,HUMI,PRIMARY+SECONDARY
2006,GlobalClim,67.87127566862651,2,HUMI,PRIMARY+SECONDARY
2006,DeptClim,68.34890051120236,2,HUMI,PRIMARY+SECONDARY
2006,Persist,72.82371741684855,2,HUMI,PRIMARY+SECONDARY
2006,Ridge,9.959291671375786,2,HUMI,PRIMARY+SECONDARY
2006,RF,10.313304062673218,2,HUMI,PRIMARY+SECONDARY
2006,HGB,10.966302146484583,2,HUMI,PRIMARY+SECONDARY
2007,GlobalClim,71.05818631378914,2,HUMI,PRIMARY+SECONDARY
2007,DeptClim,71.2195427776674,2,HUMI,PRIMARY+SECONDARY
2007,Persist,73.23748029627589,2,HUMI,PRIMARY+SECONDARY
2007,Ridge,8.090102297576818,2,HUMI,PRIMARY+SECONDARY
2007,RF,7.362112077890967,2,HUMI,PRIMARY+SECONDARY
2007,HGB,8.734817897229917,2,HUMI,PRIMARY+SECONDARY
2008,GlobalClim,67.40522413879006,2,HUMI,PRIMARY+SECONDARY
2008,DeptClim,67.98768176438661,2,HUMI,PRIMARY+SECONDARY
2008,Persist,69.68070632035705,2,HUMI,PRIMARY+SECONDARY
2008,Ridge,8.26954691483705,2,HUMI,PRIMARY+SECONDARY
2008,RF,8.339938674079546,2,HUMI,PRIMARY+SECONDARY
2008,HGB,8.267160935521508,2,HUMI,PRIMARY+SECONDARY
2009,GlobalClim,69.9236707399619,2,HUMI,PRIMARY+SECONDARY
2009,DeptClim,70.3905991846641,2,HUMI,PRIMARY+SECONDARY
2009,Persist,71.70902941685537,2,HUMI,PRIMARY+SECONDARY
2009,Ridge,7.5813294740443755,2,HUMI,PRIMARY+SECONDARY
2009,RF,7.7089681618047114,2,HUMI,PRIMARY+SECONDARY
2009,HGB,8.08557006610726,2,HUMI,PRIMARY+SECONDARY
2010,GlobalClim,75.38759366149684,2,HUMI,PRIMARY+SECONDARY
2010,DeptClim,75.2151115442486,2,HUMI,PRIMARY+SECONDARY
2010,Persist,68.77659999696391,2,HUMI,PRIMARY+SECONDARY
2010,Ridge,6.515032096667729,2,HUMI,PRIMARY+SECONDARY
2010,RF,6.327027387074256,2,HUMI,PRIMARY+SECONDARY
2010,HGB,6.6333445310115895,2,HUMI,PRIMARY+SECONDARY
2011,GlobalClim,74.5187653109421,2,HUMI,PRIMARY+SECONDARY
2011,DeptClim,74.81986718061427,2,HUMI,PRIMARY+SECONDARY
2011,Persist,71.60289703096348,2,HUMI,PRIMARY+SECONDARY
2011,Ridge,8.646247431721537,2,HUMI,PRIMARY+SECONDARY
2011,RF,7.898214528585225,2,HUMI,PRIMARY+SECONDARY
2011,HGB,9.690166021846125,2,HUMI,PRIMARY+SECONDARY
2012,GlobalClim,76.01880922519295,2,HUMI,PRIMARY+SECONDARY
2012,DeptClim,75.82424594716996,2,HUMI,PRIMARY+SECONDARY
2012,Persist,70.14412127793383,2,HUMI,PRIMARY+SECONDARY
2012,Ridge,6.0637438865439375,2,HUMI,PRIMARY+SECONDARY
2012,RF,6.0877830177355134,2,HUMI,PRIMARY+SECONDARY
2012,HGB,8.691514424137349,2,HUMI,PRIMARY+SECONDARY
2013,GlobalClim,75.19053506115014,2,HUMI,PRIMARY+SECONDARY
2013,DeptClim,75.72287202404416,2,HUMI,PRIMARY+SECONDARY
2013,Persist,69.70482647563291,2,HUMI,PRIMARY+SECONDARY
2013,Ridge,6.152409350071099,2,HUMI,PRIMARY+SECONDARY
2013,RF,6.09855324893665,2,HUMI,PRIMARY+SECONDARY
2013,HGB,8.179040333162384,2,HUMI,PRIMARY+SECONDARY
2014,GlobalClim,78.89692531859248,2,HUMI,PRIMARY+SECONDARY
2014,DeptClim,79.38507743229489,2,HUMI,PRIMARY+SECONDARY
2014,Persist,73.15971091562562,2,HUMI,PRIMARY+SECONDARY
2014,Ridge,8.1252822812503,2,HUMI,PRIMARY+SECONDARY
2014,RF,7.3478734803840755,2,HUMI,PRIMARY+SECONDARY
2014,HGB,7.676826040413935,2,HUMI,PRIMARY+SECONDARY
2015,GlobalClim,74.45938169714577,2,HUMI,PRIMARY+SECONDARY
2015,DeptClim,74.6676717659933,2,HUMI,PRIMARY+SECONDARY
2015,Persist,71.96232011429298,2,HUMI,PRIMARY+SECONDARY
2015,Ridge,4.860761573818961,2,HUMI,PRIMARY+SECONDARY
2015,RF,5.7874732415055705,2,HUMI,PRIMARY+SECONDARY
2015,HGB,6.09793160856753,2,HUMI,PRIMARY+SECONDARY
2016,GlobalClim,72.88461730732918,2,HUMI,PRIMARY+SECONDARY
2016,DeptClim,73.1988786980424,2,HUMI,PRIMARY+SECONDARY
2016,Persist,73.74293596507768,2,HUMI,PRIMARY+SECONDARY
2016,Ridge,8.660884025933676,2,HUMI,PRIMARY+SECONDARY
2016,RF,8.869424666981514,2,HUMI,PRIMARY+SECONDARY
2016,HGB,10.04151372625437,2,HUMI,PRIMARY+SECONDARY
2017,GlobalClim,70.58691598235795,2,HUMI,PRIMARY+SECONDARY
2017,DeptClim,70.77134438760675,2,HUMI,PRIMARY+SECONDARY
2017,Persist,73.45830082160191,2,HUMI,PRIMARY+SECONDARY
2017,Ridge,4.6939848699146784,2,HUMI,PRIMARY+SECONDARY
2017,RF,5.381019477435936,2,HUMI,PRIMARY+SECONDARY
2017,HGB,5.111018890414953,2,HUMI,PRIMARY+SECONDARY
2018,GlobalClim,71.14436355380117,2,HUMI,PRIMARY+SECONDARY
2018,DeptClim,71.46272171862343,2,HUMI,PRIMARY+SECONDARY
2018,Persist,75.4196790505962,2,HUMI,PRIMARY+SECONDARY
2018,Ridge,3.4958582511270624,2,HUMI,PRIMARY+SECONDARY
2018,RF,3.152245083744862,2,HUMI,PRIMARY+SECONDARY
2018,HGB,3.722830042893459,2,HUMI,PRIMARY+SECONDARY
2019,GlobalClim,71.58252043407893,2,HUMI,PRIMARY+SECONDARY
2019,DeptClim,71.84756370598616,2,HUMI,PRIMARY+SECONDARY
2019,Persist,73.88653435288151,2,HUMI,PRIMARY+SECONDARY
2019,Ridge,8.871755006218937,2,HUMI,PRIMARY+SECONDARY
2019,RF,9.029208687305138,2,HUMI,PRIMARY+SECONDARY
2019,HGB,7.3829909794695965,2,HUMI,PRIMARY+SECONDARY
2020,GlobalClim,73.4200581240562,2,HUMI,PRIMARY+SECONDARY
2020,DeptClim,73.67979157331978,2,HUMI,PRIMARY+SECONDARY
2020,Persist,76.2850324715166,2,HUMI,PRIMARY+SECONDARY
2020,Ridge,6.392985448467836,2,HUMI,PRIMARY+SECONDARY
2020,RF,4.440453547292813,2,HUMI,PRIMARY+SECONDARY
2020,HGB,4.746097269574145,2,HUMI,PRIMARY+SECONDARY
2021,GlobalClim,69.5199045741963,2,HUMI,PRIMARY+SECONDARY
2021,DeptClim,70.04505355081814,2,HUMI,PRIMARY+SECONDARY
2021,Persist,73.72954109432138,2,HUMI,PRIMARY+SECONDARY
2021,Ridge,4.3967247073011295,2,HUMI,PRIMARY+SECONDARY
2021,RF,6.198122574574603,2,HUMI,PRIMARY+SECONDARY
2021,HGB,4.800460238579476,2,HUMI,PRIMARY+SECONDARY
2022,GlobalClim,71.9580306315286,2,HUMI,PRIMARY+SECONDARY
2022,DeptClim,72.08989755976339,2,HUMI,PRIMARY+SECONDARY
2022,Persist,76.18256836905118,2,HUMI,PRIMARY+SECONDARY
2022,Ridge,7.085396872992713,2,HUMI,PRIMARY+SECONDARY
2022,RF,6.701946627499673,2,HUMI,PRIMARY+SECONDARY
2022,HGB,7.335157094582681,2,HUMI,PRIMARY+SECONDARY
2023,GlobalClim,73.60131578649863,2,HUMI,PRIMARY+SECONDARY
2023,DeptClim,73.96567608562663,2,HUMI,PRIMARY+SECONDARY
2023,Persist,77.45966885487078,2,HUMI,PRIMARY+SECONDARY
2023,Ridge,7.8177072655305455,2,HUMI,PRIMARY+SECONDARY
2023,RF,6.860326545091592,2,HUMI,PRIMARY+SECONDARY
2023,HGB,7.532173931079617,2,HUMI,PRIMARY+SECONDARY
2024,GlobalClim,78.02761153100555,2,HUMI,PRIMARY+SECONDARY
2024,DeptClim,78.3218529718551,2,HUMI,PRIMARY+SECONDARY
2024,Persist,74.85638915353698,2,HUMI,PRIMARY+SECONDARY
2024,Ridge,9.261334001125345,2,HUMI,PRIMARY+SECONDARY
2024,RF,10.197783295648877,2,HUMI,PRIMARY+SECONDARY
2024,HGB,9.515232051103412,2,HUMI,PRIMARY+SECONDARY
2025,GlobalClim,72.41685311486698,2,HUMI,PRIMARY+SECONDARY
2025,DeptClim,72.65343904322062,2,HUMI,PRIMARY+SECONDARY
2025,Persist,76.30994237867424,2,HUMI,PRIMARY+SECONDARY
2025,Ridge,7.876775441999344,2,HUMI,PRIMARY+SECONDARY
2025,RF,7.197811561827247,2,HUMI,PRIMARY+SECONDARY
2025,HGB,7.824280420791472,2,HUMI,PRIMARY+SECONDARY
2001,GlobalClim,117.83295968191366,3,HUMI,PRIMARY+SECONDARY
2001,DeptClim,116.74708673745735,3,HUMI,PRIMARY+SECONDARY
2001,Persist,60.424579389704604,3,HUMI,PRIMARY+SECONDARY
2001,Ridge,38.10825452979414,3,HUMI,PRIMARY+SECONDARY
2001,RF,27.803786849291317,3,HUMI,PRIMARY+SECONDARY
2001,HGB,29.311269395419078,3,HUMI,PRIMARY+SECONDARY
2002,GlobalClim,103.71376791206526,3,HUMI,PRIMARY+SECONDARY
2002,DeptClim,102.58327309604643,3,HUMI,PRIMARY+SECONDARY
2002,Persist,68.621259079635,3,HUMI,PRIMARY+SECONDARY
2002,Ridge,28.39046219285902,3,HUMI,PRIMARY+SECONDARY
2002,RF,19.363169005223114,3,HUMI,PRIMARY+SECONDARY
2002,HGB,20.362062845891742,3,HUMI,PRIMARY+SECONDARY
2003,GlobalClim,76.86788349308036,3,HUMI,PRIMARY+SECONDARY
2003,DeptClim,74.51343408984795,3,HUMI,PRIMARY+SECONDARY
2003,Persist,43.33550747714123,3,HUMI,PRIMARY+SECONDARY
2003,Ridge,10.55188972117158,3,HUMI,PRIMARY+SECONDARY
2003,RF,8.581040273740557,3,HUMI,PRIMARY+SECONDARY
2003,HGB,9.603984696843163,3,HUMI,PRIMARY+SECONDARY
2004,GlobalClim,106.68147236573665,3,HUMI,PRIMARY+SECONDARY
2004,DeptClim,106.50985090988704,3,HUMI,PRIMARY+SECONDARY
2004,Persist,66.40677731860465,3,HUMI,PRIMARY+SECONDARY
2004,Ridge,30.830855584215044,3,HUMI,PRIMARY+SECONDARY
2004,RF,20.4896001161209,3,HUMI,PRIMARY+SECONDARY
2004,HGB,24.943456306451537,3,HUMI,PRIMARY+SECONDARY
2005,GlobalClim,74.91593068871144,3,HUMI,PRIMARY+SECONDARY
2005,DeptClim,75.1151066850142,3,HUMI,PRIMARY+SECONDARY
2005,Persist,73.37723787401444,3,HUMI,PRIMARY+SECONDARY
2005,Ridge,8.358274504695212,3,HUMI,PRIMARY+SECONDARY
2005,RF,10.11172494459718,3,HUMI,PRIMARY+SECONDARY
2005,HGB,9.191529061381065,3,HUMI,PRIMARY+SECONDARY
2006,GlobalClim,67.29005639243258,3,HUMI,PRIMARY+SECONDARY
2006,DeptClim,68.0627364751548,3,HUMI,PRIMARY+SECONDARY
2006,Persist,69.16322763042177,3,HUMI,PRIMARY+SECONDARY
2006,Ridge,9.899279316051944,3,HUMI,PRIMARY+SECONDARY
2006,RF,10.015794866793284,3,HUMI,PRIMARY+SECONDARY
2006,HGB,9.891339301237036,3,HUMI,PRIMARY+SECONDARY
2007,GlobalClim,67.48376748794729,3,HUMI,PRIMARY+SECONDARY
2007,DeptClim,68.01875457082217,3,HUMI,PRIMARY+SECONDARY
2007,Persist,66.3026048620807,3,HUMI,PRIMARY+SECONDARY
2007,Ridge,9.23262876683528,3,HUMI,PRIMARY+SECONDARY
2007,RF,9.644236838198925,3,HUMI,PRIMARY+SECONDARY
2007,HGB,10.025493755624947,3,HUMI,PRIMARY+SECONDARY
2008,GlobalClim,68.9130837776567,3,HUMI,PRIMARY+SECONDARY
2008,DeptClim,69.3436616361519,3,HUMI,PRIMARY+SECONDARY
2008,Persist,71.13558596375569,3,HUMI,PRIMARY+SECONDARY
2008,Ridge,8.062356206490051,3,HUMI,PRIMARY+SECONDARY
2008,RF,7.990625555711181,3,HUMI,PRIMARY+SECONDARY
2008,HGB,8.80288315618696,3,HUMI,PRIMARY+SECONDARY
2009,GlobalClim,71.99796212821444,3,HUMI,PRIMARY+SECONDARY
2009,DeptClim,72.48133436329589,3,HUMI,PRIMARY+SECONDARY
2009,Persist,72.08380158403288,3,HUMI,PRIMARY+SECONDARY
2009,Ridge,9.141333964154658,3,HUMI,PRIMARY+SECONDARY
2009,RF,9.25206999048977,3,HUMI,PRIMARY+SECONDARY
2009,HGB,9.923451670513794,3,HUMI,PRIMARY+SECONDARY
2010,GlobalClim,75.09243119010524,3,HUMI,PRIMARY+SECONDARY
2010,DeptClim,75.31029706957598,3,HUMI,PRIMARY+SECONDARY
2010,Persist,69.79306072926198,3,HUMI,PRIMARY+SECONDARY
2010,Ridge,9.797343485142894,3,HUMI,PRIMARY+SECONDARY
2010,RF,7.959659428713704,3,HUMI,PRIMARY+SECONDARY
2010,HGB,9.678629693214678,3,HUMI,PRIMARY+SECONDARY
2011,GlobalClim,75.28792525955951,3,HUMI,PRIMARY+SECONDARY
2011,DeptClim,75.67622865227952,3,HUMI,PRIMARY+SECONDARY
2011,Persist,71.72247194411162,3,HUMI,PRIMARY+SECONDARY
2011,Ridge,10.127985598416013,3,HUMI,PRIMARY+SECONDARY
2011,RF,8.187383275428246,3,HUMI,PRIMARY+SECONDARY
2011,HGB,10.74866516397201,3,HUMI,PRIMARY+SECONDARY
2012,GlobalClim,82.68190892347704,3,HUMI,PRIMARY+SECONDARY
2012,DeptClim,82.71002275557849,3,HUMI,PRIMARY+SECONDARY
2012,Persist,78.48555215175764,3,HUMI,PRIMARY+SECONDARY
2012,Ridge,14.502210560275413,3,HUMI,PRIMARY+SECONDARY
2012,RF,15.660761043156938,3,HUMI,PRIMARY+SECONDARY
2012,HGB,14.876234099373615,3,HUMI,PRIMARY+SECONDARY
2013,GlobalClim,77.25393087099664,3,HUMI,PRIMARY+SECONDARY
2013,DeptClim,77.63212941990993,3,HUMI,PRIMARY+SECONDARY
2013,Persist,74.2985962741685,3,HUMI,PRIMARY+SECONDARY
2013,Ridge,6.476669278804039,3,HUMI,PRIMARY+SECONDARY
2013,RF,6.323973948780729,3,HUMI,PRIMARY+SECONDARY
2013,HGB,7.193497486065434,3,HUMI,PRIMARY+SECONDARY
2014,GlobalClim,80.04860454233688,3,HUMI,PRIMARY+SECONDARY
2014,DeptClim,80.39031484333688,3,HUMI,PRIMARY+SECONDARY
2014,Persist,73.09452098459285,3,HUMI,PRIMARY+SECONDARY
2014,Ridge,8.041252472015879,3,HUMI,PRIMARY+SECONDARY
2014,RF,8.692956448427188,3,HUMI,PRIMARY+SECONDARY
2014,HGB,8.755145249250015,3,HUMI,PRIMARY+SECONDARY
2015,GlobalClim,76.26870253217639,3,HUMI,PRIMARY+SECONDARY
2015,DeptClim,76.63588499537751,3,HUMI,PRIMARY+SECONDARY
2015,Persist,73.99321312935781,3,HUMI,PRIMARY+SECONDARY
2015,Ridge,6.5771601379784865,3,HUMI,PRIMARY+SECONDARY
2015,RF,7.253017692600401,3,HUMI,PRIMARY+SECONDARY
2015,HGB,6.752735892946215,3,HUMI,PRIMARY+SECONDARY
2016,GlobalClim,71.23154400580128,3,HUMI,PRIMARY+SECONDARY
2016,DeptClim,71.32170487308046,3,HUMI,PRIMARY+SECONDARY
2016,Persist,71.0533640139454,3,HUMI,PRIMARY+SECONDARY
2016,Ridge,8.285524068929663,3,HUMI,PRIMARY+SECONDARY
2016,RF,9.828385923599813,3,HUMI,PRIMARY+SECONDARY
2016,HGB,9.934476583574618,3,HUMI,PRIMARY+SECONDARY
2017,GlobalClim,72.5819306842535,3,HUMI,PRIMARY+SECONDARY
2017,DeptClim,73.03900892309814,3,HUMI,PRIMARY+SECONDARY
2017,Persist,74.50773215949712,3,HUMI,PRIMARY+SECONDARY
2017,Ridge,15.2331991836427,3,HUMI,PRIMARY+SECONDARY
2017,RF,15.650190462448839,3,HUMI,PRIMARY+SECONDARY
2017,HGB,13.861656852680808,3,HUMI,PRIMARY+SECONDARY
2018,GlobalClim,70.42049604666568,3,HUMI,PRIMARY+SECONDARY
2018,DeptClim,70.60100620652868,3,HUMI,PRIMARY+SECONDARY
2018,Persist,72.12536095747096,3,HUMI,PRIMARY+SECONDARY
2018,Ridge,5.488354118185568,3,HUMI,PRIMARY+SECONDARY
2018,RF,7.854411004280814,3,HUMI,PRIMARY+SECONDARY
2018,HGB,8.944169958544126,3,HUMI,PRIMARY+SECONDARY
2019,GlobalClim,70.3012229535077,3,HUMI,PRIMARY+SECONDARY
2019,DeptClim,70.4596787101136,3,HUMI,PRIMARY+SECONDARY
2019,Persist,71.86594086041664,3,HUMI,PRIMARY+SECONDARY
2019,Ridge,6.118608417646542,3,HUMI,PRIMARY+SECONDARY
