Year,Model,RMSE,Month,Target,FeatureSet
2001,GlobalClim,117.86102849479452,2,HUMI,SECONDARY_13_24
2001,DeptClim,117.72542717415179,2,HUMI,SECONDARY_13_24
2001,Persist,61.28619970252976,2,HUMI,SECONDARY_13_24
2001,Ridge,45.17619656410767,2,HUMI,SECONDARY_13_24
2001,RF,28.389337831650497,2,HUMI,SECONDARY_13_24
2001,HGB,37.3235191692489,2,HUMI,SECONDARY_13_24
2002,GlobalClim,92.04156801833427,2,HUMI,SECONDARY_13_24
2002,DeptClim,88.95627002480269,2,HUMI,SECONDARY_13_24
2002,Persist,74.95603914075282,2,HUMI,SECONDARY_13_24
2002,Ridge,20.334003280742447,2,HUMI,SECONDARY_13_24
2002,RF,13.819882840412195,2,HUMI,SECONDARY_13_24
2002,HGB,13.365348730648606,2,HUMI,SECONDARY_13_24
2003,GlobalClim,94.28827301560766,2,HUMI,SECONDARY_13_24
2003,DeptClim,92.25481146127798,2,HUMI,SECONDARY_13_24
2003,Persist,58.11195933089285,2,HUMI,SECONDARY_13_24
2003,Ridge,21.11188084313804,2,HUMI,SECONDARY_13_24
2003,RF,11.966114564122806,2,HUMI,SECONDARY_13_24
2003,HGB,14.127117912869723,2,HUMI,SECONDARY_13_24
2004,GlobalClim,104.04781852015736,2,HUMI,SECONDARY_13_24
2004,DeptClim,102.49378050353208,2,HUMI,SECONDARY_13_24
2004,Persist,68.92081931296603,2,HUMI,SECONDARY_13_24
2004,Ridge,32.983180435239284,2,HUMI,SECONDARY_13_24
2004,RF,27.866658844596728,2,HUMI,SECONDARY_13_24
2004,HGB,28.661365599728615,2,HUMI,SECONDARY_13_24
2005,GlobalClim,68.80972157774558,2,HUMI,SECONDARY_13_24
2005,DeptClim,68.50323809290067,2,HUMI,SECONDARY_13_24
2005,Persist,64.18664483964413,2,HUMI,SECONDARY_13_24
2005,Ridge,7.548880416494271,2,HUMI,SECONDARY_13_24
2005,RF,12.793975502503534,2,HUMI,SECONDARY_13_24
2005,HGB,9.209641164236457,2,HUMI,SECONDARY_13_24
2006,GlobalClim,67.87127566862651,2,HUMI,SECONDARY_13_24
2006,DeptClim,68.34890051120236,2,HUMI,SECONDARY_13_24
2006,Persist,72.82371741684855,2,HUMI,SECONDARY_13_24
2006,Ridge,9.92476341593962,2,HUMI,SECONDARY_13_24
2006,RF,10.192637498500249,2,HUMI,SECONDARY_13_24
