Year,Model,RMSE,Month,Target,FeatureSet
2001,GlobalClim,2968.4726284711637,2,RAIN,AVG
2001,DeptClim,1942.5148775561074,2,RAIN,AVG
2001,Persist,865.2180855834304,2,RAIN,AVG
2001,Ridge,4227.548020120885,2,RAIN,AVG
2001,RF,798.4977957004163,2,RAIN,AVG
2001,HGB,667.3586624532204,2,RAIN,AVG
2002,GlobalClim,2220.547958033425,2,RAIN,AVG
2002,DeptClim,1380.9800008491402,2,RAIN,AVG
2002,Persist,639.374689263852,2,RAIN,AVG
2002,Ridge,3756.939829675175,2,RAIN,AVG
2002,RF,1011.1993500012451,2,RAIN,AVG
2002,HGB,1005.8492377538892,2,RAIN,AVG
2003,GlobalClim,14076.559898244881,2,RAIN,AVG
2003,DeptClim,1508.139583401142,2,RAIN,AVG
2003,Persist,3155.6307094532667,2,RAIN,AVG
2003,Ridge,24095.811788195853,2,RAIN,AVG
2003,RF,9423.015383936168,2,RAIN,AVG
2003,HGB,23454.88345848926,2,RAIN,AVG
2004,GlobalClim,9103.889107314459,2,RAIN,AVG
2004,DeptClim,1600.9586771346,2,RAIN,AVG
2004,Persist,3183.520898426753,2,RAIN,AVG
2004,Ridge,16204.787194556977,2,RAIN,AVG
2004,RF,5883.468703269021,2,RAIN,AVG
2004,HGB,15632.527714628855,2,RAIN,AVG
2005,GlobalClim,6030.18556042434,2,RAIN,AVG
2005,DeptClim,4124.78911874515,2,RAIN,AVG
2005,Persist,3039.2836586539925,2,RAIN,AVG
2005,Ridge,9497.458665602571,2,RAIN,AVG
2005,RF,4278.71369499971,2,RAIN,AVG
2005,HGB,9212.898188812733,2,RAIN,AVG
2006,GlobalClim,3408.8409773461462,2,RAIN,AVG
2006,DeptClim,6236.414654674369,2,RAIN,AVG
2006,Persist,3187.8557649718036,2,RAIN,AVG
2006,Ridge,3433.9877685250426,2,RAIN,AVG
2006,RF,4528.559736012607,2,RAIN,AVG
2006,HGB,2052.5011145460335,2,RAIN,AVG
2007,GlobalClim,4463.522252385507,2,RAIN,AVG
2007,DeptClim,7866.714337613177,2,RAIN,AVG
2007,Persist,3604.2694344788165,2,RAIN,AVG
2007,Ridge,2321.592166397293,2,RAIN,AVG
2007,RF,2485.3669910671665,2,RAIN,AVG
2007,HGB,2174.356490875269,2,RAIN,AVG
2008,GlobalClim,4899.129204838234,2,RAIN,AVG
2008,DeptClim,8613.679593052728,2,RAIN,AVG
2008,Persist,3905.7179802214782,2,RAIN,AVG
2008,Ridge,3196.252994944333,2,RAIN,AVG
2008,RF,3134.7440380045555,2,RAIN,AVG
2008,HGB,2673.4626830003913,2,RAIN,AVG
2009,GlobalClim,4786.219834266472,2,RAIN,AVG
2009,DeptClim,8193.793079990965,2,RAIN,AVG
2009,Persist,3574.1659702077495,2,RAIN,AVG
2009,Ridge,1737.0344980504376,2,RAIN,AVG
2009,RF,1749.0632859609216,2,RAIN,AVG
2009,HGB,1829.9034987513244,2,RAIN,AVG
2010,GlobalClim,5037.323036857588,2,RAIN,AVG
2010,DeptClim,8471.508643381214,2,RAIN,AVG
2010,Persist,3682.6659964839087,2,RAIN,AVG
2010,Ridge,1987.544120299095,2,RAIN,AVG
2010,RF,1220.730214969605,2,RAIN,AVG
2010,HGB,1962.6741102825965,2,RAIN,AVG
2011,GlobalClim,3972.997570194123,2,RAIN,AVG
2011,DeptClim,7241.97174971312,2,RAIN,AVG
2011,Persist,3802.1873339283115,2,RAIN,AVG
2011,Ridge,1620.7713910432226,2,RAIN,AVG
2011,RF,3128.920227994828,2,RAIN,AVG
2011,HGB,1418.7901635503852,2,RAIN,AVG
2012,GlobalClim,15049.540270767975,2,RAIN,AVG
2012,DeptClim,16533.567744920183,2,RAIN,AVG
2012,Persist,17214.616258144437,2,RAIN,AVG
2012,Ridge,15247.426258160795,2,RAIN,AVG
2012,RF,15032.044075706997,2,RAIN,AVG
2012,HGB,15105.106286885195,2,RAIN,AVG
2013,GlobalClim,4008.8451377900137,2,RAIN,AVG
2013,DeptClim,7316.730568615351,2,RAIN,AVG
2013,Persist,3980.908267985886,2,RAIN,AVG
2013,Ridge,1533.5342106716562,2,RAIN,AVG
2013,RF,2618.1341550553575,2,RAIN,AVG
2013,HGB,1267.7772284335965,2,RAIN,AVG
2014,GlobalClim,4524.077943977077,2,RAIN,AVG
2014,DeptClim,7839.241857484052,2,RAIN,AVG
2014,Persist,4582.200531071165,2,RAIN,AVG
2014,Ridge,1806.5156835981418,2,RAIN,AVG
2014,RF,1272.9156881894137,2,RAIN,AVG
2014,HGB,1765.3041002713185,2,RAIN,AVG
2015,GlobalClim,5393.280042533795,2,RAIN,AVG
2015,DeptClim,8807.185768407191,2,RAIN,AVG
2015,Persist,5642.468339360456,2,RAIN,AVG
2015,Ridge,1465.2420509658627,2,RAIN,AVG
2015,RF,3159.708579993482,2,RAIN,AVG
2015,HGB,2517.646401476396,2,RAIN,AVG
2016,GlobalClim,5956.654798921213,2,RAIN,AVG
2016,DeptClim,9371.219465590797,2,RAIN,AVG
2016,Persist,5221.343344878741,2,RAIN,AVG
2016,Ridge,1783.3829056423492,2,RAIN,AVG
2016,RF,1314.262183646764,2,RAIN,AVG
2016,HGB,3083.3894001433105,2,RAIN,AVG
2017,GlobalClim,6039.924716164544,2,RAIN,AVG
2017,DeptClim,9396.517747498134,2,RAIN,AVG
2017,Persist,5392.351217088913,2,RAIN,AVG
2017,Ridge,1879.4054926262343,2,RAIN,AVG
2017,RF,1575.989669479727,2,RAIN,AVG
2017,HGB,3159.1197788343056,2,RAIN,AVG
2018,GlobalClim,8172.952995123638,2,RAIN,AVG
2018,DeptClim,11200.88153929875,2,RAIN,AVG
2018,Persist,7031.383986708524,2,RAIN,AVG
2018,Ridge,5135.122029843852,2,RAIN,AVG
2018,RF,6071.150097740666,2,RAIN,AVG
2018,HGB,5601.777503246451,2,RAIN,AVG
2019,GlobalClim,51405.90014291004,2,RAIN,AVG
2019,DeptClim,50090.79670360285,2,RAIN,AVG
2019,Persist,4771.479598791245,2,RAIN,AVG
2019,Ridge,37543.081132867635,2,RAIN,AVG
2019,RF,45727.04287015242,2,RAIN,AVG
2019,HGB,48601.88592194312,2,RAIN,AVG
2020,GlobalClim,10655.08347343513,2,RAIN,AVG
2020,DeptClim,7639.245741665123,2,RAIN,AVG
2020,Persist,24073.596391672203,2,RAIN,AVG
2020,Ridge,34187.2990336858,2,RAIN,AVG
2020,RF,15006.50772677627,2,RAIN,AVG
2020,HGB,3192.412673555641,2,RAIN,AVG
2021,GlobalClim,6407.208647220505,2,RAIN,AVG
2021,DeptClim,9263.988694026657,2,RAIN,AVG
2021,Persist,5834.424890563164,2,RAIN,AVG
2021,Ridge,2819.676091238403,2,RAIN,AVG
2021,RF,3340.2263951632976,2,RAIN,AVG
2021,HGB,4235.172662979708,2,RAIN,AVG
2022,GlobalClim,6545.224735580397,2,RAIN,AVG
2022,DeptClim,9896.291029787224,2,RAIN,AVG
2022,Persist,6870.269461972199,2,RAIN,AVG
2022,Ridge,3259.3088605735543,2,RAIN,AVG
2022,RF,2935.676803023083,2,RAIN,AVG
2022,HGB,4503.196202318416,2,RAIN,AVG
2023,GlobalClim,7380.120480673085,2,RAIN,AVG
2023,DeptClim,10582.40763522133,2,RAIN,AVG
2023,Persist,7568.803183830183,2,RAIN,AVG
2023,Ridge,3664.5692260270794,2,RAIN,AVG
2023,RF,1840.4264776337732,2,RAIN,AVG
2023,HGB,4545.44150966728,2,RAIN,AVG
2024,GlobalClim,8267.851291100405,2,RAIN,AVG
2024,DeptClim,11792.095062275648,2,RAIN,AVG
2024,Persist,8686.806312609056,2,RAIN,AVG
2024,Ridge,4372.90628689195,2,RAIN,AVG
2024,RF,4964.293487734139,2,RAIN,AVG
2024,HGB,5783.832819921556,2,RAIN,AVG
2025,GlobalClim,9572.249292210137,2,RAIN,AVG
2025,DeptClim,12969.547161072996,2,RAIN,AVG
2025,Persist,11785.648296569876,2,RAIN,AVG
2025,Ridge,7710.372568761697,2,RAIN,AVG
2025,RF,8757.705647773057,2,RAIN,AVG
2025,HGB,10093.789237832976,2,RAIN,AVG
2001,GlobalClim,2578.9886625543263,3,RAIN,AVG
2001,DeptClim,1909.8294079326342,3,RAIN,AVG
2001,Persist,533.9200740500673,3,RAIN,AVG
2001,Ridge,2438.817780541057,3,RAIN,AVG
2001,RF,526.943928854449,3,RAIN,AVG
2001,HGB,730.268794294739,3,RAIN,AVG
2002,GlobalClim,1892.1644681584544,3,RAIN,AVG
2002,DeptClim,1397.9818744567854,3,RAIN,AVG
2002,Persist,1595.8340758848208,3,RAIN,AVG
2002,Ridge,1852.889509054957,3,RAIN,AVG
2002,RF,1813.635251451377,3,RAIN,AVG
2002,HGB,1531.8218441111248,3,RAIN,AVG
2003,GlobalClim,10678.065030432404,3,RAIN,AVG
2003,DeptClim,18296.185621453355,3,RAIN,AVG
2003,Persist,27540.530477899523,3,RAIN,AVG
2003,Ridge,6605.877239647901,3,RAIN,AVG
2003,RF,2352.1657731690525,3,RAIN,AVG
2003,HGB,6452.795450117883,3,RAIN,AVG
2004,GlobalClim,6016.666714802389,3,RAIN,AVG
2004,DeptClim,2398.192159995905,3,RAIN,AVG
2004,Persist,6306.742301196466,3,RAIN,AVG
2004,Ridge,7577.334421006253,3,RAIN,AVG
2004,RF,2026.5778245537645,3,RAIN,AVG
2004,HGB,5999.9420611774785,3,RAIN,AVG
2005,GlobalClim,4760.4082195616775,3,RAIN,AVG
2005,DeptClim,4396.762404614607,3,RAIN,AVG
2005,Persist,4567.466929411144,3,RAIN,AVG
2005,Ridge,4809.448811045451,3,RAIN,AVG
2005,RF,2965.4848514509276,3,RAIN,AVG
2005,HGB,4329.868989452444,3,RAIN,AVG
2006,GlobalClim,3497.403111292608,3,RAIN,AVG
2006,DeptClim,5173.0576007537975,3,RAIN,AVG
2006,Persist,3295.00156471238,3,RAIN,AVG
