Year,Model,RMSE,Month,Target,FeatureSet
2001,GlobalClim,2968.4726284711637,2,RAIN,PRIMARY+SECONDARY
2001,DeptClim,1942.5148775561074,2,RAIN,PRIMARY+SECONDARY
2001,Persist,865.2180855834304,2,RAIN,PRIMARY+SECONDARY
2001,Ridge,5048.953099367274,2,RAIN,PRIMARY+SECONDARY
2001,RF,824.5543342041553,2,RAIN,PRIMARY+SECONDARY
2001,HGB,529.9024402981638,2,RAIN,PRIMARY+SECONDARY
2002,GlobalClim,2220.547958033425,2,RAIN,PRIMARY+SECONDARY
2002,DeptClim,1380.9800008491402,2,RAIN,PRIMARY+SECONDARY
2002,Persist,639.374689263852,2,RAIN,PRIMARY+SECONDARY
2002,Ridge,4409.1008753326805,2,RAIN,PRIMARY+SECONDARY
2002,RF,1040.560959209657,2,RAIN,PRIMARY+SECONDARY
2002,HGB,956.0664618852632,2,RAIN,PRIMARY+SECONDARY
2003,GlobalClim,14076.559898244881,2,RAIN,PRIMARY+SECONDARY
2003,DeptClim,1508.139583401142,2,RAIN,PRIMARY+SECONDARY
2003,Persist,3155.6307094532667,2,RAIN,PRIMARY+SECONDARY
2003,Ridge,23221.386983275595,2,RAIN,PRIMARY+SECONDARY
2003,RF,9552.996731058844,2,RAIN,PRIMARY+SECONDARY
2003,HGB,23512.804341285304,2,RAIN,PRIMARY+SECONDARY
2004,GlobalClim,9103.889107314459,2,RAIN,PRIMARY+SECONDARY
2004,DeptClim,1600.9586771346,2,RAIN,PRIMARY+SECONDARY
2004,Persist,3183.520898426753,2,RAIN,PRIMARY+SECONDARY
2004,Ridge,15734.65498073938,2,RAIN,PRIMARY+SECONDARY
2004,RF,5748.067009836486,2,RAIN,PRIMARY+SECONDARY
2004,HGB,15674.738211596077,2,RAIN,PRIMARY+SECONDARY
2005,GlobalClim,6030.18556042434,2,RAIN,PRIMARY+SECONDARY
2005,DeptClim,4124.78911874515,2,RAIN,PRIMARY+SECONDARY
2005,Persist,3039.2836586539925,2,RAIN,PRIMARY+SECONDARY
2005,Ridge,9125.245032083167,2,RAIN,PRIMARY+SECONDARY
2005,RF,5304.597483067861,2,RAIN,PRIMARY+SECONDARY
2005,HGB,9089.627543619086,2,RAIN,PRIMARY+SECONDARY
2006,GlobalClim,3408.8409773461462,2,RAIN,PRIMARY+SECONDARY
2006,DeptClim,6236.414654674369,2,RAIN,PRIMARY+SECONDARY
2006,Persist,3187.8557649718036,2,RAIN,PRIMARY+SECONDARY
2006,Ridge,3458.5398871288758,2,RAIN,PRIMARY+SECONDARY
2006,RF,3108.2536305795825,2,RAIN,PRIMARY+SECONDARY
2006,HGB,2053.2785019606795,2,RAIN,PRIMARY+SECONDARY
2007,GlobalClim,4463.522252385507,2,RAIN,PRIMARY+SECONDARY
2007,DeptClim,7866.714337613177,2,RAIN,PRIMARY+SECONDARY
2007,Persist,3604.2694344788165,2,RAIN,PRIMARY+SECONDARY
2007,Ridge,2411.28596443712,2,RAIN,PRIMARY+SECONDARY
2007,RF,2248.3251984871054,2,RAIN,PRIMARY+SECONDARY
2007,HGB,2149.8701825852168,2,RAIN,PRIMARY+SECONDARY
2008,GlobalClim,4899.129204838234,2,RAIN,PRIMARY+SECONDARY
2008,DeptClim,8613.679593052728,2,RAIN,PRIMARY+SECONDARY
2008,Persist,3905.7179802214782,2,RAIN,PRIMARY+SECONDARY
2008,Ridge,3837.7243470703884,2,RAIN,PRIMARY+SECONDARY
2008,RF,2310.549985768518,2,RAIN,PRIMARY+SECONDARY
2008,HGB,3145.3516375414174,2,RAIN,PRIMARY+SECONDARY
2009,GlobalClim,4786.219834266472,2,RAIN,PRIMARY+SECONDARY
2009,DeptClim,8193.793079990965,2,RAIN,PRIMARY+SECONDARY
2009,Persist,3574.1659702077495,2,RAIN,PRIMARY+SECONDARY
2009,Ridge,2366.855288871846,2,RAIN,PRIMARY+SECONDARY
2009,RF,1418.343686137743,2,RAIN,PRIMARY+SECONDARY
2009,HGB,3323.7964978637933,2,RAIN,PRIMARY+SECONDARY
2010,GlobalClim,5037.323036857588,2,RAIN,PRIMARY+SECONDARY
2010,DeptClim,8471.508643381214,2,RAIN,PRIMARY+SECONDARY
2010,Persist,3682.6659964839087,2,RAIN,PRIMARY+SECONDARY
2010,Ridge,2146.0438158682355,2,RAIN,PRIMARY+SECONDARY
2010,RF,2005.738131684503,2,RAIN,PRIMARY+SECONDARY
2010,HGB,2140.8536733719498,2,RAIN,PRIMARY+SECONDARY
2011,GlobalClim,3972.997570194123,2,RAIN,PRIMARY+SECONDARY
2011,DeptClim,7241.97174971312,2,RAIN,PRIMARY+SECONDARY
2011,Persist,3802.1873339283115,2,RAIN,PRIMARY+SECONDARY
2011,Ridge,1716.0917081830723,2,RAIN,PRIMARY+SECONDARY
2011,RF,2970.6327007297514,2,RAIN,PRIMARY+SECONDARY
2011,HGB,1506.5671061948412,2,RAIN,PRIMARY+SECONDARY
2012,GlobalClim,15049.540270767975,2,RAIN,PRIMARY+SECONDARY
2012,DeptClim,16533.567744920183,2,RAIN,PRIMARY+SECONDARY
2012,Persist,17214.616258144437,2,RAIN,PRIMARY+SECONDARY
2012,Ridge,15448.381111489509,2,RAIN,PRIMARY+SECONDARY
2012,RF,15028.04717353512,2,RAIN,PRIMARY+SECONDARY
2012,HGB,15090.872474793774,2,RAIN,PRIMARY+SECONDARY
2013,GlobalClim,4008.8451377900137,2,RAIN,PRIMARY+SECONDARY
2013,DeptClim,7316.730568615351,2,RAIN,PRIMARY+SECONDARY
2013,Persist,3980.908267985886,2,RAIN,PRIMARY+SECONDARY
2013,Ridge,1621.475599313779,2,RAIN,PRIMARY+SECONDARY
2013,RF,1316.6188499464317,2,RAIN,PRIMARY+SECONDARY
2013,HGB,1211.2857265052905,2,RAIN,PRIMARY+SECONDARY
2014,GlobalClim,4524.077943977077,2,RAIN,PRIMARY+SECONDARY
2014,DeptClim,7839.241857484052,2,RAIN,PRIMARY+SECONDARY
2014,Persist,4582.200531071165,2,RAIN,PRIMARY+SECONDARY
2014,Ridge,2318.1126789326545,2,RAIN,PRIMARY+SECONDARY
2014,RF,1835.3694438099649,2,RAIN,PRIMARY+SECONDARY
2014,HGB,1772.5507301962546,2,RAIN,PRIMARY+SECONDARY
2015,GlobalClim,5393.280042533795,2,RAIN,PRIMARY+SECONDARY
2015,DeptClim,8807.185768407191,2,RAIN,PRIMARY+SECONDARY
2015,Persist,5642.468339360456,2,RAIN,PRIMARY+SECONDARY
2015,Ridge,1998.0465349440967,2,RAIN,PRIMARY+SECONDARY
2015,RF,2001.5126671901273,2,RAIN,PRIMARY+SECONDARY
2015,HGB,2611.316834001223,2,RAIN,PRIMARY+SECONDARY
2016,GlobalClim,5956.654798921213,2,RAIN,PRIMARY+SECONDARY
2016,DeptClim,9371.219465590797,2,RAIN,PRIMARY+SECONDARY
2016,Persist,5221.343344878741,2,RAIN,PRIMARY+SECONDARY
2016,Ridge,2057.9627218145624,2,RAIN,PRIMARY+SECONDARY
2016,RF,1556.9950072402055,2,RAIN,PRIMARY+SECONDARY
2016,HGB,3096.4619142682004,2,RAIN,PRIMARY+SECONDARY
2017,GlobalClim,6039.924716164544,2,RAIN,PRIMARY+SECONDARY
2017,DeptClim,9396.517747498134,2,RAIN,PRIMARY+SECONDARY
2017,Persist,5392.351217088913,2,RAIN,PRIMARY+SECONDARY
2017,Ridge,2198.259213156225,2,RAIN,PRIMARY+SECONDARY
2017,RF,1114.7362227291032,2,RAIN,PRIMARY+SECONDARY
2017,HGB,3198.7096288618595,2,RAIN,PRIMARY+SECONDARY
2018,GlobalClim,8172.952995123638,2,RAIN,PRIMARY+SECONDARY
2018,DeptClim,11200.88153929875,2,RAIN,PRIMARY+SECONDARY
