Year,Model,RMSE,Month,Target,FeatureSet
2001,GlobalClim,2968.4726284711637,2,RAIN,SECONDARY_13_24
2001,DeptClim,1942.5148775561074,2,RAIN,SECONDARY_13_24
2001,Persist,865.2180855834304,2,RAIN,SECONDARY_13_24
2001,Ridge,3190.3953459455397,2,RAIN,SECONDARY_13_24
2001,RF,802.451611913256,2,RAIN,SECONDARY_13_24
2001,HGB,929.4267445003308,2,RAIN,SECONDARY_13_24
2002,GlobalClim,2220.547958033425,2,RAIN,SECONDARY_13_24
2002,DeptClim,1380.9800008491402,2,RAIN,SECONDARY_13_24
2002,Persist,639.374689263852,2,RAIN,SECONDARY_13_24
2002,Ridge,2837.9266126791704,2,RAIN,SECONDARY_13_24
2002,RF,1043.23873363069,2,RAIN,SECONDARY_13_24
2002,HGB,1179.2814898860668,2,RAIN,SECONDARY_13_24
2003,GlobalClim,14076.559898244881,2,RAIN,SECONDARY_13_24
2003,DeptClim,1508.139583401142,2,RAIN,SECONDARY_13_24
2003,Persist,3155.6307094532667,2,RAIN,SECONDARY_13_24
2003,Ridge,23152.647054135174,2,RAIN,SECONDARY_13_24
2003,RF,8911.930912296148,2,RAIN,SECONDARY_13_24
2003,HGB,23459.1218484289,2,RAIN,SECONDARY_13_24
2004,GlobalClim,9103.889107314459,2,RAIN,SECONDARY_13_24
2004,DeptClim,1600.9586771346,2,RAIN,SECONDARY_13_24
2004,Persist,3183.520898426753,2,RAIN,SECONDARY_13_24
2004,Ridge,15449.849951697259,2,RAIN,SECONDARY_13_24
2004,RF,5398.115541517597,2,RAIN,SECONDARY_13_24
2004,HGB,15634.313453076413,2,RAIN,SECONDARY_13_24
2005,GlobalClim,6030.18556042434,2,RAIN,SECONDARY_13_24
2005,DeptClim,4124.78911874515,2,RAIN,SECONDARY_13_24
2005,Persist,3039.2836586539925,2,RAIN,SECONDARY_13_24
2005,Ridge,9117.627669135747,2,RAIN,SECONDARY_13_24
2005,RF,3570.857210277822,2,RAIN,SECONDARY_13_24
2005,HGB,9197.803894907755,2,RAIN,SECONDARY_13_24
2006,GlobalClim,3408.8409773461462,2,RAIN,SECONDARY_13_24
2006,DeptClim,6236.414654674369,2,RAIN,SECONDARY_13_24
2006,Persist,3187.8557649718036,2,RAIN,SECONDARY_13_24
2006,Ridge,3143.2285907277815,2,RAIN,SECONDARY_13_24
2006,RF,2915.751787613637,2,RAIN,SECONDARY_13_24
2006,HGB,2048.537069283752,2,RAIN,SECONDARY_13_24
2007,GlobalClim,4463.522252385507,2,RAIN,SECONDARY_13_24
2007,DeptClim,7866.714337613177,2,RAIN,SECONDARY_13_24
2007,Persist,3604.2694344788165,2,RAIN,SECONDARY_13_24
2007,Ridge,2372.7819945067536,2,RAIN,SECONDARY_13_24
2007,RF,2119.1533507842896,2,RAIN,SECONDARY_13_24
2007,HGB,2052.5172614557246,2,RAIN,SECONDARY_13_24
2008,GlobalClim,4899.129204838234,2,RAIN,SECONDARY_13_24
2008,DeptClim,8613.679593052728,2,RAIN,SECONDARY_13_24
2008,Persist,3905.7179802214782,2,RAIN,SECONDARY_13_24
2008,Ridge,2892.8653155677343,2,RAIN,SECONDARY_13_24
2008,RF,2388.812107698615,2,RAIN,SECONDARY_13_24
2008,HGB,2747.8420022060354,2,RAIN,SECONDARY_13_24
2009,GlobalClim,4786.219834266472,2,RAIN,SECONDARY_13_24
2009,DeptClim,8193.793079990965,2,RAIN,SECONDARY_13_24
2009,Persist,3574.1659702077495,2,RAIN,SECONDARY_13_24
2009,Ridge,2011.3962806695577,2,RAIN,SECONDARY_13_24
2009,RF,1496.0116268738007,2,RAIN,SECONDARY_13_24
2009,HGB,4774.346418237748,2,RAIN,SECONDARY_13_24
2010,GlobalClim,5037.323036857588,2,RAIN,SECONDARY_13_24
2010,DeptClim,8471.508643381214,2,RAIN,SECONDARY_13_24
2010,Persist,3682.6659964839087,2,RAIN,SECONDARY_13_24
2010,Ridge,2079.829238148585,2,RAIN,SECONDARY_13_24
2010,RF,2540.4231105624617,2,RAIN,SECONDARY_13_24
2010,HGB,2138.020592937066,2,RAIN,SECONDARY_13_24
2011,GlobalClim,3972.997570194123,2,RAIN,SECONDARY_13_24
2011,DeptClim,7241.97174971312,2,RAIN,SECONDARY_13_24
2011,Persist,3802.1873339283115,2,RAIN,SECONDARY_13_24
2011,Ridge,1473.1002538275259,2,RAIN,SECONDARY_13_24
2011,RF,3808.223299942491,2,RAIN,SECONDARY_13_24
2011,HGB,1515.6677448973255,2,RAIN,SECONDARY_13_24
2012,GlobalClim,15049.540270767975,2,RAIN,SECONDARY_13_24
2012,DeptClim,16533.567744920183,2,RAIN,SECONDARY_13_24
