Year,Model,RMSE,Month,Target,FeatureSet
2001,GlobalClim,24.836178503676546,2,TEMP,AVG
2001,DeptClim,18.366528955813358,2,TEMP,AVG
2001,Persist,3.453280117603981,2,TEMP,AVG
2001,Ridge,5.237843364762316,2,TEMP,AVG
2001,RF,3.1416596675676933,2,TEMP,AVG
2001,HGB,1.1992330813076935,2,TEMP,AVG
2002,GlobalClim,27.516132769768685,2,TEMP,AVG
2002,DeptClim,20.99097183912399,2,TEMP,AVG
2002,Persist,11.826097299041562,2,TEMP,AVG
2002,Ridge,8.330981369976525,2,TEMP,AVG
2002,RF,5.523851754454898,2,TEMP,AVG
2002,HGB,5.481165856324296,2,TEMP,AVG
2003,GlobalClim,30.113490238508053,2,TEMP,AVG
2003,DeptClim,26.168888136182606,2,TEMP,AVG
2003,Persist,9.400120719787097,2,TEMP,AVG
2003,Ridge,2.361948873057061,2,TEMP,AVG
2003,RF,1.435612592406547,2,TEMP,AVG
2003,HGB,3.9003742963674135,2,TEMP,AVG
2004,GlobalClim,29.91786554227016,2,TEMP,AVG
2004,DeptClim,24.970437757079992,2,TEMP,AVG
2004,Persist,11.701666733576689,2,TEMP,AVG
2004,Ridge,7.829861087765411,2,TEMP,AVG
2004,RF,5.6148521298671366,2,TEMP,AVG
2004,HGB,6.536273847256963,2,TEMP,AVG
2005,GlobalClim,25.725946309372112,2,TEMP,AVG
2005,DeptClim,25.207285530099437,2,TEMP,AVG
2005,Persist,19.099001263973275,2,TEMP,AVG
2005,Ridge,7.153997918912876,2,TEMP,AVG
2005,RF,7.624109546735323,2,TEMP,AVG
2005,HGB,7.980876953282853,2,TEMP,AVG
2006,GlobalClim,19.013345394794154,2,TEMP,AVG
2006,DeptClim,20.004197210927288,2,TEMP,AVG
2006,Persist,19.956524446091827,2,TEMP,AVG
2006,Ridge,4.541092332078193,2,TEMP,AVG
2006,RF,4.726668695822736,2,TEMP,AVG
2006,HGB,4.947896365604879,2,TEMP,AVG
2007,GlobalClim,18.933242278144508,2,TEMP,AVG
