Year,Model,RMSE,Month,Target,FeatureSet
2001,GlobalClim,24.836178503676546,2,TEMP,SECONDARY_13_24
2001,DeptClim,18.366528955813358,2,TEMP,SECONDARY_13_24
2001,Persist,3.453280117603981,2,TEMP,SECONDARY_13_24
2001,Ridge,5.028465513364372,2,TEMP,SECONDARY_13_24
2001,RF,2.95721239268817,2,TEMP,SECONDARY_13_24
2001,HGB,1.4348751282438101,2,TEMP,SECONDARY_13_24
2002,GlobalClim,27.516132769768685,2,TEMP,SECONDARY_13_24
2002,DeptClim,20.99097183912399,2,TEMP,SECONDARY_13_24
2002,Persist,11.826097299041562,2,TEMP,SECONDARY_13_24
2002,Ridge,8.205954038506755,2,TEMP,SECONDARY_13_24
2002,RF,5.386948183388174,2,TEMP,SECONDARY_13_24
2002,HGB,4.590725584192664,2,TEMP,SECONDARY_13_24
2003,GlobalClim,30.113490238508053,2,TEMP,SECONDARY_13_24
2003,DeptClim,26.168888136182606,2,TEMP,SECONDARY_13_24
2003,Persist,9.400120719787097,2,TEMP,SECONDARY_13_24
2003,Ridge,2.233080540454844,2,TEMP,SECONDARY_13_24
2003,RF,0.9445949336541343,2,TEMP,SECONDARY_13_24
2003,HGB,2.7870685348167195,2,TEMP,SECONDARY_13_24
2004,GlobalClim,29.91786554227016,2,TEMP,SECONDARY_13_24
2004,DeptClim,24.970437757079992,2,TEMP,SECONDARY_13_24
2004,Persist,11.701666733576689,2,TEMP,SECONDARY_13_24
2004,Ridge,7.667889172105834,2,TEMP,SECONDARY_13_24
2004,RF,5.648733332113202,2,TEMP,SECONDARY_13_24
2004,HGB,6.071110491367974,2,TEMP,SECONDARY_13_24
2005,GlobalClim,25.725946309372112,2,TEMP,SECONDARY_13_24
2005,DeptClim,25.207285530099437,2,TEMP,SECONDARY_13_24
2005,Persist,19.099001263973275,2,TEMP,SECONDARY_13_24
2005,Ridge,7.107106716368598,2,TEMP,SECONDARY_13_24
2005,RF,7.664066099112552,2,TEMP,SECONDARY_13_24
2005,HGB,7.907579638118535,2,TEMP,SECONDARY_13_24
2006,GlobalClim,19.013345394794154,2,TEMP,SECONDARY_13_24
2006,DeptClim,20.004197210927288,2,TEMP,SECONDARY_13_24
2006,Persist,19.956524446091827,2,TEMP,SECONDARY_13_24
2006,Ridge,3.2302534604242923,2,TEMP,SECONDARY_13_24
2006,RF,4.563962355716244,2,TEMP,SECONDARY_13_24
2006,HGB,4.655163646035462,2,TEMP,SECONDARY_13_24
2007,GlobalClim,18.933242278144508,2,TEMP,SECONDARY_13_24
2007,DeptClim,19.918797540590433,2,TEMP,SECONDARY_13_24
2007,Persist,20.63790664357851,2,TEMP,SECONDARY_13_24
2007,Ridge,3.462208469656882,2,TEMP,SECONDARY_13_24
2007,RF,3.5716741222303154,2,TEMP,SECONDARY_13_24
2007,HGB,3.7674971605130176,2,TEMP,SECONDARY_13_24
2008,GlobalClim,20.11705142940062,2,TEMP,SECONDARY_13_24
2008,DeptClim,20.09748253782639,2,TEMP,SECONDARY_13_24
2008,Persist,19.989792328099337,2,TEMP,SECONDARY_13_24
2008,Ridge,2.5720617130471926,2,TEMP,SECONDARY_13_24
2008,RF,2.497570016681729,2,TEMP,SECONDARY_13_24
2008,HGB,2.8391970293268516,2,TEMP,SECONDARY_13_24
2009,GlobalClim,20.423643318980016,2,TEMP,SECONDARY_13_24
2009,DeptClim,21.151662410047912,2,TEMP,SECONDARY_13_24
2009,Persist,21.031772612089103,2,TEMP,SECONDARY_13_24
2009,Ridge,2.3615348664320774,2,TEMP,SECONDARY_13_24
2009,RF,2.442478014991069,2,TEMP,SECONDARY_13_24
2009,HGB,2.416899631231386,2,TEMP,SECONDARY_13_24
2010,GlobalClim,21.193754127830633,2,TEMP,SECONDARY_13_24
2010,DeptClim,22.33573483596036,2,TEMP,SECONDARY_13_24
2010,Persist,21.77676416439257,2,TEMP,SECONDARY_13_24
2010,Ridge,2.8300056015832062,2,TEMP,SECONDARY_13_24
2010,RF,3.2365580536411436,2,TEMP,SECONDARY_13_24
2010,HGB,3.1611320527662454,2,TEMP,SECONDARY_13_24
2011,GlobalClim,22.396234822061274,2,TEMP,SECONDARY_13_24
2011,DeptClim,23.025588394689517,2,TEMP,SECONDARY_13_24
2011,Persist,21.28046272070568,2,TEMP,SECONDARY_13_24
2011,Ridge,2.342192002562542,2,TEMP,SECONDARY_13_24
2011,RF,2.8278455040518713,2,TEMP,SECONDARY_13_24
2011,HGB,3.0840685887755734,2,TEMP,SECONDARY_13_24
2012,GlobalClim,24.828491668505695,2,TEMP,SECONDARY_13_24
2012,DeptClim,25.418738706355324,2,TEMP,SECONDARY_13_24
2012,Persist,22.15080094789737,2,TEMP,SECONDARY_13_24
2012,Ridge,4.018941720735164,2,TEMP,SECONDARY_13_24
2012,RF,4.953760591325003,2,TEMP,SECONDARY_13_24
2012,HGB,4.972953597544332,2,TEMP,SECONDARY_13_24
2013,GlobalClim,22.65961321691972,2,TEMP,SECONDARY_13_24
2013,DeptClim,23.480444085970632,2,TEMP,SECONDARY_13_24
2013,Persist,22.50429465606241,2,TEMP,SECONDARY_13_24
2013,Ridge,2.7200896343605043,2,TEMP,SECONDARY_13_24
2013,RF,2.510120760811463,2,TEMP,SECONDARY_13_24
2013,HGB,2.6894344504294496,2,TEMP,SECONDARY_13_24
2014,GlobalClim,23.01782973654543,2,TEMP,SECONDARY_13_24
2014,DeptClim,24.08536549549369,2,TEMP,SECONDARY_13_24
2014,Persist,21.803812699243544,2,TEMP,SECONDARY_13_24
2014,Ridge,2.4947989984274965,2,TEMP,SECONDARY_13_24
2014,RF,3.8971450715914355,2,TEMP,SECONDARY_13_24
2014,HGB,3.5707481734097963,2,TEMP,SECONDARY_13_24
2015,GlobalClim,22.160924423821513,2,TEMP,SECONDARY_13_24
2015,DeptClim,23.32888871899737,2,TEMP,SECONDARY_13_24
2015,Persist,22.357058927191442,2,TEMP,SECONDARY_13_24
2015,Ridge,2.018331114189684,2,TEMP,SECONDARY_13_24
2015,RF,2.411619375970766,2,TEMP,SECONDARY_13_24
2015,HGB,2.481960340196385,2,TEMP,SECONDARY_13_24
2016,GlobalClim,20.571638469635182,2,TEMP,SECONDARY_13_24
2016,DeptClim,20.95867773638728,2,TEMP,SECONDARY_13_24
2016,Persist,22.022545279395825,2,TEMP,SECONDARY_13_24
2016,Ridge,1.5559384131701826,2,TEMP,SECONDARY_13_24
2016,RF,1.7386809385167896,2,TEMP,SECONDARY_13_24
2016,HGB,2.021538926351566,2,TEMP,SECONDARY_13_24
2017,GlobalClim,21.510238015502082,2,TEMP,SECONDARY_13_24
2017,DeptClim,21.953963236364228,2,TEMP,SECONDARY_13_24
2017,Persist,21.429805501750877,2,TEMP,SECONDARY_13_24
2017,Ridge,1.4310978106310885,2,TEMP,SECONDARY_13_24
2017,RF,1.3955929206778912,2,TEMP,SECONDARY_13_24
2017,HGB,1.7710070364212769,2,TEMP,SECONDARY_13_24
2018,GlobalClim,21.750877372961316,2,TEMP,SECONDARY_13_24
2018,DeptClim,22.494718851488308,2,TEMP,SECONDARY_13_24
2018,Persist,22.328212970696036,2,TEMP,SECONDARY_13_24
2018,Ridge,2.0725029787937594,2,TEMP,SECONDARY_13_24
2018,RF,2.4322303520918114,2,TEMP,SECONDARY_13_24
2018,HGB,2.9746682863234533,2,TEMP,SECONDARY_13_24
2019,GlobalClim,21.24863797685772,2,TEMP,SECONDARY_13_24
2019,DeptClim,21.946506898123857,2,TEMP,SECONDARY_13_24
2019,Persist,21.979129404032946,2,TEMP,SECONDARY_13_24
2019,Ridge,1.4127160692371445,2,TEMP,SECONDARY_13_24
2019,RF,2.248355566468052,2,TEMP,SECONDARY_13_24
2019,HGB,2.459964679834617,2,TEMP,SECONDARY_13_24
2020,GlobalClim,20.509298395626324,2,TEMP,SECONDARY_13_24
2020,DeptClim,21.618811605029126,2,TEMP,SECONDARY_13_24
2020,Persist,21.81889351583719,2,TEMP,SECONDARY_13_24
2020,Ridge,1.629657251758866,2,TEMP,SECONDARY_13_24
2020,RF,3.445293849514184,2,TEMP,SECONDARY_13_24
2020,HGB,3.552873513416774,2,TEMP,SECONDARY_13_24
2021,GlobalClim,21.38628294283085,2,TEMP,SECONDARY_13_24
2021,DeptClim,22.414120500567957,2,TEMP,SECONDARY_13_24
2021,Persist,22.459587806680176,2,TEMP,SECONDARY_13_24
2021,Ridge,2.297658682039316,2,TEMP,SECONDARY_13_24
2021,RF,3.272541366563405,2,TEMP,SECONDARY_13_24
2021,HGB,3.028344067293304,2,TEMP,SECONDARY_13_24
2022,GlobalClim,21.874125712322684,2,TEMP,SECONDARY_13_24
2022,DeptClim,22.46139534920416,2,TEMP,SECONDARY_13_24
2022,Persist,21.95313216142473,2,TEMP,SECONDARY_13_24
2022,Ridge,4.22442716001924,2,TEMP,SECONDARY_13_24
2022,RF,3.307477932926402,2,TEMP,SECONDARY_13_24
2022,HGB,3.362595992396303,2,TEMP,SECONDARY_13_24
2023,GlobalClim,22.130648366925197,2,TEMP,SECONDARY_13_24
2023,DeptClim,22.62675014089169,2,TEMP,SECONDARY_13_24
2023,Persist,22.576562777656306,2,TEMP,SECONDARY_13_24
2023,Ridge,2.529394830935132,2,TEMP,SECONDARY_13_24
2023,RF,2.1788351801873214,2,TEMP,SECONDARY_13_24
2023,HGB,2.4998646806531184,2,TEMP,SECONDARY_13_24
2024,GlobalClim,20.922529365740324,2,TEMP,SECONDARY_13_24
2024,DeptClim,21.53047140475813,2,TEMP,SECONDARY_13_24
2024,Persist,23.662263357528275,2,TEMP,SECONDARY_13_24
2024,Ridge,2.393420253896226,2,TEMP,SECONDARY_13_24
2024,RF,2.867640914415212,2,TEMP,SECONDARY_13_24
2024,HGB,2.868111205706718,2,TEMP,SECONDARY_13_24
2025,GlobalClim,21.102429049271386,2,TEMP,SECONDARY_13_24
2025,DeptClim,21.384086617996093,2,TEMP,SECONDARY_13_24
2025,Persist,22.635894198222346,2,TEMP,SECONDARY_13_24
2025,Ridge,2.7382359320174063,2,TEMP,SECONDARY_13_24
2025,RF,2.775003292018838,2,TEMP,SECONDARY_13_24
2025,HGB,2.4395322479714983,2,TEMP,SECONDARY_13_24
2001,GlobalClim,24.67387271053345,3,TEMP,SECONDARY_13_24
2001,DeptClim,18.11732145756966,3,TEMP,SECONDARY_13_24
2001,Persist,3.360495747901723,3,TEMP,SECONDARY_13_24
2001,Ridge,3.7379342092414456,3,TEMP,SECONDARY_13_24
2001,RF,3.0708271302049415,3,TEMP,SECONDARY_13_24
2001,HGB,2.468311612773041,3,TEMP,SECONDARY_13_24
2002,GlobalClim,20.680965104293165,3,TEMP,SECONDARY_13_24
2002,DeptClim,14.600799087184178,3,TEMP,SECONDARY_13_24
2002,Persist,4.106385584290681,3,TEMP,SECONDARY_13_24
2002,Ridge,10.246694480132522,3,TEMP,SECONDARY_13_24
2002,RF,13.143119882845374,3,TEMP,SECONDARY_13_24
2002,HGB,8.959244584898268,3,TEMP,SECONDARY_13_24
2003,GlobalClim,30.55778853558725,3,TEMP,SECONDARY_13_24
2003,DeptClim,26.580911730269335,3,TEMP,SECONDARY_13_24
2003,Persist,10.161225907909861,3,TEMP,SECONDARY_13_24
2003,Ridge,9.784504462635667,3,TEMP,SECONDARY_13_24
2003,RF,8.410282089857642,3,TEMP,SECONDARY_13_24
2003,HGB,6.954515256138172,3,TEMP,SECONDARY_13_24
2004,GlobalClim,31.308114502731357,3,TEMP,SECONDARY_13_24
2004,DeptClim,26.671092141914432,3,TEMP,SECONDARY_13_24
2004,Persist,13.274008804169485,3,TEMP,SECONDARY_13_24
2004,Ridge,5.50423656464208,3,TEMP,SECONDARY_13_24
2004,RF,4.31442408276227,3,TEMP,SECONDARY_13_24
2004,HGB,7.060793605074932,3,TEMP,SECONDARY_13_24
2005,GlobalClim,26.00319147745989,3,TEMP,SECONDARY_13_24
2005,DeptClim,25.29166256090165,3,TEMP,SECONDARY_13_24
2005,Persist,18.64852730661639,3,TEMP,SECONDARY_13_24
2005,Ridge,8.17807010262733,3,TEMP,SECONDARY_13_24
2005,RF,8.257838553068368,3,TEMP,SECONDARY_13_24
2005,HGB,8.272024812736156,3,TEMP,SECONDARY_13_24
2006,GlobalClim,19.46878709640829,3,TEMP,SECONDARY_13_24
2006,DeptClim,20.245995150047474,3,TEMP,SECONDARY_13_24
2006,Persist,20.752974518547088,3,TEMP,SECONDARY_13_24
2006,Ridge,3.3474656527181637,3,TEMP,SECONDARY_13_24
2006,RF,3.4230702135353863,3,TEMP,SECONDARY_13_24
2006,HGB,3.6955872905234575,3,TEMP,SECONDARY_13_24
2007,GlobalClim,19.41895229942981,3,TEMP,SECONDARY_13_24
2007,DeptClim,20.26560564084272,3,TEMP,SECONDARY_13_24
