Model,RMSE,R2,Month,Target,FeatureSet
RF,7.724939523982456,0.4414484900351743,2,HUMI,AVG
Ridge,8.051252632025564,0.39326372327821835,2,HUMI,AVG
HGB,8.125250807227971,0.3820595783357772,2,HUMI,AVG
Persist,73.13925452778778,-48.87014836712222,2,HUMI,AVG
GlobalClim,73.29441659735201,-49.28226569336213,2,HUMI,AVG
DeptClim,73.52648156981294,-49.601177445809206,2,HUMI,AVG
RF,9.886290571875586,0.34243936263260366,3,HUMI,AVG
Ridge,10.069307136177112,0.3178682849713371,3,HUMI,AVG
HGB,10.180836515523296,0.30267378334879935,3,HUMI,AVG
Persist,73.28964401428597,-35.03404441323099,3,HUMI,AVG
GlobalClim,74.38498904890136,-36.22542569750669,3,HUMI,AVG
DeptClim,74.60302434834468,-36.443973883475024,3,HUMI,AVG
HGB,12.149499044539974,0.196193815230709,4,HUMI,AVG
RF,12.208584784545303,0.1883566247743249,4,HUMI,AVG
Ridge,12.210535446708795,0.1880972386892389,4,HUMI,AVG
Persist,73.83510745765054,-29.19033751795301,4,HUMI,AVG
GlobalClim,76.55258226403794,-30.912019654268324,4,HUMI,AVG
DeptClim,76.78874021674787,-31.10921487302815,4,HUMI,AVG
RF,11.67137115082108,0.24774899290747043,5,HUMI,AVG
Ridge,11.98641650594762,0.20658985891335102,5,HUMI,AVG
HGB,12.344637417750913,0.1584581951365931,5,HUMI,AVG
Persist,75.82773082784182,-30.48993098760356,5,HUMI,AVG
GlobalClim,77.26041167240926,-31.963479949959755,5,HUMI,AVG
DeptClim,77.50423557157924,-32.17186523690758,5,HUMI,AVG
Ridge,12.586788248265044,0.148316306774664,6,HUMI,AVG
RF,12.735221630101277,0.12811040505184923,6,HUMI,AVG
HGB,12.768502163265559,0.12354749033510004,6,HUMI,AVG
Persist,76.73879965099744,-30.60272666730701,6,HUMI,AVG
GlobalClim,77.17592763931897,-31.019326804289825,6,HUMI,AVG
DeptClim,77.41353866582202,-31.216794004473257,6,HUMI,AVG
RF,11.825845805474808,0.18770808262726002,7,HUMI,AVG
HGB,12.032347898149725,0.15909203004338068,7,HUMI,AVG
Ridge,12.305489841647729,0.12048040373313218,7,HUMI,AVG
GlobalClim,76.51349952923034,-33.00351707690041,7,HUMI,AVG
Persist,76.51350838994789,-33.014873678044964,7,HUMI,AVG
DeptClim,76.76646754877852,-33.22873281043326,7,HUMI,AVG
RF,11.180999943455928,0.22285743971230898,8,HUMI,AVG
HGB,11.547617081218307,0.1710579863593341,8,HUMI,AVG
Ridge,12.007518512238924,0.10371540297164406,8,HUMI,AVG
Persist,76.11219298956786,-35.222268068549965,8,HUMI,AVG
GlobalClim,76.46106949418245,-35.3429469390304,8,HUMI,AVG
DeptClim,76.68323501017089,-35.554450119655385,8,HUMI,AVG
RF,12.069472102060255,0.1313533170834711,9,HUMI,AVG
HGB,12.508317680819836,0.06703699998054335,9,HUMI,AVG
Ridge,12.711014564829739,0.036554732421283265,9,HUMI,AVG
Persist,75.82346275678572,-36.47039094336011,9,HUMI,AVG
GlobalClim,75.95646498580494,-33.40298325531962,9,HUMI,AVG
DeptClim,76.23669804883063,-33.657303616680885,9,HUMI,AVG
Ridge,11.665436363811828,0.06491861786152986,10,HUMI,AVG
RF,11.690883723070643,0.060834534746464386,10,HUMI,AVG
HGB,11.943405055136667,0.019824697889863407,10,HUMI,AVG
Persist,75.7204371679203,-39.445856063827186,10,HUMI,AVG
GlobalClim,77.2799268329343,-40.0374944271522,10,HUMI,AVG
DeptClim,77.47931214847233,-40.24952436580546,10,HUMI,AVG
RF,10.59891234661345,0.17131796896591944,11,HUMI,AVG
Ridge,11.293843312437644,0.059088369024626775,11,HUMI,AVG
HGB,11.410390114722457,0.03956869655542716,11,HUMI,AVG
Persist,76.75948940710542,-42.336245839516174,11,HUMI,AVG
GlobalClim,77.33166913226067,-43.11437076617402,11,HUMI,AVG
DeptClim,77.52286072480875,-43.33277347744534,11,HUMI,AVG
RF,11.308291726240945,0.13567763634176744,12,HUMI,AVG
HGB,11.642037015999103,0.08390672636260088,12,HUMI,AVG
Ridge,11.859233115424695,0.04940624942646987,12,HUMI,AVG
GlobalClim,75.72836084748504,-37.76134655610121,12,HUMI,AVG
DeptClim,75.92455768138548,-37.96245231631531,12,HUMI,AVG
Persist,76.80108832854543,-38.867269456682436,12,HUMI,AVG
