Model,RMSE,R2,Month,Target,FeatureSet
RF,7.708164092739735,0.4438717500664341,2,HUMI,PRIMARY_1_12
HGB,8.239947710193405,0.36449061959098716,2,HUMI,PRIMARY_1_12
Ridge,8.432138585843889,0.33449928658920547,2,HUMI,PRIMARY_1_12
Persist,73.13925452778778,-48.87014836712222,2,HUMI,PRIMARY_1_12
GlobalClim,73.29441659735201,-49.28226569336213,2,HUMI,PRIMARY_1_12
DeptClim,73.52648156981294,-49.601177445809206,2,HUMI,PRIMARY_1_12
RF,9.958281662899127,0.33282789819913405,3,HUMI,PRIMARY_1_12
Ridge,10.378691460910234,0.27530666214891175,3,HUMI,PRIMARY_1_12
HGB,10.393128107915093,0.27328917886451254,3,HUMI,PRIMARY_1_12
Persist,73.28964401428597,-35.03404441323099,3,HUMI,PRIMARY_1_12
GlobalClim,74.38498904890136,-36.22542569750669,3,HUMI,PRIMARY_1_12
DeptClim,74.60302434834468,-36.443973883475024,3,HUMI,PRIMARY_1_12
RF,11.652577091086648,0.26060149063274063,4,HUMI,PRIMARY_1_12
HGB,12.222160288460405,0.18655058515858125,4,HUMI,PRIMARY_1_12
Ridge,12.529888955824061,0.14507297575161027,4,HUMI,PRIMARY_1_12
Persist,73.83510745765054,-29.19033751795301,4,HUMI,PRIMARY_1_12
GlobalClim,76.55258226403794,-30.912019654268324,4,HUMI,PRIMARY_1_12
DeptClim,76.78874021674787,-31.10921487302815,4,HUMI,PRIMARY_1_12
RF,11.806432612755271,0.23023811448836395,5,HUMI,PRIMARY_1_12
Ridge,12.100683280175595,0.191390562059099,5,HUMI,PRIMARY_1_12
HGB,12.115562282704863,0.18940080686277827,5,HUMI,PRIMARY_1_12
Persist,75.82773082784182,-30.48993098760356,5,HUMI,PRIMARY_1_12
GlobalClim,77.26041167240926,-31.963479949959755,5,HUMI,PRIMARY_1_12
DeptClim,77.50423557157924,-32.17186523690758,5,HUMI,PRIMARY_1_12
HGB,12.653319988047885,0.13928878440322578,6,HUMI,PRIMARY_1_12
RF,12.685065576728428,0.13496453429049393,6,HUMI,PRIMARY_1_12
Ridge,12.747577843610742,0.1264177010499009,6,HUMI,PRIMARY_1_12
Persist,76.73879965099744,-30.60272666730701,6,HUMI,PRIMARY_1_12
GlobalClim,77.17592763931897,-31.019326804289825,6,HUMI,PRIMARY_1_12
DeptClim,77.41353866582202,-31.216794004473257,6,HUMI,PRIMARY_1_12
RF,11.82351966742159,0.18802760604033864,7,HUMI,PRIMARY_1_12
HGB,12.22035717679132,0.13260781067610328,7,HUMI,PRIMARY_1_12
Ridge,12.41985330824013,0.1040564638508048,7,HUMI,PRIMARY_1_12
GlobalClim,76.51349952923034,-33.00351707690041,7,HUMI,PRIMARY_1_12
Persist,76.51350838994789,-33.014873678044964,7,HUMI,PRIMARY_1_12
DeptClim,76.76646754877852,-33.22873281043326,7,HUMI,PRIMARY_1_12
RF,11.22058544291123,0.21734486755759497,8,HUMI,PRIMARY_1_12
HGB,11.656433711888782,0.15536164318545187,8,HUMI,PRIMARY_1_12
Ridge,12.107634525897431,0.0887070520930271,8,HUMI,PRIMARY_1_12
Persist,76.11219298956786,-35.222268068549965,8,HUMI,PRIMARY_1_12
GlobalClim,76.46106949418245,-35.3429469390304,8,HUMI,PRIMARY_1_12
DeptClim,76.68323501017089,-35.554450119655385,8,HUMI,PRIMARY_1_12
RF,12.34775025015698,0.09083587894563594,9,HUMI,PRIMARY_1_12
HGB,12.76814878319171,0.027874165920583338,9,HUMI,PRIMARY_1_12
Ridge,12.834559927275597,0.01773520399224615,9,HUMI,PRIMARY_1_12
Persist,75.82346275678572,-36.47039094336011,9,HUMI,PRIMARY_1_12
GlobalClim,75.95646498580494,-33.40298325531962,9,HUMI,PRIMARY_1_12
DeptClim,76.23669804883063,-33.657303616680885,9,HUMI,PRIMARY_1_12
RF,11.585446682371774,0.07769832351568073,10,HUMI,PRIMARY_1_12
Ridge,11.76325390327102,0.04917109754045257,10,HUMI,PRIMARY_1_12
HGB,12.023420374255787,0.006647256704687243,10,HUMI,PRIMARY_1_12
Persist,75.7204371679203,-39.445856063827186,10,HUMI,PRIMARY_1_12
GlobalClim,77.2799268329343,-40.0374944271522,10,HUMI,PRIMARY_1_12
DeptClim,77.47931214847233,-40.24952436580546,10,HUMI,PRIMARY_1_12
RF,10.604781080369847,0.1704000142768135,11,HUMI,PRIMARY_1_12
HGB,11.245121558641392,0.06718906252154233,11,HUMI,PRIMARY_1_12
Ridge,11.434985739964677,0.03542372556473039,11,HUMI,PRIMARY_1_12
Persist,76.75948940710542,-42.336245839516174,11,HUMI,PRIMARY_1_12
GlobalClim,77.33166913226067,-43.11437076617402,11,HUMI,PRIMARY_1_12
DeptClim,77.52286072480875,-43.33277347744534,11,HUMI,PRIMARY_1_12
RF,11.472155753482582,0.11044703406064327,12,HUMI,PRIMARY_1_12
HGB,11.730840893769724,0.06987775387021267,12,HUMI,PRIMARY_1_12
Ridge,11.834974491207602,0.053291241161270486,12,HUMI,PRIMARY_1_12
GlobalClim,75.72836084748504,-37.76134655610121,12,HUMI,PRIMARY_1_12
DeptClim,75.92455768138548,-37.96245231631531,12,HUMI,PRIMARY_1_12
Persist,76.80108832854543,-38.867269456682436,12,HUMI,PRIMARY_1_12
