Model,RMSE,R2,Month,Target,FeatureSet
RF,7.845939552808899,0.4238136445142733,2,HUMI,SECONDARY_13_24
Ridge,8.313173339602711,0.35314531765997026,2,HUMI,SECONDARY_13_24
HGB,8.8702749159656,0.26354330589169306,2,HUMI,SECONDARY_13_24
Persist,73.13925452778778,-48.87014836712222,2,HUMI,SECONDARY_13_24
GlobalClim,73.29441659735201,-49.28226569336213,2,HUMI,SECONDARY_13_24
DeptClim,73.52648156981294,-49.601177445809206,2,HUMI,SECONDARY_13_24
RF,10.09771866587633,0.3140134522469781,3,HUMI,SECONDARY_13_24
Ridge,10.302676104148754,0.28588334927527914,3,HUMI,SECONDARY_13_24
HGB,10.315810235069844,0.28406143815574214,3,HUMI,SECONDARY_13_24
Persist,73.28964401428597,-35.03404441323099,3,HUMI,SECONDARY_13_24
GlobalClim,74.38498904890136,-36.22542569750669,3,HUMI,SECONDARY_13_24
DeptClim,74.60302434834468,-36.443973883475024,3,HUMI,SECONDARY_13_24
Ridge,12.251981440319922,0.18257623172141968,4,HUMI,SECONDARY_13_24
RF,12.319313044842728,0.17356712769009508,4,HUMI,SECONDARY_13_24
HGB,12.49490489059116,0.1498403075994893,4,HUMI,SECONDARY_13_24
Persist,73.83510745765054,-29.19033751795301,4,HUMI,SECONDARY_13_24
GlobalClim,76.55258226403794,-30.912019654268324,4,HUMI,SECONDARY_13_24
DeptClim,76.78874021674787,-31.10921487302815,4,HUMI,SECONDARY_13_24
RF,11.805570319527202,0.2303505508599093,5,HUMI,SECONDARY_13_24
Ridge,12.148561811039363,0.18497908552868536,5,HUMI,SECONDARY_13_24
HGB,12.550148612612944,0.13020530372916572,5,HUMI,SECONDARY_13_24
Persist,75.82773082784182,-30.48993098760356,5,HUMI,SECONDARY_13_24
GlobalClim,77.26041167240926,-31.963479949959755,5,HUMI,SECONDARY_13_24
DeptClim,77.50423557157924,-32.17186523690758,5,HUMI,SECONDARY_13_24
RF,12.57713496299114,0.1496221828701615,6,HUMI,SECONDARY_13_24
Ridge,12.653987378817343,0.13919798675170347,6,HUMI,SECONDARY_13_24
HGB,12.897567335758382,0.10573941795228514,6,HUMI,SECONDARY_13_24
Persist,76.73879965099744,-30.60272666730701,6,HUMI,SECONDARY_13_24
GlobalClim,77.17592763931897,-31.019326804289825,6,HUMI,SECONDARY_13_24
DeptClim,77.41353866582202,-31.216794004473257,6,HUMI,SECONDARY_13_24
RF,12.018357805942669,0.16104635198865414,7,HUMI,SECONDARY_13_24
Ridge,12.391604474107234,0.1081274583741978,7,HUMI,SECONDARY_13_24
HGB,12.440165856302922,0.10112345365407227,7,HUMI,SECONDARY_13_24
GlobalClim,76.51349952923034,-33.00351707690041,7,HUMI,SECONDARY_13_24
Persist,76.51350838994789,-33.014873678044964,7,HUMI,SECONDARY_13_24
DeptClim,76.76646754877852,-33.22873281043326,7,HUMI,SECONDARY_13_24
HGB,11.789203307757314,0.1360107919761483,8,HUMI,SECONDARY_13_24
RF,12.027217752665228,0.10077214556958691,8,HUMI,SECONDARY_13_24
Ridge,12.065852700314284,0.09498569987124594,8,HUMI,SECONDARY_13_24
Persist,76.11219298956786,-35.222268068549965,8,HUMI,SECONDARY_13_24
GlobalClim,76.46106949418245,-35.3429469390304,8,HUMI,SECONDARY_13_24
DeptClim,76.68323501017089,-35.554450119655385,8,HUMI,SECONDARY_13_24
RF,12.299650081675033,0.09790530785952756,9,HUMI,SECONDARY_13_24
Ridge,12.662407013925755,0.04390916871100814,9,HUMI,SECONDARY_13_24
HGB,12.9013737133402,0.007481692433178977,9,HUMI,SECONDARY_13_24
Persist,75.82346275678572,-36.47039094336011,9,HUMI,SECONDARY_13_24
GlobalClim,75.95646498580494,-33.40298325531962,9,HUMI,SECONDARY_13_24
DeptClim,76.23669804883063,-33.657303616680885,9,HUMI,SECONDARY_13_24
RF,11.394189395392559,0.10789843664658139,10,HUMI,SECONDARY_13_24
HGB,11.581450001767559,0.07833455438534298,10,HUMI,SECONDARY_13_24
Ridge,11.742096896376145,0.052588281798163994,10,HUMI,SECONDARY_13_24
Persist,75.7204371679203,-39.445856063827186,10,HUMI,SECONDARY_13_24
GlobalClim,77.2799268329343,-40.0374944271522,10,HUMI,SECONDARY_13_24
DeptClim,77.47931214847233,-40.24952436580546,10,HUMI,SECONDARY_13_24
RF,10.784903366579092,0.14197915861618615,11,HUMI,SECONDARY_13_24
HGB,11.119418789782463,0.0879272187283916,11,HUMI,SECONDARY_13_24
Ridge,11.247293193383964,0.06682874267414862,11,HUMI,SECONDARY_13_24
Persist,76.75948940710542,-42.336245839516174,11,HUMI,SECONDARY_13_24
GlobalClim,77.33166913226067,-43.11437076617402,11,HUMI,SECONDARY_13_24
DeptClim,77.52286072480875,-43.33277347744534,11,HUMI,SECONDARY_13_24
RF,11.541662558059413,0.09963524046504058,12,HUMI,SECONDARY_13_24
Ridge,11.88394446547139,0.04544057500424303,12,HUMI,SECONDARY_13_24
HGB,11.947639189287026,0.03518079367427418,12,HUMI,SECONDARY_13_24
GlobalClim,75.72836084748504,-37.76134655610121,12,HUMI,SECONDARY_13_24
DeptClim,75.92455768138548,-37.96245231631531,12,HUMI,SECONDARY_13_24
Persist,76.80108832854543,-38.867269456682436,12,HUMI,SECONDARY_13_24
