Model,RMSE,R2,Month,Target,FeatureSet
Persist,8664.179814446361,0.5848598795530353,2,RAIN,AVG
RF,11881.092538324161,0.21070593342442678,2,RAIN,AVG
HGB,12280.51052139068,0.1567450016100722,2,RAIN,AVG
Ridge,12535.520432079727,0.12136030613095616,2,RAIN,AVG
GlobalClim,13560.276232112396,-0.028165800710014066,2,RAIN,AVG
DeptClim,14682.482864897283,-0.20538306742167012,2,RAIN,AVG
RF,4883.581581036825,0.23963804165867242,3,RAIN,AVG
Ridge,5292.653750795404,0.10691981734188383,3,RAIN,AVG
HGB,5624.8808073991,-0.00871884525325628,3,RAIN,AVG
GlobalClim,5960.488899444219,-0.13268005547489414,3,RAIN,AVG
DeptClim,6740.721507584804,-0.4486259334954945,3,RAIN,AVG
Persist,10913.17730379995,-2.78593072853444,3,RAIN,AVG
RF,5430.231866141521,0.08537668688275779,4,RAIN,AVG
HGB,5645.2541082132375,0.011509476758240211,4,RAIN,AVG
GlobalClim,6012.635775335633,-0.12133483051469085,4,RAIN,AVG
DeptClim,6684.046788273648,-0.3857487058432023,4,RAIN,AVG
Ridge,7459.314515199629,-0.7258512341089303,4,RAIN,AVG
Persist,7585.664721806206,-0.7728627617908495,4,RAIN,AVG
Persist,7481.225648608065,0.5358493113992926,5,RAIN,AVG
RF,10902.804315494184,0.0022098789040775335,5,RAIN,AVG
GlobalClim,11195.28458799243,-0.05204190961085953,5,RAIN,AVG
HGB,11300.926843154886,-0.07199038979390626,5,RAIN,AVG
DeptClim,12138.433402638102,-0.23676744457319643,5,RAIN,AVG
Ridge,15210.799626471487,-0.942078836823975,5,RAIN,AVG
Persist,7431.931263565276,0.49161366301187237,6,RAIN,AVG
RF,7616.91671148237,0.46416387193910236,6,RAIN,AVG
HGB,9323.33939691731,0.19718298812709356,6,RAIN,AVG
GlobalClim,10683.6300118344,-0.054171467608337354,6,RAIN,AVG
DeptClim,11797.177913923799,-0.2853749640874981,6,RAIN,AVG
Ridge,13265.910272494482,-0.6253529712751051,6,RAIN,AVG
Persist,9002.062625023653,0.6457904361933566,7,RAIN,AVG
Ridge,9187.976730843238,0.6267853287231852,7,RAIN,AVG
RF,11230.420302273149,0.44241516322076346,7,RAIN,AVG
HGB,13295.839580367448,0.2184613370789692,7,RAIN,AVG
GlobalClim,15274.839910512588,-0.03150721257128897,7,RAIN,AVG
DeptClim,16707.92217816759,-0.23413827626278372,7,RAIN,AVG
Persist,8137.816337300726,0.7428908474689074,8,RAIN,AVG
Ridge,8943.782412605116,0.6878573178137196,8,RAIN,AVG
RF,12414.466211324365,0.3985953115698748,8,RAIN,AVG
HGB,14142.063311685682,0.21956585476759183,8,RAIN,AVG
GlobalClim,16248.190252491147,-0.030197992244964444,8,RAIN,AVG
DeptClim,17713.9229279473,-0.2244476142905194,8,RAIN,AVG
Persist,10667.20139513697,0.7307701838652801,9,RAIN,AVG
Ridge,12621.296770527713,0.6180142183140831,9,RAIN,AVG
RF,17696.18391402544,0.24907167360098292,9,RAIN,AVG
HGB,18348.504657940844,0.19268951387856337,9,RAIN,AVG
GlobalClim,20697.847003787185,-0.027281779647596593,9,RAIN,AVG
DeptClim,22543.660788414938,-0.2186756190637904,9,RAIN,AVG
HGB,13735.211663031838,-0.015110270565680484,10,RAIN,AVG
RF,13913.136261371747,-0.04157988950109415,10,RAIN,AVG
GlobalClim,14074.622262613215,-0.06589887802677219,10,RAIN,AVG
Persist,14434.841862478215,-0.1099427875446819,10,RAIN,AVG
Ridge,16457.494177381297,-0.45737034889419625,10,RAIN,AVG
DeptClim,16642.247016498128,-0.49027507105531964,10,RAIN,AVG
Persist,15844.001304241268,0.07187089638728728,11,RAIN,AVG
RF,16389.44641117745,0.003601039901439229,11,RAIN,AVG
GlobalClim,16890.538135752573,-0.058258266037635176,11,RAIN,AVG
HGB,17147.215858128995,-0.09066638083001322,11,RAIN,AVG
Ridge,18011.074656016153,-0.20332779736428575,11,RAIN,AVG
DeptClim,19744.18837253515,-0.44604986112802414,11,RAIN,AVG
Persist,10305.640069743944,0.5808460172634344,12,RAIN,AVG
RF,15263.09041862183,0.0805912972835725,12,RAIN,AVG
HGB,16154.380675431334,-0.029921873467142257,12,RAIN,AVG
GlobalClim,16302.66011949471,-0.04891574633247475,12,RAIN,AVG
Ridge,17344.728493301747,-0.18729508027429742,12,RAIN,AVG
DeptClim,19206.404287079233,-0.45584717807379027,12,RAIN,AVG
