Model,RMSE,R2,Month,Target,FeatureSet
Persist,8664.179814446361,0.5848598795530353,2,RAIN,PRIMARY+SECONDARY
RF,11663.027200655617,0.23941342044633063,2,RAIN,PRIMARY+SECONDARY
HGB,12162.617612853506,0.17285778422293974,2,RAIN,PRIMARY+SECONDARY
Ridge,13304.97533158058,0.01018454995871787,2,RAIN,PRIMARY+SECONDARY
GlobalClim,13560.276232112396,-0.028165800710014066,2,RAIN,PRIMARY+SECONDARY
DeptClim,14682.482864897283,-0.20538306742167012,2,RAIN,PRIMARY+SECONDARY
RF,4846.201004325027,0.2512336254840062,3,RAIN,PRIMARY+SECONDARY
HGB,5451.4800318370335,0.05251501200661601,3,RAIN,PRIMARY+SECONDARY
Ridge,5851.784829130574,-0.09174241619385737,3,RAIN,PRIMARY+SECONDARY
GlobalClim,5960.488899444219,-0.13268005547489414,3,RAIN,PRIMARY+SECONDARY
DeptClim,6740.721507584804,-0.4486259334954945,3,RAIN,PRIMARY+SECONDARY
Persist,10913.17730379995,-2.78593072853444,3,RAIN,PRIMARY+SECONDARY
RF,5436.986743127237,0.08309980046144583,4,RAIN,PRIMARY+SECONDARY
HGB,5699.6117627287795,-0.0076183484179404015,4,RAIN,PRIMARY+SECONDARY
GlobalClim,6012.635775335633,-0.12133483051469085,4,RAIN,PRIMARY+SECONDARY
DeptClim,6684.046788273648,-0.3857487058432023,4,RAIN,PRIMARY+SECONDARY
Persist,7585.664721806206,-0.7728627617908495,4,RAIN,PRIMARY+SECONDARY
Ridge,7727.151821812231,-0.8520146153966626,4,RAIN,PRIMARY+SECONDARY
Persist,7481.225648608065,0.5358493113992926,5,RAIN,PRIMARY+SECONDARY
RF,10957.842300561191,-0.007889351837412129,5,RAIN,PRIMARY+SECONDARY
GlobalClim,11195.28458799243,-0.05204190961085953,5,RAIN,PRIMARY+SECONDARY
HGB,11303.882385909736,-0.07255118056441567,5,RAIN,PRIMARY+SECONDARY
DeptClim,12138.433402638102,-0.23676744457319643,5,RAIN,PRIMARY+SECONDARY
Ridge,15276.676903525751,-0.9589373738409768,5,RAIN,PRIMARY+SECONDARY
Persist,7431.931263565276,0.49161366301187237,6,RAIN,PRIMARY+SECONDARY
Ridge,8041.59885400718,0.40274693307784515,6,RAIN,PRIMARY+SECONDARY
RF,8489.856591497526,0.3343065448771666,6,RAIN,PRIMARY+SECONDARY
HGB,9804.643334561286,0.11215494888961985,6,RAIN,PRIMARY+SECONDARY
GlobalClim,10683.6300118344,-0.054171467608337354,6,RAIN,PRIMARY+SECONDARY
DeptClim,11797.177913923799,-0.2853749640874981,6,RAIN,PRIMARY+SECONDARY
