Model,RMSE,R2,Month,Target,FeatureSet
Persist,8664.179814446361,0.5848598795530353,2,RAIN,SECONDARY_13_24
RF,11908.87527002084,0.20701024899377596,2,RAIN,SECONDARY_13_24
HGB,12248.411489739885,0.1611474723123133,2,RAIN,SECONDARY_13_24
GlobalClim,13560.276232112396,-0.028165800710014066,2,RAIN,SECONDARY_13_24
DeptClim,14682.482864897283,-0.20538306742167012,2,RAIN,SECONDARY_13_24
Ridge,16307.351196657108,-0.48693823738381137,2,RAIN,SECONDARY_13_24
RF,4856.028352786903,0.24819378090859767,3,RAIN,SECONDARY_13_24
HGB,5414.631552538563,0.06528049397659119,3,RAIN,SECONDARY_13_24
Ridge,5468.533087013602,0.046577987470230786,3,RAIN,SECONDARY_13_24
GlobalClim,5960.488899444219,-0.13268005547489414,3,RAIN,SECONDARY_13_24
DeptClim,6740.721507584804,-0.4486259334954945,3,RAIN,SECONDARY_13_24
Persist,10913.17730379995,-2.78593072853444,3,RAIN,SECONDARY_13_24
RF,5445.331298725317,0.08028316822187898,4,RAIN,SECONDARY_13_24
HGB,5703.240814763791,-0.00890189674207642,4,RAIN,SECONDARY_13_24
GlobalClim,6012.635775335633,-0.12133483051469085,4,RAIN,SECONDARY_13_24
DeptClim,6684.046788273648,-0.3857487058432023,4,RAIN,SECONDARY_13_24
Ridge,7106.966172341822,-0.5666573324964539,4,RAIN,SECONDARY_13_24
Persist,7585.664721806206,-0.7728627617908495,4,RAIN,SECONDARY_13_24
Persist,7481.225648608065,0.5358493113992926,5,RAIN,SECONDARY_13_24
RF,11006.093496315867,-0.016785069917618634,5,RAIN,SECONDARY_13_24
GlobalClim,11195.28458799243,-0.05204190961085953,5,RAIN,SECONDARY_13_24
HGB,11231.245282442846,-0.058811352270688344,5,RAIN,SECONDARY_13_24
DeptClim,12138.433402638102,-0.23676744457319643,5,RAIN,SECONDARY_13_24
Ridge,14914.361419270768,-0.8671193990816974,5,RAIN,SECONDARY_13_24
Persist,7431.931263565276,0.49161366301187237,6,RAIN,SECONDARY_13_24
Ridge,9480.099411248517,0.1699593505698751,6,RAIN,SECONDARY_13_24
HGB,10034.793669614759,0.06998388730883076,6,RAIN,SECONDARY_13_24
RF,10277.607610432722,0.02443178096922982,6,RAIN,SECONDARY_13_24
GlobalClim,10683.6300118344,-0.054171467608337354,6,RAIN,SECONDARY_13_24
DeptClim,11797.177913923799,-0.2853749640874981,6,RAIN,SECONDARY_13_24
Persist,9002.062625023653,0.6457904361933566,7,RAIN,SECONDARY_13_24
Ridge,12255.804878134324,0.33594720259292443,7,RAIN,SECONDARY_13_24
GlobalClim,15274.839910512588,-0.03150721257128897,7,RAIN,SECONDARY_13_24
HGB,15469.15073804675,-0.05791768532148578,7,RAIN,SECONDARY_13_24
RF,15956.845020527202,-0.12567491578724033,7,RAIN,SECONDARY_13_24
DeptClim,16707.92217816759,-0.23413827626278372,7,RAIN,SECONDARY_13_24
Persist,8137.816337300726,0.7428908474689074,8,RAIN,SECONDARY_13_24
Ridge,12725.61727807227,0.3680708003991674,8,RAIN,SECONDARY_13_24
HGB,16118.023498077317,-0.013757959355119587,8,RAIN,SECONDARY_13_24
GlobalClim,16248.190252491147,-0.030197992244964444,8,RAIN,SECONDARY_13_24
RF,16386.217810569844,-0.047775295772320314,8,RAIN,SECONDARY_13_24
DeptClim,17713.9229279473,-0.2244476142905194,8,RAIN,SECONDARY_13_24
Ridge,10414.640703414581,0.7399075030118849,9,RAIN,SECONDARY_13_24
Persist,10667.20139513697,0.7307701838652801,9,RAIN,SECONDARY_13_24
RF,17597.787419282504,0.2573992647839697,9,RAIN,SECONDARY_13_24
HGB,18347.623809569257,0.19276702439739402,9,RAIN,SECONDARY_13_24
GlobalClim,20697.847003787185,-0.027281779647596593,9,RAIN,SECONDARY_13_24
DeptClim,22543.660788414938,-0.2186756190637904,9,RAIN,SECONDARY_13_24
RF,12970.880053116227,0.09472318966633242,10,RAIN,SECONDARY_13_24
HGB,13803.722099848766,-0.025262148030373854,10,RAIN,SECONDARY_13_24
GlobalClim,14074.622262613215,-0.06589887802677219,10,RAIN,SECONDARY_13_24
Persist,14434.841862478215,-0.1099427875446819,10,RAIN,SECONDARY_13_24
DeptClim,16642.247016498128,-0.49027507105531964,10,RAIN,SECONDARY_13_24
Ridge,18406.02632552038,-0.8228989163328817,10,RAIN,SECONDARY_13_24
RF,14182.7742204263,0.25384839926879454,11,RAIN,SECONDARY_13_24
Persist,15844.001304241268,0.07187089638728728,11,RAIN,SECONDARY_13_24
HGB,16603.799566755282,-0.022632664619818277,11,RAIN,SECONDARY_13_24
GlobalClim,16890.538135752573,-0.058258266037635176,11,RAIN,SECONDARY_13_24
Ridge,17816.580820585263,-0.1774796794320337,11,RAIN,SECONDARY_13_24
DeptClim,19744.18837253515,-0.44604986112802414,11,RAIN,SECONDARY_13_24
Persist,10305.640069743944,0.5808460172634344,12,RAIN,SECONDARY_13_24
RF,14744.960588163243,0.14195337302808164,12,RAIN,SECONDARY_13_24
HGB,15849.02144846887,0.00864645811771414,12,RAIN,SECONDARY_13_24
GlobalClim,16302.66011949471,-0.04891574633247475,12,RAIN,SECONDARY_13_24
Ridge,17281.052207317694,-0.178593443417995,12,RAIN,SECONDARY_13_24
DeptClim,19206.404287079233,-0.45584717807379027,12,RAIN,SECONDARY_13_24
