Model,RMSE,R2,Month,Target,FeatureSet
Ridge,2.878789430673368,0.44552327473164355,2,TEMP,PRIMARY+SECONDARY
RF,3.246430639210744,0.2948593058168498,2,TEMP,PRIMARY+SECONDARY
HGB,3.3453212035767024,0.25124597792643044,2,TEMP,PRIMARY+SECONDARY
GlobalClim,21.659417279791146,-30.387524044847684,2,TEMP,PRIMARY+SECONDARY
Persist,21.71035232131058,-30.612369316072456,2,TEMP,PRIMARY+SECONDARY
DeptClim,22.256206120224807,-32.14101393988149,2,TEMP,PRIMARY+SECONDARY
Ridge,3.536517169758123,0.252181918504916,3,TEMP,PRIMARY+SECONDARY
RF,3.704392651353261,0.17950025975774841,3,TEMP,PRIMARY+SECONDARY
HGB,3.7977514176317233,0.13762235702908043,3,TEMP,PRIMARY+SECONDARY
GlobalClim,21.683741942702046,-27.113368172366926,3,TEMP,PRIMARY+SECONDARY
Persist,22.099427507813488,-29.088251155051264,3,TEMP,PRIMARY+SECONDARY
DeptClim,22.2464250533506,-28.591357008919115,3,TEMP,PRIMARY+SECONDARY
Ridge,3.4114585313236216,0.2563782280505622,4,TEMP,PRIMARY+SECONDARY
RF,3.5680895873208938,0.18652651112746022,4,TEMP,PRIMARY+SECONDARY
HGB,3.7139475212557804,0.11866010543012384,4,TEMP,PRIMARY+SECONDARY
GlobalClim,21.479280550252373,-28.478906171625244,4,TEMP,PRIMARY+SECONDARY
Persist,21.902181165948477,-29.5426537953127,4,TEMP,PRIMARY+SECONDARY
DeptClim,22.03648199879484,-30.028189111992738,4,TEMP,PRIMARY+SECONDARY
Ridge,3.717668845345295,0.2051137065934836,5,TEMP,PRIMARY+SECONDARY
RF,3.7509873259965216,0.19080200540925119,5,TEMP,PRIMARY+SECONDARY
HGB,3.8916707465488125,0.12896464351549008,5,TEMP,PRIMARY+SECONDARY
GlobalClim,21.492386275601937,-25.566410506699867,5,TEMP,PRIMARY+SECONDARY
Persist,21.81301127907847,-26.49699388810874,5,TEMP,PRIMARY+SECONDARY
DeptClim,22.038875065396027,-26.93459956577074,5,TEMP,PRIMARY+SECONDARY
RF,4.081663796958541,0.1515486863827965,6,TEMP,PRIMARY+SECONDARY
Ridge,4.119344029266021,0.13581127616008204,6,TEMP,PRIMARY+SECONDARY
HGB,4.2165286308733565,0.09455395764452235,6,TEMP,PRIMARY+SECONDARY
GlobalClim,21.373203263574087,-22.264391603973525,6,TEMP,PRIMARY+SECONDARY
Persist,21.83610397486859,-23.20370024008627,6,TEMP,PRIMARY+SECONDARY
DeptClim,21.919409223178093,-23.468658355208145,6,TEMP,PRIMARY+SECONDARY
Ridge,4.038014980524419,0.18395707590094812,7,TEMP,PRIMARY+SECONDARY
RF,4.051364442609396,0.1785525683994057,7,TEMP,PRIMARY+SECONDARY
HGB,4.160719848394418,0.1336086631074772,7,TEMP,PRIMARY+SECONDARY
GlobalClim,21.37143486412752,-21.85833086057798,7,TEMP,PRIMARY+SECONDARY
Persist,21.58413409294757,-23.243359783599523,7,TEMP,PRIMARY+SECONDARY
DeptClim,21.916542095841894,-23.03926692386738,7,TEMP,PRIMARY+SECONDARY
RF,4.161365497281135,0.17828811970212943,8,TEMP,PRIMARY+SECONDARY
