Model,RMSE,R2,Month,Target,FeatureSet
Ridge,3.2855381250692908,0.2777683040895398,2,TEMP,PRIMARY_1_12
RF,3.3531739786876673,0.2477266159996051,2,TEMP,PRIMARY_1_12
HGB,3.544508756936796,0.1594266260783178,2,TEMP,PRIMARY_1_12
GlobalClim,21.659417279791146,-30.387524044847684,2,TEMP,PRIMARY_1_12
Persist,21.71035232131058,-30.612369316072456,2,TEMP,PRIMARY_1_12
DeptClim,22.256206120224807,-32.14101393988149,2,TEMP,PRIMARY_1_12
Ridge,3.5795243606187594,0.23388306121222413,3,TEMP,PRIMARY_1_12
RF,3.712360714133723,0.17596671168187994,3,TEMP,PRIMARY_1_12
HGB,3.8668700857534923,0.10594634537233971,3,TEMP,PRIMARY_1_12
GlobalClim,21.683741942702046,-27.113368172366926,3,TEMP,PRIMARY_1_12
Persist,22.099427507813488,-29.088251155051264,3,TEMP,PRIMARY_1_12
DeptClim,22.2464250533506,-28.591357008919115,3,TEMP,PRIMARY_1_12
Ridge,3.384223905331414,0.2682039154666457,4,TEMP,PRIMARY_1_12
RF,3.598352579694111,0.17266893182627996,4,TEMP,PRIMARY_1_12
HGB,3.7194758151086913,0.1160343644029963,4,TEMP,PRIMARY_1_12
GlobalClim,21.479280550252373,-28.478906171625244,4,TEMP,PRIMARY_1_12
Persist,21.902181165948477,-29.5426537953127,4,TEMP,PRIMARY_1_12
DeptClim,22.03648199879484,-30.028189111992738,4,TEMP,PRIMARY_1_12
Ridge,3.7067784764140184,0.20976389262241824,5,TEMP,PRIMARY_1_12
RF,3.766500935400371,0.18409468248944827,5,TEMP,PRIMARY_1_12
HGB,3.9036913370292234,0.12357542617554462,5,TEMP,PRIMARY_1_12
GlobalClim,21.492386275601937,-25.566410506699867,5,TEMP,PRIMARY_1_12
Persist,21.81301127907847,-26.49699388810874,5,TEMP,PRIMARY_1_12
DeptClim,22.038875065396027,-26.93459956577074,5,TEMP,PRIMARY_1_12
Ridge,3.996706429353867,0.1865011077776625,6,TEMP,PRIMARY_1_12
RF,4.091182305333075,0.1475868668849868,6,TEMP,PRIMARY_1_12
HGB,4.232779655294633,0.08756110515936333,6,TEMP,PRIMARY_1_12
GlobalClim,21.373203263574087,-22.264391603973525,6,TEMP,PRIMARY_1_12
Persist,21.83610397486859,-23.20370024008627,6,TEMP,PRIMARY_1_12
DeptClim,21.919409223178093,-23.468658355208145,6,TEMP,PRIMARY_1_12
Ridge,3.9656242229986747,0.21295372252253453,7,TEMP,PRIMARY_1_12
RF,4.0072403933316,0.1963481576429622,7,TEMP,PRIMARY_1_12
HGB,4.162081312605374,0.1330415719175564,7,TEMP,PRIMARY_1_12
GlobalClim,21.37143486412752,-21.85833086057798,7,TEMP,PRIMARY_1_12
Persist,21.58413409294757,-23.243359783599523,7,TEMP,PRIMARY_1_12
DeptClim,21.916542095841894,-23.03926692386738,7,TEMP,PRIMARY_1_12
RF,4.129670425272268,0.19075760081073379,8,TEMP,PRIMARY_1_12
Ridge,4.156480952132347,0.18021601244741092,8,TEMP,PRIMARY_1_12
HGB,4.355931681142751,0.09965291829934564,8,TEMP,PRIMARY_1_12
GlobalClim,21.48259566364714,-20.898852117554323,8,TEMP,PRIMARY_1_12
Persist,21.55532049794959,-21.19413476270385,8,TEMP,PRIMARY_1_12
DeptClim,22.02069155711457,-22.009636063462583,8,TEMP,PRIMARY_1_12
RF,3.851330738491312,0.1172664285394932,9,TEMP,PRIMARY_1_12
Ridge,3.8862927989869123,0.1011669196654893,9,TEMP,PRIMARY_1_12
HGB,3.9603353548789455,0.06659109987915557,9,TEMP,PRIMARY_1_12
GlobalClim,21.49628953719235,-26.50014716980286,9,TEMP,PRIMARY_1_12
Persist,21.62598013418622,-27.74538370744932,9,TEMP,PRIMARY_1_12
DeptClim,22.085533383598342,-28.02844662910571,9,TEMP,PRIMARY_1_12
RF,3.5999644518293543,0.08495047683535617,10,TEMP,PRIMARY_1_12
Ridge,3.6037163537254537,0.08304214405928712,10,TEMP,PRIMARY_1_12
HGB,3.7303024195620864,0.017491631126486107,10,TEMP,PRIMARY_1_12
GlobalClim,21.29976712250499,-31.033019992316,10,TEMP,PRIMARY_1_12
Persist,21.845727288845616,-33.21753628934026,10,TEMP,PRIMARY_1_12
DeptClim,21.912638658690952,-32.90295310344197,10,TEMP,PRIMARY_1_12
RF,3.505670319644541,0.11979466305309916,11,TEMP,PRIMARY_1_12
Ridge,3.6284696050634966,0.05704963516136485,11,TEMP,PRIMARY_1_12
HGB,3.6334545324936394,0.05445693435949761,11,TEMP,PRIMARY_1_12
GlobalClim,21.250029483343155,-31.341557286867214,11,TEMP,PRIMARY_1_12
Persist,21.621760385400325,-32.656073625855605,11,TEMP,PRIMARY_1_12
DeptClim,21.879033059103758,-33.28452232847098,11,TEMP,PRIMARY_1_12
Ridge,3.5390952077146673,0.0576032569988878,12,TEMP,PRIMARY_1_12
RF,3.552560936236589,0.0504182564020077,12,TEMP,PRIMARY_1_12
HGB,3.6249108972544217,0.011346846539259214,12,TEMP,PRIMARY_1_12
GlobalClim,21.06267558522918,-32.379233659835805,12,TEMP,PRIMARY_1_12
Persist,21.67065663610236,-34.33405056995228,12,TEMP,PRIMARY_1_12
DeptClim,21.693000608567832,-34.4069519206501,12,TEMP,PRIMARY_1_12
