Model,RMSE,R2,Month,Target,FeatureSet
Ridge,2.8623830238928263,0.45182526298881265,2,TEMP,SECONDARY_13_24
RF,3.2041758568701026,0.313095740706275,2,TEMP,SECONDARY_13_24
HGB,3.2866907708162993,0.27726146272141494,2,TEMP,SECONDARY_13_24
GlobalClim,21.659417279791146,-30.387524044847684,2,TEMP,SECONDARY_13_24
Persist,21.71035232131058,-30.612369316072456,2,TEMP,SECONDARY_13_24
DeptClim,22.256206120224807,-32.14101393988149,2,TEMP,SECONDARY_13_24
Ridge,3.53542997363641,0.25264163630571623,3,TEMP,SECONDARY_13_24
RF,3.716816202126775,0.1739875539916247,3,TEMP,SECONDARY_13_24
HGB,3.812697834907662,0.1308210588237081,3,TEMP,SECONDARY_13_24
GlobalClim,21.683741942702046,-27.113368172366926,3,TEMP,SECONDARY_13_24
Persist,22.099427507813488,-29.088251155051264,3,TEMP,SECONDARY_13_24
DeptClim,22.2464250533506,-28.591357008919115,3,TEMP,SECONDARY_13_24
Ridge,3.4592067735027583,0.2354164516227657,4,TEMP,SECONDARY_13_24
RF,3.547426254214369,0.19592111927907996,4,TEMP,SECONDARY_13_24
HGB,3.671171734650588,0.13884504348615145,4,TEMP,SECONDARY_13_24
GlobalClim,21.479280550252373,-28.478906171625244,4,TEMP,SECONDARY_13_24
Persist,21.902181165948477,-29.5426537953127,4,TEMP,SECONDARY_13_24
DeptClim,22.03648199879484,-30.028189111992738,4,TEMP,SECONDARY_13_24
Ridge,3.703851591677507,0.21101134610094974,5,TEMP,SECONDARY_13_24
RF,3.77221704236062,0.18161633928565668,5,TEMP,SECONDARY_13_24
HGB,3.9309584971066593,0.11128906995497512,5,TEMP,SECONDARY_13_24
GlobalClim,21.492386275601937,-25.566410506699867,5,TEMP,SECONDARY_13_24
Persist,21.81301127907847,-26.49699388810874,5,TEMP,SECONDARY_13_24
DeptClim,22.038875065396027,-26.93459956577074,5,TEMP,SECONDARY_13_24
RF,4.090533600308718,0.1478571656893375,6,TEMP,SECONDARY_13_24
Ridge,4.123239808313596,0.13417592825746105,6,TEMP,SECONDARY_13_24
HGB,4.145890617006731,0.1246370782112286,6,TEMP,SECONDARY_13_24
GlobalClim,21.373203263574087,-22.264391603973525,6,TEMP,SECONDARY_13_24
Persist,21.83610397486859,-23.20370024008627,6,TEMP,SECONDARY_13_24
DeptClim,21.919409223178093,-23.468658355208145,6,TEMP,SECONDARY_13_24
RF,4.085995727142841,0.1644489908392055,7,TEMP,SECONDARY_13_24
Ridge,4.10955825562219,0.15478453603282427,7,TEMP,SECONDARY_13_24
HGB,4.146951067772844,0.1393333523571254,7,TEMP,SECONDARY_13_24
GlobalClim,21.37143486412752,-21.85833086057798,7,TEMP,SECONDARY_13_24
Persist,21.58413409294757,-23.243359783599523,7,TEMP,SECONDARY_13_24
DeptClim,21.916542095841894,-23.03926692386738,7,TEMP,SECONDARY_13_24
RF,4.222381993029854,0.15401456987716533,8,TEMP,SECONDARY_13_24
Ridge,4.2243473691022,0.1532268313517472,8,TEMP,SECONDARY_13_24
HGB,4.36491535612073,0.09593533642347651,8,TEMP,SECONDARY_13_24
GlobalClim,21.48259566364714,-20.898852117554323,8,TEMP,SECONDARY_13_24
Persist,21.55532049794959,-21.19413476270385,8,TEMP,SECONDARY_13_24
DeptClim,22.02069155711457,-22.009636063462583,8,TEMP,SECONDARY_13_24
Ridge,3.8520165904258548,0.11695200296748631,9,TEMP,SECONDARY_13_24
RF,3.874168045030414,0.10676666734253615,9,TEMP,SECONDARY_13_24
HGB,3.9915606673367034,0.05181412627937121,9,TEMP,SECONDARY_13_24
GlobalClim,21.49628953719235,-26.50014716980286,9,TEMP,SECONDARY_13_24
Persist,21.62598013418622,-27.74538370744932,9,TEMP,SECONDARY_13_24
DeptClim,22.085533383598342,-28.02844662910571,9,TEMP,SECONDARY_13_24
Ridge,3.6010507671983776,0.08439814785990707,10,TEMP,SECONDARY_13_24
RF,3.6086093447598135,0.08055043159293973,10,TEMP,SECONDARY_13_24
HGB,3.717436654633409,0.024257261068518998,10,TEMP,SECONDARY_13_24
GlobalClim,21.29976712250499,-31.033019992316,10,TEMP,SECONDARY_13_24
Persist,21.845727288845616,-33.21753628934026,10,TEMP,SECONDARY_13_24
DeptClim,21.912638658690952,-32.90295310344197,10,TEMP,SECONDARY_13_24
RF,3.5573142297918845,0.0936700884691759,11,TEMP,SECONDARY_13_24
Ridge,3.6186588607489587,0.06214188579935642,11,TEMP,SECONDARY_13_24
HGB,3.6402420107385125,0.05092098950679047,11,TEMP,SECONDARY_13_24
GlobalClim,21.250029483343155,-31.341557286867214,11,TEMP,SECONDARY_13_24
Persist,21.621760385400325,-32.656073625855605,11,TEMP,SECONDARY_13_24
DeptClim,21.879033059103758,-33.28452232847098,11,TEMP,SECONDARY_13_24
Ridge,3.56703577597541,0.04266438770859837,12,TEMP,SECONDARY_13_24
RF,3.5742127421028504,0.03880814528736842,12,TEMP,SECONDARY_13_24
HGB,3.6780228975220184,-0.017836783136996104,12,TEMP,SECONDARY_13_24
GlobalClim,21.06267558522918,-32.379233659835805,12,TEMP,SECONDARY_13_24
Persist,21.67065663610236,-34.33405056995228,12,TEMP,SECONDARY_13_24
DeptClim,21.693000608567832,-34.4069519206501,12,TEMP,SECONDARY_13_24
