Variable,Month,Baseline,Model,RMSE_model,RMSE_baseline,Skill,R2,CI_low,CI_high,DM_stat,DM_p
RAIN,2,Baseline,Ridge,69734504.44568324,166939940.75331894,0.5822778890958913,0.5803678236102461,-0.24560854619583022,0.7161033654114413,-0.9725580637515462,0.3436621469701533
RAIN,2,Baseline,RF,128796937.95818843,166939940.75331894,0.22848338524028244,0.22495556801685435,,,,
RAIN,2,Baseline,HGB,153585831.06998202,166939940.75331894,0.07999349720070759,0.07578669889701584,,,,
RAIN,2,DeptClim,Ridge,69734504.44568324,170108106.93982512,0.590057724466057,0.5803678236102461,-0.09139220418748284,0.7909331938704282,-1.0470210416706331,0.3089466234673428
RAIN,2,DeptClim,RF,128796937.95818843,170108106.93982512,0.2428524408672087,0.22495556801685435,,,,
RAIN,2,DeptClim,HGB,153585831.06998202,170108106.93982512,0.09712809205317752,0.07578669889701584,,,,
RAIN,2,Persist,Ridge,69734504.44568324,30528585.95539092,-1.2842363071640763,0.5803678236102461,-26.36949549083298,0.035120499296511135,1.0115870064245636,0.3251413044067324
RAIN,2,Persist,RF,128796937.95818843,30528585.95539092,-3.2188962877740064,0.22495556801685435,,,,
RAIN,2,Persist,HGB,153585831.06998202,30528585.95539092,-4.030885848902574,0.07578669889701584,,,,
RAIN,3,Baseline,Ridge,19760053.38326059,28434322.115749486,0.30506332091118527,0.2994687210464083,0.04622885891710101,0.6029159273257554,-1.3088090009309468,0.20706347981718776
RAIN,3,Baseline,RF,20060754.98917093,28434322.115749486,0.2944880167176738,0.2888082801819003,,,,
RAIN,3,Baseline,HGB,24188594.317294776,28434322.115749486,0.1493170043291816,0.14246856602428715,,,,
RAIN,3,DeptClim,Ridge,19760053.38326059,27516165.24467226,0.2818747377203452,0.2994687210464083,0.04032221737340134,0.5944685470430415,-1.30951007704529,0.2068309780189297
RAIN,3,DeptClim,RF,20060754.98917093,27516165.24467226,0.2709465577491712,0.2888082801819003,,,,
RAIN,3,DeptClim,HGB,24188594.317294776,27516165.24467226,0.1209314923714443,0.14246856602428715,,,,
